Part,MajorNo,Major,Sub,Theory,Theorists,OldMajor,Source
Politics,4,"Power, Elites & Classical Democratic Theory",B. Early Democratic Theory,Deliberative Democracy,John Dewey,D. Early Democratic Theory,CSV
Politics,4,"Power, Elites & Classical Democratic Theory",B. Early Democratic Theory,Pluralism (Political Theory),Robert Dahl,D. Early Democratic Theory,CSV
Politics,3,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Hegemony (Political Theory),Antonio Gramsci,A. Critical Theory & Neo-Marxism,CSV
Politics,3,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Frankfurt School (Political Theory),"Max Horkheimer, Theodor Adorno, Herbert Marcuse",A. Critical Theory & Neo-Marxism,CSV
Politics,3,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,One-Dimensional Man (Politics),Herbert Marcuse,A. Critical Theory & Neo-Marxism,CSV
Politics,4,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,The Origins of Totalitarianism,Hannah Arendt,B. Totalitarianism & Authoritarianism,CSV
Politics,4,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,State of Exception (Political Theory),"Carl Schmitt, Giorgio Agamben",B. Totalitarianism & Authoritarianism,CSV
Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Governmentality (Political Theory),Michel Foucault,C. Post-Structuralism & Postmodern Politics,CSV
Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Biopolitics (Political Theory),Michel Foucault,C. Post-Structuralism & Postmodern Politics,CSV
Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Power/Knowledge (Political Theory),Michel Foucault,C. Post-Structuralism & Postmodern Politics,CSV
Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,The Spectacle (Political Theory),Guy Debord,C. Post-Structuralism & Postmodern Politics,CSV
Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Incredulity toward Metanarratives (Politics),Jean-François Lyotard,C. Post-Structuralism & Postmodern Politics,CSV
Politics,5,"Justice, Recognition & Community",A. Liberalism & Justice,Theory of Justice (Political Theory),John Rawls,D. Liberalism & Justice,CSV
Politics,5,"Justice, Recognition & Community",A. Liberalism & Justice,Original Position & Veil of Ignorance,John Rawls,D. Liberalism & Justice,CSV
Politics,5,"Justice, Recognition & Community",A. Liberalism & Justice,Capability Approach (Political Theory),"Amartya Sen, Martha Nussbaum",D. Liberalism & Justice,CSV
Politics,5,"Justice, Recognition & Community",B. Communitarianism & Civic Republicanism,Spheres of Justice,Michael Walzer,E. Communitarianism & Civic Republicanism,CSV
Politics,5,"Justice, Recognition & Community",B. Communitarianism & Civic Republicanism,Politics of Recognition,"Charles Taylor, Axel Honneth",E. Communitarianism & Civic Republicanism,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Orientalism (Political Theory),Edward Said,F. Postcolonial & Decolonial Politics,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,The Wretched of the Earth (Politics),Frantz Fanon,F. Postcolonial & Decolonial Politics,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Subaltern Studies (Political),"Ranajit Guha, Gayatri Chakravorty Spivak",F. Postcolonial & Decolonial Politics,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,The Second Sex (Political Theory),Simone de Beauvoir,G. Feminism & Gender in Politics,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Gender as Performance (Politics),Judith Butler,G. Feminism & Gender in Politics,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Intersectionality (Politics),Kimberlé Crenshaw,G. Feminism & Gender in Politics,CSV
Politics,7,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Deliberative Polling,James S. Fishkin,A. Deliberative & Participatory Democracy,CSV
Politics,7,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Participatory Budgeting,N/A (Practice-based theory),A. Deliberative & Participatory Democracy,CSV
Politics,7,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Populism (Political Theory),"Ernesto Laclau, Chantal Mouffe",B. Populism & Post-Politics,CSV
Politics,7,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Post-Politics,"Slavoj Žižek, Jacques Rancière",B. Populism & Post-Politics,CSV
Politics,9,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Neoliberalism (Political Theory),"Milton Friedman, Friedrich Hayek",C. Political Economy & Neoliberalism,CSV
Politics,9,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Financialization,N/A (Economic sociology term),C. Political Economy & Neoliberalism,CSV
Politics,9,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Austerity (Political Theory),"N/A (Policy term, analyzed theoretically)",C. Political Economy & Neoliberalism,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",C. Environmental Politics & Justice,Ecocentrism (Political Theory),Aldo Leopold,D. Environmental Politics & Justice,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",C. Environmental Politics & Justice,Environmental Justice (Political),Robert Bullard,D. Environmental Politics & Justice,CSV
Politics,6,"Postcolonial, Feminist & Environmental Politics",C. Environmental Politics & Justice,Climate Justice,N/A (Movement-based theory),D. Environmental Politics & Justice,CSV
Politics,10,International Relations & Security,B. Critical Security Studies,Securitization Theory,"Barry Buzan, Ole Wæver, Lene Hansen",E. Critical Security Studies,CSV
Politics,10,International Relations & Security,B. Critical Security Studies,Human Security,Mahbub ul Haq,E. Critical Security Studies,CSV
Politics,7,Democratic Theory & Contemporary Contestation,B. Democratic Theory (Advanced),Agonistic Pluralism,Chantal Mouffe,F. Democratic Theory (Advanced),CSV
Politics,7,Democratic Theory & Contemporary Contestation,B. Democratic Theory (Advanced),Associative Democracy,Paul Q. Hirst,F. Democratic Theory (Advanced),CSV
Politics,7,Democratic Theory & Contemporary Contestation,B. Democratic Theory (Advanced),Post-Democracy,Colin Crouch,F. Democratic Theory (Advanced),CSV
Politics,7,Democratic Theory & Contemporary Contestation,D. Digital Politics & Governance,Digital Citizenship Theory,N/A (Emerging field),G. Digital Politics & Governance,CSV
Politics,7,Democratic Theory & Contemporary Contestation,D. Digital Politics & Governance,Algorithmic Governance (Political),"Antoinette Rouvroy, Frank Pasquale",G. Digital Politics & Governance,CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",A. Political Psychology,Political Socialization Theory,"David Easton, Jack Dennis",H. Political Psychology,CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",A. Political Psychology,Groupthink (Political),Irving L. Janis,H. Political Psychology,CSV
Politics,5,"Justice, Recognition & Community",C. Identity Politics,Identity Politics (Theory),"N/A (Common political term, theorized by many)",I. Identity Politics,CSV
Politics,5,"Justice, Recognition & Community",C. Identity Politics,Recognition Politics,"Axel Honneth, Charles Taylor",I. Identity Politics,CSV
Politics,10,International Relations & Security,A. International Relations,Constructivism (IR),Alexander Wendt,J. International Relations,CSV
Politics,10,International Relations & Security,A. International Relations,Liberal Internationalism,"Immanuel Kant, Woodrow Wilson",J. International Relations,CSV
Politics,10,International Relations & Security,A. International Relations,Realism (IR),"Hans Morgenthau, Kenneth Waltz",J. International Relations,CSV
Politics,10,International Relations & Security,A. International Relations,Dependency Theory (IR),"André Gunder Frank, Immanuel Wallerstein",J. International Relations,CSV
Politics,10,International Relations & Security,A. International Relations,Critical Geopolitics,"Gearóid Ó Tuathail, Simon Dalby",J. International Relations,CSV
Politics,5,"Justice, Recognition & Community",D. Philosophy of Law & Justice,Restorative Justice,Howard Zehr,K. Philosophy of Law & Justice,CSV
Politics,5,"Justice, Recognition & Community",D. Philosophy of Law & Justice,Transitional Justice,N/A (Field of practice and theory),K. Philosophy of Law & Justice,CSV
Politics,9,Political Economy & Comparative Politics,B. Political Economy (Advanced),Regulation Theory (Political Economy),"Michel Aglietta, Robert Boyer",L. Political Economy (Advanced),CSV
Politics,9,Political Economy & Comparative Politics,B. Political Economy (Advanced),Varieties of Capitalism (VOC),Peter A. Hall & David Soskice,L. Political Economy (Advanced),CSV
Politics,9,Political Economy & Comparative Politics,B. Political Economy (Advanced),Disembedding (Political Economy),Karl Polanyi,L. Political Economy (Advanced),CSV
Politics,9,Political Economy & Comparative Politics,B. Political Economy (Advanced),Fictitious Commodities,Karl Polanyi,L. Political Economy (Advanced),CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),Resource Mobilization Theory (Political Sociology),John D. McCarthy & Mayer N. Zald,M. Political Sociology (Advanced),CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),Political Process Theory (Political Sociology),"Doug McAdam, Sidney Tarrow, Charles Tilly",M. Political Sociology (Advanced),CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),New Social Movement Theory (Political Sociology),"Alberto Melucci, Alain Touraine",M. Political Sociology (Advanced),CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),State Autonomy Theory,Theda Skocpol,M. Political Sociology (Advanced),CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),Regime Theory (Political Sociology),Clarence N. Stone,M. Political Sociology (Advanced),CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Agenda Setting (Public Policy),John W. Kingdon,N. Public Policy & Administration,CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Policy Streams (Policy Process),John W. Kingdon,N. Public Policy & Administration,CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Punctuated Equilibrium Theory (Policy),Frank R. Baumgartner & Bryan D. Jones,N. Public Policy & Administration,CSV
Politics,8,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Garbage Can Model (Policy),"Michael D. Cohen, James G. March, Johan P. Olsen",N. Public Policy & Administration,CSV
Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Comparative Historical Analysis,"Theda Skocpol, Charles Tilly",O. Comparative Politics,CSV
Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Electoral Systems Theory,"Maurice Duverger, Arend Lijphart",O. Comparative Politics,CSV
Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Modernization Theory (Political),Seymour Martin Lipset,O. Comparative Politics,CSV
Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Authoritarian Regimes Theory,"Juan J. Linz, Barbara Geddes",O. Comparative Politics,CSV
Politics,9,Political Economy & Comparative Politics,D. Post-Soviet & Transition Studies,Transitology,"Juan J. Linz, Alfred Stepan",P. Post-Soviet & Transition Studies,CSV
Politics,9,Political Economy & Comparative Politics,D. Post-Soviet & Transition Studies,End of History (Political),Francis Fukuyama,P. Post-Soviet & Transition Studies,CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Cosmopolitanism (Political),"David Held, Martha Nussbaum",Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Republican Liberty (Neo-Republicanism),"Philip Pettit, Quentin Skinner",Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Deliberative Democracy (Advanced),"Jürgen Habermas, Joshua Cohen",Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Critical Theory of Race (Political),"Charles W. Mills, Cornel West",Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Post-Foundationalism (Political),"Ernesto Laclau, Chantal Mouffe",Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Agonistic Pluralism (Political),Chantal Mouffe,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Politics of Difference,Iris Marion Young,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Global Justice Theory,"Thomas Pogge, Martha Nussbaum",Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Non-Domination (Political),Philip Pettit,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Political Realism (Advanced),John Mearsheimer,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Just War Theory,Michael Walzer,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Social Capital (Political),Robert Putnam,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Civic Nationalism,Ernest Renan,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Ethnic Nationalism,Anthony D. Smith,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Democratic Peace Theory,"Immanuel Kant, Michael Doyle",Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Public Reason (Political),John Rawls,Q. Political Philosophy (Contemporary),CSV
Politics,11,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Political Theology (Contemporary),"Carl Schmitt, Giorgio Agamben",Q. Political Philosophy (Contemporary),CSV
History,XI,"Gender, Body & Emotions History",B. History of Emotions,Cross-Cultural History of Emotions,Peter N. Stearns,C. History of Emotions (Cross-Cultural),CSV
History,I,Philosophy of History,A. Speculative & Classical,Cyclical Theory of History,"Polybius, Ibn Khaldun, Oswald Spengler",I. Classical & Early Modern Approaches,CSV
History,I,Philosophy of History,A. Speculative & Classical,Providential History,Augustine of Hippo,I. Classical & Early Modern Approaches,CSV
History,I,Philosophy of History,A. Speculative & Classical,Rankean History (Historicism),Leopold von Ranke,I. Classical & Early Modern Approaches,CSV
History,I,Philosophy of History,A. Speculative & Classical,Historicism (Historical Theory),"Leopold von Ranke, Wilhelm Dilthey",I. Classical & Early Modern Approaches,CSV
History,III,Marxist & Social History,A. Historical Materialism,Historical Materialism (Historical),"Karl Marx, Friedrich Engels",II. Marxist & Materialist Approaches,CSV
History,III,Marxist & Social History,A. Historical Materialism,Base and Superstructure (Historical),Karl Marx,II. Marxist & Materialist Approaches,CSV
History,III,Marxist & Social History,A. Historical Materialism,Modes of Production,Karl Marx,II. Marxist & Materialist Approaches,CSV
History,IV,Annales & Microhistory,A. Annales & Longue Duree,Conjuncture,Fernand Braudel,III. Annales School,CSV
History,IV,Annales & Microhistory,A. Annales & Longue Duree,Event (Annales),Fernand Braudel,III. Annales School,CSV
History,IV,Annales & Microhistory,A. Annales & Longue Duree,History from Below,"E.P. Thompson, Christopher Hill",III. Annales School,CSV
History,IV,Annales & Microhistory,A. Annales & Longue Duree,Mentalités,"Marc Bloch, Lucien Febvre",III. Annales School,CSV
History,IV,Annales & Microhistory,A. Annales & Longue Duree,Total History,Fernand Braudel,III. Annales School,CSV
History,IV,Annales & Microhistory,A. Annales & Longue Duree,Longue Durée,Fernand Braudel,III. Annales School & Social History,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Archaeology of Knowledge (Historical),Michel Foucault,IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Discourse (Historical),Michel Foucault,IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Death of the Author (Historical),"Roland Barthes (literary, applied to history)",IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Historiographic Metafiction (Historical),Linda Hutcheon,IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,The Burden of Representation,"Edward Said, Gayatri Spivak",IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Mimicry (Historical),Homi K. Bhabha,IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Postcolonial History,"Edward Said, Dipesh Chakrabarty",IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Provincializing Europe,Dipesh Chakrabarty,IV. Post-Structuralist,CSV
History,XIV,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,Genealogy (Historical),Michel Foucault,IV. Post-Structuralist & Postmodern Approaches,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Postmemory (Historical),Marianne Hirsch,IX. Memory Studies,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Social Frameworks of Memory,Maurice Halbwachs,IX. Memory Studies,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Trauma Theory (Historical),"Cathy Caruth, Dominick LaCapra",IX. Memory Studies,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Heritage Studies,David Lowenthal,IX. Memory Studies,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,History Wars,N/A (Common term in Public History),IX. Memory Studies,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Public History,Robert Kelley,IX. Memory Studies,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Collective Memory (Historical),Maurice Halbwachs,IX. Memory Studies & Public History,CSV
History,XIII,Specialized Social Histories,A. Childhood & Family,History of Children's Rights,Mary Ann Glendon,L. History of Childhood (Specific Focus),CSV
History,XIII,Specialized Social Histories,A. Childhood & Family,History of Child Labor,Hugh Cunningham,L. History of Childhood,CSV
History,IX,"Environmental, Science & Technology History",B. History of Science,History of Scientific Instruments,Simon Schaffer,LI. History of Science (Specific Focus),CSV
History,IX,"Environmental, Science & Technology History",B. History of Science,History of Experimentation,Steven Shapin,LI. History of Science,CSV
History,V,Cultural History,A. Cultural Practices,History of Popular Culture,Peter Burke,LII. Cultural Studies (Historical Applications),CSV
History,V,Cultural History,A. Cultural Practices,History of Consumption (Cultural),Frank Trentmann,LII. Cultural Studies,CSV
History,XI,"Gender, Body & Emotions History","C. Body, Senses & Health",Disease Narratives (History),Susan Sontag,LIII. History of Disease (Advanced),CSV
History,II,Historiography & Method,B. Schools of Historiography,Historical Responsibility,Jürgen Habermas,LIV. Historiography (Advanced),CSV
History,II,Historiography & Method,B. Schools of Historiography,The Use and Abuse of History,Friedrich Nietzsche,LIV. Historiography,CSV
History,II,Historiography & Method,B. Schools of Historiography,Hermeneutics (Historical),Hans-Georg Gadamer,LIV. Historiography,CSV
History,II,Historiography & Method,B. Schools of Historiography,Philosophy of Time (History),Paul Ricoeur,LIV. Historiography,CSV
History,XI,"Gender, Body & Emotions History","C. Body, Senses & Health",Social History of Medicine,Charles Rosenberg,LIX. History of Body & Health,CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,Global Comparisons (History),Jack Goldstone,LV. Comparative History (Advanced),CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Collective Trauma (History),Jeffrey Alexander,LVI. History of Memory & Heritage (Advanced),CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,Political Ecology (Historical),Susanna Hecht & Alexander Cockburn,LVII. Environmental History (Advanced),CSV
History,XI,"Gender, Body & Emotions History",B. History of Emotions,History of Fear,Jean Delumeau,LVIII. History of Emotions (Specific Emotions),CSV
History,IX,"Environmental, Science & Technology History",B. History of Science,History of Biology,Ernst Mayr,LX. History of Science (Specific Branches),CSV
History,VIII,Intellectual History,C. Reception & Knowledge,Social History of Knowledge,Peter Burke,LXI. History of Knowledge,CSV
History,XIII,Specialized Social Histories,"B. Crime, Violence & Policing",History of Policing,David Garland,LXII. History of Crime & Policing,CSV
History,XII,"Political, Legal & Global History",A. Political & State,History of Public Opinion,Jürgen Habermas,LXIII. History of Public Opinion,CSV
History,IX,"Environmental, Science & Technology History",C. History of Technology & Things,History of Infrastructure,Gabriel Dupuy,LXIV. History of Infrastructure,CSV
History,X,Digital History,B. Spatial & Network Analysis,History of Landscape,W.J.T. Mitchell,LXIX. History of Space (Advanced),CSV
History,XIII,Specialized Social Histories,"C. Consumption, Food & Material",History of Food,Massimo Montanari,LXV. History of Food,CSV
History,IX,"Environmental, Science & Technology History",C. History of Technology & Things,History of Pets,Katherine Grier,LXVI. History of Animals (Advanced),CSV
History,V,Cultural History,"B. Book, Reading & Education",History of Higher Education,Jürgen Habermas,LXVII. History of Education (Specific Focus),CSV
History,I,Philosophy of History,C. Time & Temporality,History of Time (Concept),E.P. Thompson,LXVIII. History of Time,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Cultural Memory,Jan Assmann,LXX. History of Memory (Specific Types),CSV
History,IX,"Environmental, Science & Technology History",B. History of Science,History of Science and Religion,John Hedley Brooke,LXXI. History of Science & Religion,CSV
History,III,Marxist & Social History,C. Social Structure & Class,History of Poverty,Gertrude Himmelfarb,LXXII. History of Poverty,CSV
History,XIII,Specialized Social Histories,A. Childhood & Family,History of Adolescence,John R. Gillis,LXXIII. History of the Family (Advanced),CSV
History,XI,"Gender, Body & Emotions History",A. Gender & Sexuality,Gender and Class (History),Joan Wallach Scott,LXXIV. History of Gender (Intersection with other factors),CSV
History,XI,"Gender, Body & Emotions History",B. History of Emotions,History of Crying,Tom Lutz,LXXIX. History of Emotions (Specific Manifestations),CSV
History,XI,"Gender, Body & Emotions History",B. History of Emotions,History of Laughter,Peter Burke,LXXIX. History of Emotions (Specific Manifestations),CSV
History,XIII,Specialized Social Histories,"C. Consumption, Food & Material",History of Luxury,Werner Sombart,LXXV. History of Consumption (Specific),CSV
History,XIII,Specialized Social Histories,"C. Consumption, Food & Material",History of Fashion,Georg Simmel,LXXV. History of Consumption (Specific),CSV
History,XIII,Specialized Social Histories,"C. Consumption, Food & Material",History of Urban Planning,Peter Hall,LXXVI. History of Urban Planning,CSV
History,XII,"Political, Legal & Global History",B. Legal & Human Rights,Philosophical History of Human Rights,Samuel Moyn,LXXVII. History of Human Rights (Advanced),CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,History of Migration,Dirk Hoerder,LXXVIII. History of Migration,CSV
History,V,Cultural History,C. Art & Visual Culture,History of Photography,Walter Benjamin,LXXX. History of Technology (A. Printing & Information),CSV
History,IX,"Environmental, Science & Technology History",C. History of Technology & Things,History of the Internet,Manuel Castells,LXXX. History of Technology (Specific Technologies),CSV
History,VIII,Intellectual History,C. Reception & Knowledge,History of Universities (Social Role),N/A (Sociological history of education),LXXXI. History of Knowledge Production (A. Disciplines & Institutions),CSV
History,VIII,Intellectual History,C. Reception & Knowledge,History of Disciplines,Michel Foucault,LXXXI. History of Knowledge Production (Advanced),CSV
History,VII,Memory & Oral History,C. Trauma & Post-Holocaust,History of War Trauma,Allan Young,LXXXII. History of War (Specific Aspects),CSV
History,VI,Postcolonial & Decolonial History,A. Empire & Imperialism,History of Empires,Jane Burbank & Frederick Cooper,LXXXIII. History of Empires (Advanced),CSV
History,V,Cultural History,C. Art & Visual Culture,History of Visual Culture,W.J.T. Mitchell,LXXXIV. History of the Media (Advanced),CSV
History,XII,"Political, Legal & Global History",A. Political & State,History of State Building,Charles Tilly,LXXXIX. History of the State (Advanced),CSV
History,XI,"Gender, Body & Emotions History",A. Gender & Sexuality,History of Deviance (Sexual),Michel Foucault,LXXXV. History of Sexuality (Specific Focus),CSV
History,XI,"Gender, Body & Emotions History","C. Body, Senses & Health",History of AIDS Epidemic,Randy Shilts,LXXXVI. History of Public Health (Specific Diseases),CSV
History,VI,Postcolonial & Decolonial History,B. Race & Racism,History of Scientific Racism,Stephen Jay Gould,LXXXVII. History of Science & Race,CSV
History,VII,Memory & Oral History,A. Collective & Cultural Memory,Contested Memories,N/A (Common concept in memory studies),LXXXVIII. History of Memory (Theoretical Nuances),CSV
History,IV,Annales & Microhistory,B. Microhistory & Everyday Life,History of Everyday Life (Alltagsgeschichte),Alf Lüdtke,V. Cultural History,CSV
History,IV,Annales & Microhistory,B. Microhistory & Everyday Life,Microhistory,Carlo Ginzburg,V. Cultural History,CSV
History,IV,Annales & Microhistory,B. Microhistory & Everyday Life,History of Emotions,Jan Plamper,V. Cultural History,CSV
History,IV,Annales & Microhistory,B. Microhistory & Everyday Life,History of Reading,Roger Chartier,V. Cultural History,CSV
History,IV,Annales & Microhistory,B. Microhistory & Everyday Life,History of the Body,"Michel Foucault, Georges Vigarello",V. Cultural History,CSV
History,IV,Annales & Microhistory,B. Microhistory & Everyday Life,New Cultural History,"Robert Darnton, Lynn Hunt",V. Cultural History,CSV
History,IV,Annales & Microhistory,B. Microhistory & Everyday Life,Thick Description (Historical),Clifford Geertz,V. Cultural History & Microhistory,CSV
History,II,Historiography & Method,C. Quantitative & Cliometrics,Quantitative History,Lee Benson,VI. Quantitative History,CSV
History,II,Historiography & Method,C. Quantitative & Cliometrics,Cliometrics,"Robert Fogel, Douglass North",VI. Quantitative History & Cliometrics,CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,Environmental History,"Alfred Crosby, Donald Worster",VII. Environmental History,CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,Anthropocene (Historical Theory),"Paul Crutzen, Eugene F. Stoermer",VII. Environmental History,CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,Ecological Imperialism,Alfred Crosby,VII. Environmental History,CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,Climate History,"J. Donald Hughes, Christian Pfister",VII. Environmental History,CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,Environmental Determinism (Historical),Ellsworth Huntington (often seen as discredited),VII. Environmental History,CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,Global History,"Sebastian Conrad, C.A. Bayly",VIII. Global,CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,Transnational History,Akira Iriye,VIII. Global,CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,Big History,David Christian,VIII. Global,CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,World History,William H. McNeill,VIII. Global,CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,Connected Histories,Sanjay Subrahmanyam,VIII. Global & Transnational History,CSV
History,VII,Memory & Oral History,B. Oral History & Testimony,Life Narratives (Historical),Paul John Eakin,X. Oral History,CSV
History,VII,Memory & Oral History,B. Oral History & Testimony,Oral History,Alessandro Portelli,X. Oral History & Life Narratives,CSV
History,XI,"Gender, Body & Emotions History",B. History of Emotions,Emotions and Historical Sources,Peter Stearns,XC. History of Emotions (Methodological),CSV
History,XII,"Political, Legal & Global History",C. Global & Transnational,History of Transnational Networks,N/A (Emerging approach),XCI. History of Global Connections,CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,History of Urban Environments,Joel Tarr,XCII. History of the Environment (Specific Aspects),CSV
History,IX,"Environmental, Science & Technology History",C. History of Technology & Things,History of Technology and Society,N/A (Broad field),XCIII. History of Technology (Broader Context),CSV
History,VIII,Intellectual History,C. Reception & Knowledge,Reception History (Intellectual),Hans Robert Jauss,XCIV. History of Ideas (Reception & Impact),CSV
History,IX,"Environmental, Science & Technology History",A. Environmental History,History of Disasters,Mike Davis,XCIX. History of Disasters,CSV
History,IX,"Environmental, Science & Technology History",B. History of Science,History of Scientific Institutions,David Knight,XCV. History of Science (Institutions & Practices),CSV
