film_title,film_year,film_wikidata,tmdb_id,n_director_refs,director_slugs,rep_types,source
Bride of Frankenstein,1935,,,0,,,film_lineage
Camille,1936,,,0,,,film_lineage
Charade,1963,,,0,,,film_lineage
Children of Paradise,1945,,,0,,,film_lineage
Closely Watched Trains,1966,,,0,,,film_lineage
The Crime of Monsieur Lange,1936,,,0,,,film_lineage
The Crowd,1928,,,0,,,film_lineage
The Decalogue,1989,,,0,,,film_lineage
Detour,1945,,,0,,,film_lineage
Dodsworth,1936,,,0,,,film_lineage
Dr. Strangelove: or How I Learned to Stop Worrying and Love the Bomb,1964,,,0,,,film_lineage
Drunken Master II,1994,,,0,,,film_lineage
E.T. The Extra Terrestrial,1982,,,0,,,film_lineage
8 1/2,1963,,,0,,,film_lineage
Finding Nemo,2003,,,0,,,film_lineage
The Fly,1986,,,0,,,film_lineage
"The Godfather, Parts I and II",1972,,,0,,,film_lineage
"The Good, The Bad and The Ugly",1966,,,0,,,film_lineage
His Girl Friday,1940,,,0,,,film_lineage
In A Lonely Place,1950,,,0,,,film_lineage
Invasion of the Body Snatchers,1956,,,0,,,film_lineage
It's A Gift,1934,,,0,,,film_lineage
Kandahar,2001,,,0,,,film_lineage
The Lady Eve,1941,,,0,,,film_lineage
The Last Command,1928,,,0,,,film_lineage
Léolo,1992,,,0,,,film_lineage
The Lord of the Rings,2001,,,0,,,film_lineage
The Man with a Movie Camera,1929,,,0,,,film_lineage
The Manchurian Candidate,1962,,,0,,,film_lineage
Meet Me in St. Louis,1944,,,0,,,film_lineage
Miller's Crossing,1990,,,0,,,film_lineage
Mon oncle d'Amérique,1980,,,0,,,film_lineage
Mouchette,1967,,,0,,,film_lineage
Nayakan,1987,,,0,,,film_lineage
Ninotchka,1939,,,0,,,film_lineage
Notorious,1946,,,0,,,film_lineage
"Olympia, Parts 1 and 2",1938,,,0,,,film_lineage
Out of the Past,1947,,,0,,,film_lineage
Pinocchio,1940,,,0,,,film_lineage
Pyaasa,1957,,,0,,,film_lineage
"Sherlock, Jr.",1924,,,0,,,film_lineage
The Shop Around the Corner,1940,,,0,,,film_lineage
The Singing Detective,1986,,,0,,,film_lineage
Smiles of a Summer Night,1955,,,0,,,film_lineage
Sunrise,1927,,,0,,,film_lineage
Sweet Smell of Success,1957,,,0,,,film_lineage
A Touch of Zen,1971,,,0,,,film_lineage
Ugetsu,1953,,,0,,,film_lineage
Ulysses' Gaze,1995,,,0,,,film_lineage
Umberto D,1952,,,0,,,film_lineage
White Heat,1949,,,0,,,film_lineage
Wings of Desire,1987,,,0,,,film_lineage
Yojimbo,1961,,,0,,,film_lineage
Accident,1967,,,0,,,film_lineage
Skupljači perja,1967,,,0,,,film_lineage
Adalen 31,1969,,,0,,,film_lineage
Johnny Got His Gun,1971,,,0,,,film_lineage
Death in Venice,1971,,,0,,,film_lineage
Solaris,1972,,,0,,,film_lineage
The Mother and the Whore,1973,,,0,,,film_lineage
The Mirror,1974,,,0,,,film_lineage
The Story of Sin,1975,,,0,,,film_lineage
The Marquise of O,1976,,,0,,,film_lineage
Cria Cuervos,1976,,,0,,,film_lineage
The Shout,1978,,,0,,,film_lineage
Bye Bye Monkey,1978,,,0,,,film_lineage
Siberiade,1979,,,0,,,film_lineage
Mon oncle d'Amerique,1980,,,0,,,film_lineage
Light Years Away,1981,,,0,,,film_lineage
The Night of the Shooting Stars,1982,,,0,,,film_lineage
Monty Python's The Meaning of Life,1983,,,0,,,film_lineage
Diary for My Children,1984,,,0,,,film_lineage
Birdy,1984,,,0,,,film_lineage
The Sacrifice,1986,,,0,,,film_lineage
Repentance,1987,,,0,,,film_lineage
A World Apart,1988,,,0,,,film_lineage
Cinema Paradiso,1988,,,0,,,film_lineage
Too Beautiful for You,1989,,,0,,,film_lineage
The Sting of Death,1990,,,0,,,film_lineage
Tilai,1990,,,0,,,film_lineage
La Belle Noiseuse,1991,,,0,,,film_lineage
"Faraway, So Close!",1993,,,0,,,film_lineage
To Live,1994,,,0,,,film_lineage
The Sweet Hereafter,1997,,,0,,,film_lineage
Humanite,1999,,,0,,,film_lineage
Devils on the Doorstep,2000,,,0,,,film_lineage
The Piano Teacher,2001,,,0,,,film_lineage
Broken Flowers,2005,,,0,,,film_lineage
Flanders,2006,,,0,,,film_lineage
The Mourning Forest,2007,,,0,,,film_lineage
Of Gods and Men,2010,,,0,,,film_lineage
The Kid with a Bike,2011,,,0,,,film_lineage
It's Only the End of the World,2016,,,0,,,film_lineage
120 BPM,2017,,,0,,,film_lineage
BlacKkKlansman,2018,,,0,,,film_lineage
A Hero,2021,,,0,,,film_lineage
Stars at Noon,2022,,,0,,,film_lineage
The Walls of Malapaga,1949,,,0,,,film_lineage
We Are All Murderers,1952,,,0,,,film_lineage
Pictures from a Revolution,1955,,,0,,,film_lineage
A Big Family,1954,,,0,,,film_lineage
Othello,1955,,,0,,,film_lineage
My Uncle,1958,,,0,,,film_lineage
Chronicle of Flaming Years,1961,,,0,,,film_lineage
The Knack ...and How to Get It,1965,,,0,,,film_lineage
Lenin in Poland,1966,,,0,,,film_lineage
Leo the Last,1970,,,0,,,film_lineage
The Tall Blond Man with One Black Shoe,1972,,,0,,,film_lineage
Special Section,1975,,,0,,,film_lineage
Identification of a Woman,1982,,,0,,,film_lineage
Nostalghia,1983,,,0,,,film_lineage
The Element of Crime,1984,,,0,,,film_lineage
Colonel Redl,1985,,,0,,,film_lineage
Bird,1988,,,0,,,film_lineage
Days of Being Wild,1990,,,0,,,film_lineage
The Long Day Closes,1992,,,0,,,film_lineage
The Puppetmaster,1993,,,0,,,film_lineage
Through the Olive Trees,1994,,,0,,,film_lineage
Western,1997,,,0,,,film_lineage
The General,1998,,,0,,,film_lineage
The Letter,1999,,,0,,,film_lineage
The Man Who Wasn't There,2001,,,0,,,film_lineage
Ten,2002,,,0,,,film_lineage
Clean,2004,,,0,,,film_lineage
The Diving Bell and the Butterfly,2007,,,0,,,film_lineage
Three Monkeys,2008,,,0,,,film_lineage
Tournée,2010,,,0,,,film_lineage
Post Tenebras Lux,2012,,,0,,,film_lineage
Heli,2013,,,0,,,film_lineage
Foxcatcher,2014,,,0,,,film_lineage
Personal Shopper,2016,,,0,,,film_lineage
The Beguiled,2017,,,0,,,film_lineage
Young Ahmed,2019,,,0,,,film_lineage
Annette,2021,,,0,,,film_lineage
The Pot-au-Feu,2023,,,0,,,film_lineage
The Little World of Don Camillo,1952,,,0,,,film_lineage
Eternal Return,1943,,,0,,,film_lineage
Mandy,1952,,,0,,,film_lineage
The Challenge,1958,,,0,,,film_lineage
The Adventure,1960,,,0,,,film_lineage
Peace to Him Who Enters,1961,,,0,,,film_lineage
Le Feu follet,1963,,,0,,,film_lineage
Introduction to Life,1963,,,0,,,film_lineage
The Gospel According to St. Matthew,1964,,,0,,,film_lineage
Hamlet,1964,,,0,,,film_lineage
I Am Twenty,1965,,,0,,,film_lineage
Chappaqua,1966,,,0,,,film_lineage
China Is Near,1967,,,0,,,film_lineage
The Subject of the Sermon,1968,,,0,,,film_lineage
Marianna Ucria,1981,,,0,,,film_lineage
Streamers,1983,,,0,,,film_lineage
Storia d'amore,1986,,,0,,,film_lineage
And There Was Light,1989,,,0,,,film_lineage
The Divine Comedy,1991,,,0,,,film_lineage
Hyenas,1992,,,0,,,film_lineage
Brigands,1996,,,0,,,film_lineage
The Wind Will Carry Us,1999,,,0,,,film_lineage
Dog Days,2001,,,0,,,film_lineage
House of Fools,2002,,,0,,,film_lineage
The Kite,2003,,,0,,,film_lineage
Dry Season,2006,,,0,,,film_lineage
Teza,2008,,,0,,,film_lineage
Paradise: Faith,2012,,,0,,,film_lineage
The Look of Silence,2014,,,0,,,film_lineage
Anomalisa,2015,,,0,,,film_lineage
An Officer and a Spy,2019,,,0,,,film_lineage
New Order,2020,,,0,,,film_lineage
Saint Omer,2022,,,0,,,film_lineage
Evil Does Not Exist,2023,,,0,,,film_lineage
Vermiglio,2024,,,0,,,film_lineage
The Voice of Hind Rajab,2025,,,0,,,film_lineage
A Time to Live a Time to Die,1985,,,0,,,film_lineage
Spring in a Small Town,1948,,,0,,,film_lineage
Dust in the Wind,1986,,,0,,,film_lineage
Dragon Inn,1967,,,0,,,film_lineage
The Love Eterne,1963,,,0,,,film_lineage
The Terrorizers,1986,,,0,,,film_lineage
Yellow Earth,1984,,,0,,,film_lineage
Comrades: Almost a Love Story,1996,,,0,,,film_lineage
A Better Tomorrow,1986,,,0,,,film_lineage
Infernal Affairs,2002,,,0,,,film_lineage
In the Heat of the Sun,1994,,,0,,,film_lineage
Street Angel,1937,,,0,,,film_lineage
The Goddess,1934,,,0,,,film_lineage
The Boys From Fengkuei,1983,,,0,,,film_lineage
Happy Together,1997,,,0,,,film_lineage
The Sandwich Man,1983,,,0,,,film_lineage
At Dawn,1967,,,0,,,film_lineage
Rouge,1988,,,0,,,film_lineage
Center Stage,1991,,,0,,,film_lineage
That Day on the Beach,1983,,,0,,,film_lineage
Fist of Fury,1972,,,0,,,film_lineage
"Lust, Caution",2007,,,0,,,film_lineage
Pickpocket,1997,,,0,,,film_lineage
A Chinese Ghost Story,1987,,,0,,,film_lineage
Execution in Autumn,1972,,,0,,,film_lineage
Cape No. 7,2008,,,0,,,film_lineage
The Spring River Flows East,1947,,,0,,,film_lineage
The Blue Kite,1994,,,0,,,film_lineage
Darkness and Light,1999,,,0,,,film_lineage
The Mission,1999,,,0,,,film_lineage
The Arch,1969,,,0,,,film_lineage
Goodbye Darling,1987,,,0,,,film_lineage
Kung Fu Hustle,2004,,,0,,,film_lineage
Let It Be,2000,,,0,,,film_lineage
The Big Road,1935,,,0,,,film_lineage
Beautiful Duckling,1965,,,0,,,film_lineage
Taipei Story,1985,,,0,,,film_lineage
Ashes of Time,1994,,,0,,,film_lineage
Raise the Red Lantern,1991,,,0,,,film_lineage
An Autumn's Tale,1987,,,0,,,film_lineage
Growing Up,1986,,,0,,,film_lineage
The Way of the Dragon,1972,,,0,,,film_lineage
The Spooky Bunch,1980,,,0,,,film_lineage
Old Well,1986,,,0,,,film_lineage
Made in Hong Kong,1997,,,0,,,film_lineage
Rebels of the Neon God,1993,,,0,,,film_lineage
The Way We Are,2008,,,0,,,film_lineage
Cannot Live Without You,2009,,,0,,,film_lineage
Blind Shaft,2003,,,0,,,film_lineage
Shaolin Soccer,2001,,,0,,,film_lineage
Eat Drink Man Woman,1994,,,0,,,film_lineage
Strawman,1987,,,0,,,film_lineage
The Private Eyes,1976,,,0,,,film_lineage
Drunken Master,1978,,,0,,,film_lineage
Story of Mother,1973,,,0,,,film_lineage
Zu: Warriors From the Magic Mountain,1983,,,0,,,film_lineage
In Our Time,1982,,,0,,,film_lineage
Jade Love,1984,,,0,,,film_lineage
Sun Moon and Star,1961,,,0,,,film_lineage
The One-Armed Swordsman,1967,,,0,,,film_lineage
A Chinese Odyssey Part One: Pandora's Box,1995,,,0,,,film_lineage
A Chinese Odyssey Part Two: Cinderella,1995,,,0,,,film_lineage
Summer Snow,1995,,,0,,,film_lineage
A Borrowed Life,1995,,,0,,,film_lineage
Summer Palace,2006,,,0,,,film_lineage
Mountain Patrol,2004,,,0,,,film_lineage
Blue Gate Crossing,2002,,,0,,,film_lineage
Crazy Stone,2006,,,0,,,film_lineage
Hill of No Return,1992,,,0,,,film_lineage
The River,1997,,,0,,,film_lineage
He Never Gives Up,1979,,,0,,,film_lineage
Boat People,1982,,,0,,,film_lineage
Crossroads,1937,,,0,,,film_lineage
The Last Message,1975,,,0,,,film_lineage
The Blue and the Black,1966,,,0,,,film_lineage
Two Stage Sisters,1964,,,0,,,film_lineage
Little Toys,1933,,,0,,,film_lineage
The Lim Family Shop,1959,,,0,,,film_lineage
Police Story,1985,,,0,,,film_lineage
Once Upon a Time in China,1991,,,0,,,film_lineage
The Hole,1998,,,0,,,film_lineage
Floating Clouds,1955,,,0,,,film_lineage
A Sun-Tribe Myth From the Bakumatsu Era,1957,,,0,,,film_lineage
"The Yakuza Papers, Vol. 1: Battles Without Honor and Humanity",1973,,,0,,,film_lineage
Twenty-Four Eyes,1954,,,0,,,film_lineage
Sazen Tange and the Pot Worth a Million Ryo,1935,,,0,,,film_lineage
The Man Who Stole the Sun,1979,,,0,,,film_lineage
The Family Game,1983,,,0,,,film_lineage
Stray Dog,1949,,,0,,,film_lineage
Typhoon Club,1985,,,0,,,film_lineage
Susaki Paradise: Red Light District,1956,,,0,,,film_lineage
High and Low,1963,,,0,,,film_lineage
A Fugitive From the Past,1965,,,0,,,film_lineage
Harakiri,1962,,,0,,,film_lineage
Intentions of Murder,1964,,,0,,,film_lineage
Tokyo Olympiad,1965,,,0,,,film_lineage
Castle of Sand,1974,,,0,,,film_lineage
Bitterness of Youth,1974,,,0,,,film_lineage
Nausicaa of the Valley of the Wind,1984,,,0,,,film_lineage
Humanity and Paper Balloons,1937,,,0,,,film_lineage
Fighting Elegy,1966,,,0,,,film_lineage
Fall Guy,1982,,,0,,,film_lineage
Boiling Point,1990,,,0,,,film_lineage
The Crucified Lovers,1954,,,0,,,film_lineage
She Was Like a Wild Chrysanthemum,1955,,,0,,,film_lineage
Flowing,1956,,,0,,,film_lineage
Samurai Vendetta,1959,,,0,,,film_lineage
Branded to Kill,1967,,,0,,,film_lineage
Vengeance Is Mine,1979,,,0,,,film_lineage
Zigeunerweisen,1980,,,0,,,film_lineage
Here's to the Young Lady,1949,,,0,,,film_lineage
The Ball at the Anjo House,1947,,,0,,,film_lineage
Till We Meet Again,1950,,,0,,,film_lineage
The Life of Oharu,1952,,,0,,,film_lineage
A Bloody Spear on Mount Fuji,1955,,,0,,,film_lineage
The Lower Depths,1957,,,0,,,film_lineage
Stakeout,1958,,,0,,,film_lineage
Floating Weeds,1959,,,0,,,film_lineage
Good Morning,1959,,,0,,,film_lineage
Desperado Outpost,1959,,,0,,,film_lineage
Younger Brother,1960,,,0,,,film_lineage
Cruel Story of Youth,1960,,,0,,,film_lineage
The Graceful Brute,1962,,,0,,,film_lineage
"The Yakuza Papers, Vol. 3: Proxy War",1973,,,0,,,film_lineage
The Wanderers,1973,,,0,,,film_lineage
The Youth Killer,1976,,,0,,,film_lineage
Muddy River,1981,,,0,,,film_lineage
The Funeral,1984,,,0,,,film_lineage
Fire Festival,1985,,,0,,,film_lineage
My Neighbor Totoro,1988,,,0,,,film_lineage
Noriko's Dinner Table,2005,,,0,,,film_lineage
"I Was Born, But...",1932,,,0,,,film_lineage
What Did the Lady Forget?,1937,,,0,,,film_lineage
Singing Lovebirds,1939,,,0,,,film_lineage
The Life of Matsu the Untamed,1943,,,0,,,film_lineage
Carmen Comes Home,1951,,,0,,,film_lineage
The Human Condition,1959,,,0,,,film_lineage
The Human Vapor,1960,,,0,,,film_lineage
Sanjuro,1962,,,0,,,film_lineage
The Insect Woman,1963,,,0,,,film_lineage
Pale Flower,1964,,,0,,,film_lineage
Yearning,1964,,,0,,,film_lineage
Tokyo Drifter,1966,,,0,,,film_lineage
Japan's Longest Day,1967,,,0,,,film_lineage
Profound Desires of the Gods,1968,,,0,,,film_lineage
The Human Bullet,1968,,,0,,,film_lineage
Big Time Gambling Boss,1968,,,0,,,film_lineage
I the Executioner,1968,,,0,,,film_lineage
Boy,1969,,,0,,,film_lineage
Double Suicide,1969,,,0,,,film_lineage
Tora-San Our Lovable Tramp,1969,,,0,,,film_lineage
Take Care Red Riding Hood,1970,,,0,,,film_lineage
Red Peony Gambler: Oryu's Return,1970,,,0,,,film_lineage
Kaoyaku,1971,,,0,,,film_lineage
Wet Sand in August,1971,,,0,,,film_lineage
Outlaw Killers: Three Mad Dog Brothers,1972,,,0,,,film_lineage
Secret Chronicle: She Beast Market,1974,,,0,,,film_lineage
Lupin the Third: The Castle of Cagliostro,1979,,,0,,,film_lineage
Crazy Thunder Road,1980,,,0,,,film_lineage
Crazed Fruit,1981,,,0,,,film_lineage
A Japanese Village,1982,,,0,,,film_lineage
P.P.Rider,1983,,,0,,,film_lineage
Merry Christmas Mr. Lawrence,1983,,,0,,,film_lineage
The Little Girl Who Conquered Time,1983,,,0,,,film_lineage
Love Hotel,1985,,,0,,,film_lineage
Ran,1985,,,0,,,film_lineage
No More Comics!,1986,,,0,,,film_lineage
Castle in the Sky,1986,,,0,,,film_lineage
Tetsuo: The Iron Man,1989,,,0,,,film_lineage
Moving,1993,,,0,,,film_lineage
Sonatine,1993,,,0,,,film_lineage
Kids Return,1996,,,0,,,film_lineage
Crayon Shin-Chan: The Adult Empire Strikes Back,2001,,,0,,,film_lineage
The Twilight Samurai,2002,,,0,,,film_lineage
Bright Future,2003,,,0,,,film_lineage
Ramblers,2004,,,0,,,film_lineage
Summer Days With Coo,2007,,,0,,,film_lineage
Holy Motors,2012,,,0,,,film_lineage
Mad Max Fury Road,2015,,,0,,,film_lineage
"Synecdoche, New York",2008,,,0,,,film_lineage
25th Hour,2002,,,0,,,film_lineage
WALL-E,2008,,,0,,,film_lineage
Margaret,2011,,,0,,,film_lineage
Timbuktu,2014,,,0,,,film_lineage
The New World,2005,,,0,,,film_lineage
Inside Out,2015,,,0,,,film_lineage
Blue Is the Warmest Color,2013,,,0,,,film_lineage
Certified Copy,2010,,,0,,,film_lineage
Goodbye to Language,2014,,,0,,,film_lineage
Tropical Malady,2005,,,0,,,film_lineage
Werckmeister Harmonies,2000,,,0,,,film_lineage
Zero Dark Thirty,2012,,,0,,,film_lineage
Moolaade,2004,,,0,,,film_lineage
A History of Violence,2005,,,0,,,film_lineage
The Turin Horse,2011,,,0,,,film_lineage
"Spring, Summer, Fall, Winter... and Spring",2003,,,0,,,film_lineage
Stories We Tell,2012,,,0,,,film_lineage
Only Lovers Left Alive,2013,,,0,,,film_lineage
Spring Breakers,2012,,,0,,,film_lineage
Inherent Vice,2014,,,0,,,film_lineage
Dogville,2003,,,0,,,film_lineage
A.I. Artificial Intelligence,2001,,,0,,,film_lineage
Amelie,2001,,,0,,,film_lineage
The Assassination of Jesse James by the Coward Robert Ford,2007,,,0,,,film_lineage
Moonrise Kingdom,2012,,,0,,,film_lineage
White Material,2010,,,0,,,film_lineage
Carlos,2010,,,0,,,film_lineage
Requiem for a Dream,2000,,,0,,,film_lineage
Breathless,1960,,,0,,,film_lineage
Jeanne Dielman 23 Quai Du Commerce 1080 Bruxelles,1975,,,0,,,film_lineage
Aguirre the Wrath of God,1972,,,0,,,film_lineage
The Passion of Joan of Arc,1928,,,0,,,film_lineage
Fanny & Alexander,1982,,,0,,,film_lineage
Grand Illusion,1937,,,0,,,film_lineage
Close-Up,1990,,,0,,,film_lineage
Beau Travail,2000,,,0,,,film_lineage
Cleo From 5 to 7,1962,,,0,,,film_lineage
Jules and Jim,1962,,,0,,,film_lineage
The Earrings of Madame De...,1953,,,0,,,film_lineage
Contempt,1963,,,0,,,film_lineage
Three Colors Blue,1993,,,0,,,film_lineage
Ali Fear Eats the Soul,1974,,,0,,,film_lineage
Exterminating Angels,2006,,,0,,,film_lineage
L'eclisse,1962,,,0,,,film_lineage
Y Tu Mama Tambien,2001,,,0,,,film_lineage
Los Olvidados,1950,,,0,,,film_lineage
Celine and Julie Go Boating,1974,,,0,,,film_lineage
Umberto D.,1952,,,0,,,film_lineage
La Jetee,1962,,,0,,,film_lineage
The Story of the Last Chrysanthemum,1939,,,0,,,film_lineage
Hiroshima Mon Amour,1959,,,0,,,film_lineage
Rififi,1955,,,0,,,film_lineage
Scenes From a Marriage,1973,,,0,,,film_lineage
Where Is My Friend's House?,1987,,,0,,,film_lineage
Ashes and Diamonds,1958,,,0,,,film_lineage
Landscape in the Mist,1988,,,0,,,film_lineage
Point Break,1991,,,0,,,film_lineage
The Swamp,2001,,,0,,,film_lineage
Seven Beauties,1975,,,0,,,film_lineage
American Psycho,2000,,,0,,,film_lineage
Orlando,1992,,,0,,,film_lineage
Clueless,1995,,,0,,,film_lineage
We Need to Talk About Kevin,2011,,,0,,,film_lineage
The Hitch-Hiker,1953,,,0,,,film_lineage
The House Is Black,1963,,,0,,,film_lineage
Selma,2014,,,0,,,film_lineage
Le Bonheur,1965,,,0,,,film_lineage
Zama,2018,,,0,,,film_lineage
The Night Porter,1974,,,0,,,film_lineage
You Were Never Really Here,2018,,,0,,,film_lineage
Morvern Callar,2002,,,0,,,film_lineage
The Matrix,1999,,,0,,,film_lineage
Wendy and Lucy,2008,,,0,,,film_lineage
Olympia Parts 1 & 2,1938,,,0,,,film_lineage
Paris Is Burning,1990,,,0,,,film_lineage
Boys Don't Cry,1999,,,0,,,film_lineage
The Adventures of Prince Achmed,1926,,,0,,,film_lineage
The Virgin Suicides,1999,,,0,,,film_lineage
Triumph of the Will,1935,,,0,,,film_lineage
Near Dark,1987,,,0,,,film_lineage
An Angel at My Table,1990,,,0,,,film_lineage
The Asthenic Syndrome,1990,,,0,,,film_lineage
Salaam Bombay!,1988,,,0,,,film_lineage
Outrage,1950,,,0,,,film_lineage
Harlan County U.S.A.,1976,,,0,,,film_lineage
Bright Star,2009,,,0,,,film_lineage
Monster,2003,,,0,,,film_lineage
13th,2016,,,0,,,film_lineage
Desperately Seeking Susan,1985,,,0,,,film_lineage
The Long Farewell,1971,,,0,,,film_lineage
A League of Their Own,1992,,,0,,,film_lineage
India Song,1975,,,0,,,film_lineage
Strange Days,1995,,,0,,,film_lineage
Marie Antoinette,2006,,,0,,,film_lineage
The Rider,2018,,,0,,,film_lineage
Leave No Trace,2018,,,0,,,film_lineage
Ratcatcher,1999,,,0,,,film_lineage
Eve's Bayou,1997,,,0,,,film_lineage
The Connection,1962,,,0,,,film_lineage
Whale Rider,2003,,,0,,,film_lineage
The Seashell and the Clergyman,1928,,,0,,,film_lineage
Chocolat,1988,,,0,,,film_lineage
Meek's Cutoff,2010,,,0,,,film_lineage
The Apple,1998,,,0,,,film_lineage
Shoes,1916,,,0,,,film_lineage
Big,1988,,,0,,,film_lineage
A Girl Walks Home Alone at Night,2014,,,0,,,film_lineage
At Land,1944,,,0,,,film_lineage
Sleepless in Seattle,1993,,,0,,,film_lineage
Portrait of Jason,1967,,,0,,,film_lineage
One Sings the Other Doesn't,1977,,,0,,,film_lineage
35 Shots of Rum,2009,,,0,,,film_lineage
The Silences of the Palace,1994,,,0,,,film_lineage
The Beaches of Agnes,2008,,,0,,,film_lineage
Fast Times at Ridgemont High,1982,,,0,,,film_lineage
Ritual in Transfigured Time,1946,,,0,,,film_lineage
The Meetings of Anna,1978,,,0,,,film_lineage
The Souvenir,2019,,,0,,,film_lineage
The Citadel,1938,,,0,,,film_lineage
Wuthering Heights,1939,,,0,,,film_lineage
Watch on the Rhine,1943,,,0,,,film_lineage
Five Easy Pieces,1970,,,0,,,film_lineage
Cries and Whispers,1972,,,0,,,film_lineage
A Passage to India,1984,,,0,,,film_lineage
Broadcast News,1987,,,0,,,film_lineage
The Accidental Tourist,1988,,,0,,,film_lineage
Quiz Show,1994,,,0,,,film_lineage
L.A. Confidential,1997,,,0,,,film_lineage
Topsy-Turvy,1999,,,0,,,film_lineage
United 93,2006,,,0,,,film_lineage
Milk,2008,,,0,,,film_lineage
The Irishman,2019,,,0,,,film_lineage
First Cow,2020,,,0,,,film_lineage
Killers of the Flower Moon,2023,,,0,,,film_lineage
Dog Day Afternoon,1975,,,0,,,film_lineage
Coming Home,1978,,,0,,,film_lineage
Atlantic City,1981,,,0,,,film_lineage
Little Dorrit,1988,,,0,,,film_lineage
The Insider,1999,,,0,,,film_lineage
In the Bedroom,2001,,,0,,,film_lineage
About Schmidt,2002,,,0,,,film_lineage
Letters from Iwo Jima,2006,,,0,,,film_lineage
Small Axe,2020,,,0,,,film_lineage
Persona,1967,,,0,,,film_lineage
Shame,1968,,,0,,,film_lineage
Claire's Knee,1971,,,0,,,film_lineage
Scenes from a Marriage,1974,,,0,,,film_lineage
Melvin and Howard,1980,,,0,,,film_lineage
The Night of the Shooting Stars,1983,,,0,,,film_lineage
Stranger Than Paradise,1984,,,0,,,film_lineage
The Dead,1987,,,0,,,film_lineage
The Unbearable Lightness of Being,1988,,,0,,,film_lineage
Drugstore Cowboy,1989,,,0,,,film_lineage
Life Is Sweet,1991,,,0,,,film_lineage
Out of Sight,1998,,,0,,,film_lineage
Being John Malkovich,1999,,,0,,,film_lineage
Capote,2005,,,0,,,film_lineage
Nickel Boys,2024,,,0,,,film_lineage
I Am a Fugitive from a Chain Gang,1932,,,0,,,film_lineage
Topaze,1933,,,0,,,film_lineage
Night Must Fall,1937,,,0,,,film_lineage
Confessions of a Nazi Spy,1939,,,0,,,film_lineage
The Ox-Bow Incident,1943,,,0,,,film_lineage
None But the Lonely Heart,1944,,,0,,,film_lineage
The True Glory,1945,,,0,,,film_lineage
Henry V,1946,,,0,,,film_lineage
Monsieur Verdoux,1947,,,0,,,film_lineage
Paisan,1948,,,0,,,film_lineage
Julius Caesar,1953,,,0,,,film_lineage
The Old Man and the Sea,1958,,,0,,,film_lineage
The Nun's Story,1959,,,0,,,film_lineage
Sons and Lovers,1960,,,0,,,film_lineage
Question 7,1961,,,0,,,film_lineage
The Longest Day,1962,,,0,,,film_lineage
The Eleanor Roosevelt Story,1965,,,0,,,film_lineage
The Shoes of the Fisherman,1968,,,0,,,film_lineage
"They Shoot Horses, Don't They?",1969,,,0,,,film_lineage
Macbeth,1971,,,0,,,film_lineage
Days of Heaven,1978,,,0,,,film_lineage
Betrayal,1983,,,0,,,film_lineage
The Color Purple,1985,,,0,,,film_lineage
Empire of the Sun,1987,,,0,,,film_lineage
Mississippi Burning,1988,,,0,,,film_lineage
Quills,2000,,,0,,,film_lineage
Mystic River,2003,,,0,,,film_lineage
Finding Neverland,2004,,,0,,,film_lineage
"Good Night, and Good Luck.",2005,,,0,,,film_lineage
Up in the Air,2009,,,0,,,film_lineage
Hugo,2011,,,0,,,film_lineage
A Most Violent Year,2014,,,0,,,film_lineage
Manchester by the Sea,2016,,,0,,,film_lineage
The Post,2017,,,0,,,film_lineage
Da 5 Bloods,2020,,,0,,,film_lineage
Licorice Pizza,2021,,,0,,,film_lineage
Top Gun: Maverick,2022,,,0,,,film_lineage
Wicked,2024,,,0,,,film_lineage
Carmen Jones,1955,,,0,,,film_lineage
Il grido,1957,,,0,,,film_lineage
Ten North Frederick,1958,,,0,,,film_lineage
Killer's Kiss,1959,,,0,,,film_lineage
Il bell'Antonio,1960,,,0,,,film_lineage
Fires on the Plain,1961,,,0,,,film_lineage
The Winner,1962,,,0,,,film_lineage
Transport from Paradise,1963,,,0,,,film_lineage
Black Peter,1964,,,0,,,film_lineage
Four in the Morning,1965,,,0,,,film_lineage
Everyday Courage,1966,,,0,,,film_lineage
Entranced Earth,1967,,,0,,,film_lineage
The Visionaries,1968,,,0,,,film_lineage
"Charles, Dead or Alive",1969,,,0,,,film_lineage
End of the Road,1970,,,0,,,film_lineage
They Have Changed Their Face,1971,,,0,,,film_lineage
Bleak Moments,1972,,,0,,,film_lineage
The Illumination,1973,,,0,,,film_lineage
25 Fireman's Street,1974,,,0,,,film_lineage
The Son of Amir Is Dead,1975,,,0,,,film_lineage
The Big Night,1976,,,0,,,film_lineage
Antonio Gramsci: The Days of Prison,1977,,,0,,,film_lineage
The Idlers of the Fertile Valley,1978,,,0,,,film_lineage
The Herd,1979,,,0,,,film_lineage
To Love the Damned,1980,,,0,,,film_lineage
The Vicious Circle,1981,,,0,,,film_lineage
The Princess,1983,,,0,,,film_lineage
Alpine Fire,1985,,,0,,,film_lineage
Lake of Constance,1986,,,0,,,film_lineage
The Jester,1987,,,0,,,film_lineage
Why Has Bodhi-Dharma Left for the East?,1989,,,0,,,film_lineage
Accidental Waltz,1990,,,0,,,film_lineage
Johnny Suede,1991,,,0,,,film_lineage
Autumn Moon,1992,,,0,,,film_lineage
The Place on a Grey Tricorne,1993,,,0,,,film_lineage
Khomreh,1994,,,0,,,film_lineage
