facet,slug,label,parent_slug,has_editions,tier,authority_weight,source,external_ref,description,country,strategic_tier
national,national-se-flm,FLM best Swedish films,,false,T2,0.72,flm,"{""year"":2022}",72 critics/scholars ranking the best Swedish films; topped by Körkarlen,se,
national,national-pl-najlepsze,Najlepsze filmy polskie,,false,T3,0.60,polish-critics,{},Canon of greatest Polish films; no single definitive edition confirmed (review),pl,
national,national-dk-best,Danish best films (DFI/Politiken),,false,T3,0.56,dfi,{},Canon of best Danish films; specific DFI/Politiken edition not confirmed (review),dk,
national,national-mx-somos-100,Somos: 100 mejores del cine mexicano,,false,T2,0.76,somos,"{""year"":1994}",25 specialists selected the 100 best Mexican films for the magazine's 100th issue,mx,
national,national-br-abraccine-100,Abraccine: 100 melhores filmes brasileiros,,false,T2,0.78,abraccine,"{""year"":2015}",~100 Brazilian critics ranked the 100 best Brazilian films; topped by Limite,br,
national,national-ar-encuesta,Museo del Cine Encuesta de Cine Argentino,,false,T2,0.78,museo-del-cine,"{""year"":2022}",[HIDDEN pending verification] Museo del Cine Encuesta de Cine Argentino 2022 — PARTIAL: only reliable top ~28 of 100 captured,ar,
national,national-ca-tiff-top-ten,TIFF Canada's All-Time Top Ten,,false,T2,0.78,tiff,"{""year"":2015}",Decennial poll of 220 critics/programmers; topped by Atanarjuat,ca,
national,national-au-best,Australian Critics' 21st-Century Top 25 (2018),,false,T3,0.58,au-critics,{},"Poll of 51 Australian film critics — best Australian films of the 21st century, 2018",au,
national,national-kr-cine21-21c,Cine21 Best Korean Films of 2020,,false,T3,0.62,cine21,{},Cine21 critics/filmmakers year-end poll — best Korean films of 2020 (annual top 10; NOT a 21st-century canon),kr,
national,national-jp-kinema-junpo-2000s,Kinema Junpo Best of the 2000s,,false,T3,0.62,kinema-junpo,{},Kinema Junpo critics poll — best Japanese & foreign films of the 2000s decade (2020),jp,
national,national-es-caiman-21c-50,Caimán 50 mejores del siglo XXI,,false,T3,0.60,caiman,{},Caimán best of the 21st century; specific 2021 edition not confirmed (review),es,
national,national-ro-rfca-decade,Romanian Critics All-Time Top 10 (2008),,false,T3,0.56,rfca,{},"Romanian Filmmakers Union & Film Critics Association all-time best Romanian films poll, 2008 (topped by The Reenactment)",ro,
national,national-us-indiewire-decade,IndieWire Best Films of the Decade,,false,T3,0.64,indiewire,"{""year"":2019}",250 critics/programmers/filmmakers named 100 best films of the 2010s,us,
section,berlin-forum,Forum (Internationales Forum des Jungen Films),berlin,true,T3,0.60,wikipedia,{},"Non-competitive avant-garde, essay and experimental sidebar of the Berlinale since 1971",,S1
section,nyff-main-slate,NYFF Main Slate,new-york,true,T2,0.74,wikipedia,{},"Principal program of the New York Film Festival, ~25-30 feature-length films",,S1
section,nyff-currents,NYFF Currents,new-york,true,T3,0.62,wikipedia,{},"NYFF section for new and innovative narrative, documentary and experimental forms",,S1
section,tiff-wavelengths,TIFF Wavelengths,toronto,true,T3,0.60,wikipedia,{},Curated avant-garde/experimental showcase of artist film and video at TIFF,,S2
section,tiff-platform,TIFF Platform,toronto,true,T3,0.64,wikipedia,{},Juried director's-cinema competition at TIFF since 2015; winner receives the Platform Prize,,S2
section,locarno-concorso-internazionale,Concorso Internazionale,locarno,true,T2,0.74,wikipedia,{},Main international competition of Locarno; top prize the Pardo d'Oro (Golden Leopard),,S2
section,locarno-cineasti-del-presente,Concorso Cineasti del Presente,locarno,true,T3,0.62,wikipedia,{},Locarno competition for first and second feature films,,S2
section,sundance-world-cinema-dramatic,World Cinema Dramatic Competition,sundance,true,T2,0.70,wikipedia,{},Sundance competition for international narrative feature films,,S2
section,sundance-next,NEXT,sundance,true,T3,0.60,wikipedia,{},Sundance section for bold innovative storytelling; awards the NEXT Innovator Award,,S2
festival,bafici,Buenos Aires International Festival of Independent Cinema,,false,T3,0.62,wikidata,"{""wikidata"":""Q4985536""}","Argentina's foremost independent film festival, in Buenos Aires since 1999",,S3
award,bafici-international-competition,International Competition,bafici,true,T3,0.60,wikipedia,{},BAFICI's principal competitive section for first/second/third features; awards Best Film,,S3
festival,fespaco,Panafrican Film and Television Festival of Ouagadougou,,false,T3,0.64,wikidata,"{""wikidata"":""Q1202380""}","Largest African film festival, held biennially in Ouagadougou since 1969",,S3
award,fespaco-etalon-yennenga,Étalon d'Or de Yennenga,fespaco,true,T3,0.64,wikipedia,{},FESPACO's top prize (Golden Stallion of Yennenga) for the best African feature,,S3
festival,idfa,International Documentary Film Festival Amsterdam,,false,T3,0.66,wikidata,"{""wikidata"":""Q1666506"",""subtype"":""documentary""}","World's largest documentary film festival, in Amsterdam since 1988",,S4
award,idfa-best-film,Best Film International Competition,idfa,true,T3,0.64,wikipedia,"{""subtype"":""documentary""}",IDFA's main prize for best film in the International Competition,,S4
festival,cph-dox,CPH:DOX,,false,T3,0.62,wikidata,"{""wikidata"":""Q5168483"",""subtype"":""documentary""}","Copenhagen International Documentary Film Festival, leading doc festival since 2003",,S4
award,cph-dox-dox-award,DOX:AWARD,cph-dox,true,T3,0.60,wikipedia,"{""subtype"":""documentary""}",CPH:DOX's flagship main competition prize for feature documentaries,,S4
festival,il-cinema-ritrovato,Il Cinema Ritrovato,,false,T3,0.58,wikidata,"{""wikidata"":""Q2250346"",""subtype"":""restoration""}",Annual classic-cinema and restoration festival by Cineteca di Bologna since 1986,,S4
festival,annecy,Annecy International Animation Film Festival,,false,T3,0.62,wikidata,"{""wikidata"":""Q1408677"",""subtype"":""animation""}","Premier international animation film festival, in Annecy France since 1960",,S4
award,annecy-cristal-feature,Cristal for Best Feature,annecy,true,T3,0.62,wikipedia,"{""subtype"":""animation""}",Annecy's top prize for best animated feature (the Cristal since 2003),,S4
movement,cinema-of-attractions,Cinema of Attractions,,false,T3,0.58,wikidata,"{""period"":""1895-1906"",""wikidata"":""Q1811653""}",Gunning/Gaudreault's term for early exhibitionist cinema of spectacle and direct address,,
movement,brighton-school,Brighton School,,false,T3,0.55,wikidata,"{""period"":""1896-1910"",""wikidata"":""Q2251066""}","Pioneering British filmmakers (Smith, Williamson) experimenting with close-ups and continuity",,
movement,kammerspielfilm,Kammerspielfilm,,false,T3,0.60,wikidata,"{""period"":""1921-1924"",""wikidata"":""Q1502766""}",Intimate German silent chamber-drama reacting against Expressionist spectacle,,
movement,cinema-pur,Cinema Pur,,false,T3,0.57,wikidata,"{""period"":""1921-1931"",""wikidata"":""Q2742446""}",Paris avant-garde seeking pure cinema of motion and rhythm freed from narrative,,
movement,classical-hollywood,Classical Hollywood,,false,T2,0.72,wikidata,"{""period"":""1917-1960"",""wikidata"":""Q2166646""}","Dominant studio-system style of American filmmaking; continuity editing, invisible form",,
movement,japanese-golden-age,Japanese Golden Age,,false,T2,0.70,,"{""period"":""1950-1960""}","Peak of postwar Japanese studio cinema (Kurosawa, Ozu, Mizoguchi)",,
movement,polish-school,Polish Film School,,false,T3,0.62,wikidata,"{""period"":""1956-1963"",""wikidata"":""Q719868""}","Postwar Polish movement (Wajda, Munk) confronting WWII trauma after the 1956 thaw",,
movement,yugoslav-black-wave,Yugoslav Black Wave,,false,T3,0.60,wikidata,"{""period"":""1963-1972"",""wikidata"":""Q2330738""}","Polemical Yugoslav movement (Makavejev, Pavlovic, Zilnik) critiquing socialist society",,
movement,imperfect-cinema,Imperfect Cinema,,false,T3,0.56,,"{""period"":""1969-1979""}",Cuban tendency (Garcia Espinosa 1969 manifesto) valuing urgent low-budget cinema,,
movement,chinese-fifth-generation,Chinese Fifth Generation,,false,T2,0.70,wikidata,"{""period"":""1983-1993"",""wikidata"":""Q11818799""}","Post-Mao Beijing Film Academy directors (Zhang Yimou, Chen Kaige) of bold visual allegory",,
movement,chinese-sixth-generation,Chinese Sixth Generation,,false,T3,0.64,wikidata,"{""period"":""1990-2005"",""wikidata"":""Q95875016""}","Independent underground 1990s directors (Jia Zhangke, Lou Ye) of documentary urban realism",,
movement,greek-weird-wave,Greek Weird Wave,,false,T2,0.70,wikidata,"{""period"":""2009-2015"",""wikidata"":""Q62086465""}","Late-2000s Greek absurdist deadpan films (Lanthimos, Tsangari) amid economic crisis",,
movement,new-argentine-cinema,New Argentine Cinema,,false,T2,0.70,wikidata,"{""period"":""1995-2010"",""wikidata"":""Q2843729""}",Mid-1990s Argentine renewal of long takes and observational realism,,
movement,no-wave-cinema,No Wave Cinema,,false,T3,0.58,,"{""period"":""1976-1985""}",Lower East Side guerrilla Super-8 movement of raw immediacy; seeded Cinema of Transgression,,
movement,structural-materialist-film,Structural/Materialist Film,,false,T3,0.57,wikidata,"{""period"":""1966-1979"",""wikidata"":""Q2973217""}","Avant-garde foregrounding film's material/formal properties (Gidal, Le Grice)",,
movement,expanded-cinema,Expanded Cinema,,false,T3,0.57,wikidata,"{""period"":""1965-1975"",""wikidata"":""Q471920""}",1960s multimedia practice extending cinema beyond the single screen (Youngblood 1970),,
movement,zanzibar-group,Zanzibar Group,,false,T3,0.53,wikidata,"{""period"":""1968-1970"",""wikidata"":""Q15408735""}","Radical post-May-1968 French collective (Garrel, Raynal) of scriptless 35mm films",,
movement,new-american-cinema-underground,New American Cinema (Underground),,false,T3,0.62,wikidata,"{""period"":""1960-1970"",""wikidata"":""Q16582085""}",NY avant-garde crystallized by Mekas's 1960 New American Cinema Group manifesto,,
movement,essay-film,Essay Film,,false,T2,0.70,wikidata,"{""period"":""1958-2000"",""wikidata"":""Q11356864""}","Reflective form between doc and fiction (Marker, Resnais, Varda, Godard)",,
movement,sensory-ethnography-lab,Sensory Ethnography Lab,,false,T3,0.55,wikidata,"{""period"":""2006-2020"",""wikidata"":""Q7451113""}",Harvard lab (Castaing-Taylor) of immersive non-verbal observational documentary,,
movement,desktop-documentary,Desktop Documentary,,false,T3,0.54,,"{""period"":""2014-2024""}",Screen-capture nonfiction form (Kevin B. Lee 2014) using the desktop as camera and canvas,,
movement,film-noir,Film Noir,,false,T2,0.72,wikidata,"{""period"":""1940-1958"",""wikidata"":""Q185867"",""subtype"":""genre-cycle""}","Classic Hollywood crime cycle of cynicism, chiaroscuro and hardboiled fatalism",,
movement,spaghetti-western,Spaghetti Western,,false,T2,0.70,wikidata,"{""period"":""1964-1978"",""wikidata"":""Q212781"",""subtype"":""genre-cycle""}",European (Italian) Western cycle launched by Leone's stylized violence and Morricone scores,,
movement,giallo,Giallo,,false,T2,0.70,,"{""period"":""1963-1979"",""subtype"":""genre-cycle""}","Italian murder-mystery cycle (Bava, Argento) of lurid color and black-gloved killers",,
movement,pinku-eiga,Pinku Eiga,,false,T3,0.58,wikidata,"{""period"":""1962-1985"",""wikidata"":""Q1194365"",""subtype"":""genre-cycle""}",Japanese low-budget erotic feature cycle that also enabled formal/political experimentation,,
movement,elevated-horror,Elevated Horror,,false,T3,0.60,wikidata,"{""period"":""2014-2024"",""wikidata"":""Q97191621"",""subtype"":""genre-cycle""}",2010s arthouse horror (often A24) foregrounding grief and dread; contested 'post-horror',,
style,style-minimalism,Minimalism,,false,,0.48,,"{""subtype"":""aesthetic""}","Pared-down aesthetic of restraint, sparse mise-en-scene and elliptical narration",,
style,style-long-take,Long Take,,false,,0.50,,"{""subtype"":""aesthetic""}",Sustained unbroken shots preserving real time and spatial continuity,,
style,style-female-gaze,Female Gaze,,false,,0.46,,"{""subtype"":""aesthetic""}",Mode of looking centering female subjectivity and embodied experience,,
style,style-magic-realism,Magic Realism,,false,,0.48,,"{""subtype"":""aesthetic""}",Fantastical elements presented matter-of-factly within an otherwise realistic world,,
style,style-tableau-cinema,Tableau Cinema,,false,,0.45,,"{""subtype"":""aesthetic""}",Static painterly frontal tableau shots emphasizing depth staging over editing,,
style,style-deadpan,Deadpan,,false,,0.46,,"{""subtype"":""aesthetic""}",Flat affectless performance where absurdity is played with impassive seriousness,,
style,style-transcendental-style,Transcendental Style,,false,,0.50,,"{""subtype"":""aesthetic""}","Schrader's term for austere contemplative form (Ozu, Bresson, Dreyer)",,
style,style-genre-bending,Genre-Bending,,false,,0.44,,"{""subtype"":""aesthetic""}","Deliberate mixing, subversion or hybridization of genre conventions",,
style,style-hyperlink-narrative,Hyperlink Narrative,,false,,0.46,,"{""subtype"":""aesthetic""}",Multi-strand storytelling connecting dispersed characters through chance or theme,,
style,style-meta-cinema,Meta-Cinema,,false,,0.46,,"{""subtype"":""aesthetic""}","Self-reflexive aesthetic foregrounding filmmaking, spectatorship or the medium's artifice",,
style,style-docufiction,Docufiction,,false,,0.48,,"{""subtype"":""aesthetic""}","Hybrid blending documentary and fictional methods, real settings and non-actors",,
style,style-bressonian,Bressonian,,false,,0.50,,"{""subtype"":""auteur-adjective"",""namesake"":""Robert Bresson""}","After Bresson: non-professional models, fragmented gestures, spiritual restraint",,
style,style-lynchian,Lynchian,,false,,0.52,,"{""subtype"":""auteur-adjective"",""namesake"":""David Lynch""}",After Lynch: uncanny surreal dread juxtaposed with mundane Americana,,
style,style-tarkovskian,Tarkovskian,,false,,0.50,,"{""subtype"":""auteur-adjective"",""namesake"":""Andrei Tarkovsky""}","After Tarkovsky: slow contemplative long takes, sculpted time, elemental imagery",,
style,style-ozu-esque,Ozu-esque,,false,,0.48,,"{""subtype"":""auteur-adjective"",""namesake"":""Yasujiro Ozu""}","After Ozu: tatami-level static camera, geometric framing, pillow shots",,
