Film_TMDB_ID,Film_Title,Film_Director_Name
,The Disciple,Chaitanya Tamhane
,Vitalina Varela,Pedro Costa
,The Rider,Chloe Zhao
,Certain Women,Kelly Reichardt
,"Right Now, Wrong Then",Hong Sang-soo
,The Club,Pablo Larrain
,Once Upon a Time in Anatolia,Nuri Bilge Ceylan
,The Day He Arrives,Hong Sang-soo
,Meek's Cutoff,Kelly Reichardt
,I Killed My Mother,Xavier Dolan
,Departures,Yojiro Takita
,The Class,Laurent Cantet
,Two Lovers,James Gray
,Gone Baby Gone,Ben Affleck
,Michael Clayton,Tony Gilroy
,Letters from Iwo Jima,Clint Eastwood
,The Wind That Shakes the Barley,Ken Loach
,Ghost in the Shell 2: Innocence,Mamoru Oshii
,Capturing the Friedmans,Andrew Jarecki
,"Spring, Summer, Fall, Winter... and Spring",Kim Ki-duk
,The Return,Andrey Zvyagintsev
,Metropolis,Rintaro
,American Movie,Chris Smith
,Jin-Roh: The Wolf Brigade,Hiroyuki Okiura
,Dil Se,Mani Ratnam
,Hana-bi,Takeshi Kitano
,Irma Vep,Olivier Assayas
,Underground,Emir Kusturica
,Crumb,Terry Zwigoff
,Once Upon a Time in China,Tsui Hark
,The Vanishing,George Sluizer
,Withnail and I,Bruce Robinson
,Re-Animator,Stuart Gordon
,Tampopo,Juzo Itami
,Repo Man,Alex Cox
,Merry Christmas Mr. Lawrence,Nagisa Oshima
,House,Nobuhiko Obayashi
,Gimme Shelter,Albert Maysles
,Dont Look Back,D.A. Pennebaker
,Shock Corridor,Samuel Fuller
,The Man Who Shot Liberty Valance,John Ford
,Imitation of Life,Douglas Sirk
,Rio Bravo,Howard Hawks
,Giant,George Stevens
,Written on the Wind,Douglas Sirk
,All That Heaven Allows,Douglas Sirk
,East of Eden,Elia Kazan
,Kiss Me Deadly,Robert Aldrich
,Johnny Guitar,Nicholas Ray
,Pickup on South Street,Samuel Fuller
,The Band Wagon,Vincente Minnelli
,The Big Heat,Fritz Lang
,A Place in the Sun,George Stevens
,An American in Paris,Vincente Minnelli
,The Lavender Hill Mob,Charles Crichton
,The Man in the White Suit,Alexander Mackendrick
,Gun Crazy,Joseph H. Lewis
,In a Lonely Place,Nicholas Ray
,The Asphalt Jungle,John Huston
,Kind Hearts and Coronets,Robert Hamer
,White Heat,Raoul Walsh
,Letter from an Unknown Woman,Max Ophuls
,Red River,Howard Hawks
,The Treasure of the Sierra Madre,John Huston
,Gilda,Charles Vidor
,My Darling Clementine,John Ford
,The Best Years of Our Lives,William Wyler
,The Big Sleep,Howard Hawks
,The Killers,Robert Siodmak
,Detour,Edgar G. Ulmer
,Scarlet Street,Fritz Lang
,Laura,Otto Preminger
,Meet Me in St. Louis,Vincente Minnelli
,To Be or Not to Be,Ernst Lubitsch
,How Green Was My Valley,John Ford
,Sullivan's Travels,Preston Sturges
,The Lady Eve,Preston Sturges
,His Girl Friday,Howard Hawks
,The Grapes of Wrath,John Ford
,The Philadelphia Story,George Cukor
,The Shop Around the Corner,Ernst Lubitsch
,Mr. Smith Goes to Washington,Frank Capra
,Ninotchka,Ernst Lubitsch
,Top Hat,Mark Sandrich
,It Happened One Night,Frank Capra
,Trouble in Paradise,Ernst Lubitsch
,Highest 2 Lowest,Spike Lee
,Jay Kelly,Noah Baumbach
,Maria,Pablo Larrain
,Presence,Steven Soderbergh
,Hit Man,Richard Linklater
,Priscilla,Sofia Coppola
,White Noise,Noah Baumbach
,"Paris, 13th District",Jacques Audiard
,West Side Story,Steven Spielberg
,Dark Waters,Todd Haynes
,Summer Wars,Mamoru Hosoda
,Pineapple Express,David Gordon Green
,Step Brothers,Adam McKay
,Tropic Thunder,Ben Stiller
,Knocked Up,Judd Apatow
,Idiocracy,Mike Judge
,Mission: Impossible III,J.J. Abrams
,Fahrenheit 9/11,Michael Moore
,Ong-Bak,Prachya Pinkaew
,The Matrix Reloaded,Lana Wachowski
,Bowling for Columbine,Michael Moore
,Chicago,Rob Marshall
,Devdas,Sanjay Leela Bhansali
,The Cat Returns,Hiroyuki Morita
,Moulin Rouge!,Baz Luhrmann
,Shaolin Soccer,Stephen Chow
,Ocean Waves,Tomomi Mochizuki
,Mad Max Beyond Thunderdome,George Miller
,Poltergeist,Tobe Hooper
,Friday the 13th,Sean S. Cunningham
,The Rocky Horror Picture Show,Jim Sharman
,Goldfinger,Guy Hamilton
,Dr. No,Terence Young
,Zama,Lucrecia Martel
,Court,Chaitanya Tamhane
,35 Shots of Rum,Claire Denis
,Wendy and Lucy,Kelly Reichardt
,Climates,Nuri Bilge Ceylan
,Distant,Nuri Bilge Ceylan
,The Son,Jean-Pierre Dardenne
,La Promesse,Jean-Pierre Dardenne
,Caught by the Tides,Jia Zhangke
,After the Hunt,Luca Guadagnino
,Hedda,Nia DaCosta
,Roofman,Derek Cianfrance
,The Ballad of a Small Player,Edward Berger
,Babygirl,Halina Reijn
,Cuckoo,Tilman Singer
,Friendship,Andrew DeYoung
,Immaculate,Michael Mohan
,In a Violent Nature,Chris Nash
,Megalopolis,Francis Ford Coppola
,September 5,Tim Fehlbaum
,The Order,Justin Kurzel
,Concrete Utopia,Um Tae-hwa
,Origin,Ava DuVernay
,The Promised Land,Nikolaj Arcel
,Blonde,Andrew Dominik
,Bodies Bodies Bodies,Halina Reijn
,Malignant,James Wan
,The Medium,Banjong Pisanthanakun
,Ammonite,Francis Lee
,Boys State,Amanda McBaine
,Honey Boy,Alma Har'el
,I'm No Longer Here,Fernando Frias
,La Llorona,Jayro Bustamante
,"The Gangster, the Cop, the Devil",Lee Won-tae
,The Two Popes,Fernando Meirelles
,Gonjiam: Haunted Asylum,Jung Bum-shik
,The Witch: Part 1,Park Hoon-jung
,Vice,Adam McKay
,The Beguiled,Sofia Coppola
,The Post,Steven Spielberg
,Frantz,Francois Ozon
,Bridge of Spies,Steven Spielberg
,Crimson Peak,Guillermo del Toro
,While We're Young,Noah Baumbach
,The Bling Ring,Sofia Coppola
,Magic Mike,Steven Soderbergh
,Hugo,Martin Scorsese
,Somewhere,Sofia Coppola
,Doctor Strange,Scott Derrickson
,Angel's Egg,Mamoru Oshii
,Harlan County USA,Barbara Kopple
,The Sorrow and the Pity,Marcel Ophuls
,Titicut Follies,Frederick Wiseman
,The Up Series,Michael Apted
,Chronicle of a Summer,Jean Rouch
,Kontinental 25,Radu Jude
,Resurrection,Bi Gan
,Black Dog,Guan Hu
,Grand Tour,Miguel Gomes
,On Becoming a Guinea Fowl,Rungano Nyoni
,Sujo,Astrid Rondero
,Universal Language,Matthew Rankin
,Vermiglio,Maura Delpero
,Earth Mama,Savanah Leaf
,Green Border,Agnieszka Holland
,The Eternal Memory,Maite Alberdi
,R.M.N.,Cristian Mungiu
,Ahed's Knee,Nadav Lapid
,Nitram,Justin Kurzel
,Prayers for the Stolen,Tatiana Huezo
,The Souvenir Part II,Joanna Hogg
,Beginning,Dea Kulumbegashvili
,Shirley,Josephine Decker
,Jallikattu,Lijo Jose Pellissery
,Martin Eden,Pietro Marcello
,The Painted Bird,Vaclav Marhoul
,House of Hummingbird,Kim Bora
,Rojo,Benjamin Naishtat
,Beauty and the Dogs,Kaouther Ben Hania
,Gerald's Game,Mike Flanagan
,Tigers Are Not Afraid,Issa Lopez
,Colossal,Nacho Vigalondo
,Divines,Houda Benyamina
,The Attorney,Yang Woo-suk
,The Spectacular Now,James Ponsoldt
,Tucker and Dale vs. Evil,Eli Craig
,Red Cliff,John Woo
,Broken Flowers,Jim Jarmusch
,8 Women,Francois Ozon
,Insomnia,Christopher Nolan
,Panic Room,David Fincher
,Out of Sight,Steven Soderbergh
,The Game,David Fincher
,To Die For,Gus Van Sant
,Jawan,Atlee
,K.G.F: Chapter 2,Prashanth Neel
,The Roundup,Lee Sang-yong
,The Conjuring: The Devil Made Me Do It,Michael Chaves
,Wonder Woman 1984,Patty Jenkins
,Spider-Man: Far From Home,Jon Watts
,Star Wars: The Rise of Skywalker,J.J. Abrams
,Jurassic World: Fallen Kingdom,J.A. Bayona
,Solo: A Star Wars Story,Ron Howard
,The Nun,Corin Hardy
,Star Wars: Episode I - The Phantom Menace,George Lucas
,Ixcanul,Jayro Bustamante
,Kaili Blues,Bi Gan
,Sweet Bean,Naomi Kawase
,The Childhood of a Leader,Brady Corbet
,Blind Massage,Lou Ye
,Laurence Anyways,Xavier Dolan
,Ship of Theseus,Anand Gandhi
,Snowtown,Justin Kurzel
,White Material,Claire Denis
,Inland Empire,David Lynch
,Old Joy,Kelly Reichardt
,Trouble Every Day,Claire Denis
,Redline,Takeshi Koike
,We Own the Night,James Gray
,Steamboy,Katsuhiro Otomo
,Vampire Hunter D: Bloodlust,Yoshiaki Kawajiri
,Drunken Master II,Lau Kar-leung
,Say Anything...,Cameron Crowe
,The Howling,Joe Dante
,The Fog,John Carpenter
,The Spy Who Loved Me,Lewis Gilbert
,Woodstock,Michael Wadleigh
,Along with the Gods: The Two Worlds,Kim Yong-hwa
,Annabelle: Creation,David F. Sandberg
,Lebanon,Samuel Maoz
,Spring Fever,Lou Ye
,Summer Hours,Olivier Assayas
,Sir,Rohena Gera
