Rank,Wave,Bucket,Film_Title,Film_Director_Name,Year,Country,Demand,Density,Priority
329,2,Popular/genre depth,The Fog of War,Errol Morris,2003,USA,3,5,15
330,2,Canon backfill,Divine Intervention,Elia Suleiman,2002,Palestine,3,5,15
331,2,Canon backfill,Russian Ark,Aleksandr Sokurov,2002,Russia,3,5,15
332,2,Canon backfill,Beijing Bicycle,Wang Xiaoshuai,2001,China,3,5,15
333,2,Canon backfill,Pulse,Kiyoshi Kurosawa,2001,Japan,3,5,15
334,2,Canon backfill,What Time Is It There?,Tsai Ming-liang,2001,Taiwan,3,5,15
335,2,Canon backfill,A Time for Drunken Horses,Bahman Ghobadi,2000,Iran,3,5,15
336,2,Canon backfill,Chunhyang,Im Kwon-taek,2000,South Korea,3,5,15
337,2,Canon backfill,Devils on the Doorstep,Jiang Wen,2000,China,3,5,15
338,2,Canon backfill,Songs from the Second Floor,Roy Andersson,2000,Sweden,3,5,15
339,2,Canon backfill,Suzhou River,Lou Ye,2000,China,3,5,15
340,2,Canon backfill,The Circle,Jafar Panahi,2000,Iran,3,5,15
341,2,Canon backfill,The Gleaners and I,Agnes Varda,2000,France,3,5,15
342,2,Canon backfill,The Isle,Kim Ki-duk,2000,South Korea,3,5,15
343,2,Canon backfill,Kikujiro,Takeshi Kitano,1999,Japan,3,5,15
344,2,Canon backfill,The Color of Paradise,Majid Majidi,1999,Iran,3,5,15
345,2,Canon backfill,Eternity and a Day,Theo Angelopoulos,1998,Greece,3,5,15
346,2,Canon backfill,The Apple,Samira Makhmalbaf,1998,Iran,3,5,15
347,2,Canon backfill,The Celebration,Thomas Vinterberg,1998,Denmark,3,5,15
348,2,Canon backfill,Children of Heaven,Majid Majidi,1997,Iran,3,5,15
349,2,Canon backfill,Cure,Kiyoshi Kurosawa,1997,Japan,3,5,15
350,2,Canon backfill,The Eel,Shohei Imamura,1997,Japan,3,5,15
351,2,Canon backfill,A Moment of Innocence,Mohsen Makhmalbaf,1996,Iran,3,5,15
352,2,Canon backfill,Gabbeh,Mohsen Makhmalbaf,1996,Iran,3,5,15
353,2,Canon backfill,La Ceremonie,Claude Chabrol,1995,France,3,5,15
354,2,Canon backfill,The White Balloon,Jafar Panahi,1995,Iran,3,5,15
355,2,Canon backfill,Ulysses' Gaze,Theo Angelopoulos,1995,Greece,3,5,15
356,2,Canon backfill,In the Heat of the Sun,Jiang Wen,1994,China,3,5,15
357,2,Canon backfill,Vive L'Amour,Tsai Ming-liang,1994,Taiwan,3,5,15
358,2,Canon backfill,Sonatine,Takeshi Kitano,1993,Japan,3,5,15
359,2,Canon backfill,Sopyonje,Im Kwon-taek,1993,South Korea,3,5,15
360,2,Canon backfill,The Blue Kite,Tian Zhuangzhuang,1993,China,3,5,15
361,2,Canon backfill,Center Stage,Stanley Kwan,1991,Hong Kong,3,5,15
362,2,Canon backfill,La Belle Noiseuse,Jacques Rivette,1991,France,3,5,15
363,2,Canon backfill,Black Rain,Shohei Imamura,1989,Japan,3,5,15
364,2,Canon backfill,Landscape in the Mist,Theo Angelopoulos,1988,Greece,3,5,15
365,2,Canon backfill,Salaam Bombay!,Mira Nair,1988,India,3,5,15
366,2,Canon backfill,A Chinese Ghost Story,Ching Siu-tung,1987,Hong Kong,3,5,15
367,2,Canon backfill,A Taxing Woman,Juzo Itami,1987,Japan,3,5,15
368,2,Canon backfill,Rouge,Stanley Kwan,1987,Hong Kong,3,5,15
369,2,Canon backfill,The Green Ray,Eric Rohmer,1986,France,3,5,15
370,2,Canon backfill,The Terrorizers,Edward Yang,1986,Taiwan,3,5,15
371,2,Canon backfill,Taipei Story,Edward Yang,1985,Taiwan,3,5,15
372,2,Canon backfill,Vagabond,Agnes Varda,1985,France,3,5,15
373,2,Canon backfill,Yellow Earth,Chen Kaige,1984,China,3,5,15
374,2,Canon backfill,A nos amours,Maurice Pialat,1983,France,3,5,15
375,2,Canon backfill,El Sur,Victor Erice,1983,Spain,3,5,15
376,2,Canon backfill,Pauline at the Beach,Eric Rohmer,1983,France,3,5,15
377,2,Canon backfill,The Fourth Man,Paul Verhoeven,1983,Netherlands,3,5,15
378,2,Popular/genre depth,Being There,Hal Ashby,1979,USA,3,5,15
379,2,Canon backfill,Vengeance Is Mine,Shohei Imamura,1979,Japan,3,5,15
380,2,Canon backfill,Soldier of Orange,Paul Verhoeven,1977,Netherlands,3,5,15
381,2,Canon backfill,The Chess Players,Satyajit Ray,1977,India,3,5,15
382,2,Canon backfill,Cria Cuervos,Carlos Saura,1976,Spain,3,5,15
383,2,Popular/genre depth,Grey Gardens,Albert Maysles,1975,USA,3,5,15
384,2,Canon backfill,"Jeanne Dielman, 23 quai du Commerce",Chantal Akerman,1975,Belgium,3,5,15
385,2,Canon backfill,The Lost Honour of Katharina Blum,Volker Schlondorff,1975,Germany,3,5,15
386,2,Canon backfill,The Travelling Players,Theo Angelopoulos,1975,Greece,3,5,15
387,2,Canon backfill,Celine and Julie Go Boating,Jacques Rivette,1974,France,3,5,15
388,2,Canon backfill,We All Loved Each Other So Much,Ettore Scola,1974,Italy,3,5,15
389,2,Canon backfill,The Mother and the Whore,Jean Eustache,1973,France,3,5,15
390,2,Canon backfill,Turkish Delight,Paul Verhoeven,1973,Netherlands,3,5,15
391,2,Canon backfill,Death in Venice,Luchino Visconti,1971,Italy,3,5,15
392,2,Popular/genre depth,Harold and Maude,Hal Ashby,1971,USA,3,5,15
393,2,Canon backfill,Trafic,Jacques Tati,1971,France,3,5,15
394,2,Canon backfill,Claire's Knee,Eric Rohmer,1970,France,3,5,15
395,2,Canon backfill,Days and Nights in the Forest,Satyajit Ray,1970,India,3,5,15
396,2,Canon backfill,Investigation of a Citizen Above Suspicion,Elio Petri,1970,Italy,3,5,15
397,2,Canon backfill,Le Boucher,Claude Chabrol,1970,France,3,5,15
398,2,Canon backfill,The Spider's Stratagem,Bernardo Bertolucci,1970,Italy,3,5,15
399,2,Canon backfill,Boy,Nagisa Oshima,1969,Japan,3,5,15
400,2,Canon backfill,Funeral Parade of Roses,Toshio Matsumoto,1969,Japan,3,5,15
401,2,Contemporary curation,Kes,Ken Loach,1969,UK,3,5,15
402,2,Canon backfill,My Night at Maud's,Eric Rohmer,1969,France,3,5,15
403,2,Canon backfill,The Cow,Dariush Mehrjui,1969,Iran,3,5,15
404,2,Canon backfill,Death by Hanging,Nagisa Oshima,1968,Japan,3,5,15
405,2,Canon backfill,Kuroneko,Kaneto Shindo,1968,Japan,3,5,15
406,2,Canon backfill,Teorema,Pier Paolo Pasolini,1968,Italy,3,5,15
407,2,Canon backfill,Samurai Rebellion,Masaki Kobayashi,1967,Japan,3,5,15
408,2,Canon backfill,The Young Girls of Rochefort,Jacques Demy,1967,France,3,5,15
409,2,Canon backfill,Nayak,Satyajit Ray,1966,India,3,5,15
410,2,Canon backfill,The Sword of Doom,Kihachi Okamoto,1966,Japan,3,5,15
411,2,Canon backfill,Young Torless,Volker Schlondorff,1966,Germany,3,5,15
412,2,Canon backfill,Le Bonheur,Agnes Varda,1965,France,3,5,15
413,2,Canon backfill,Subarnarekha,Ritwik Ghatak,1965,India,3,5,15
414,2,Canon backfill,Before the Revolution,Bernardo Bertolucci,1964,Italy,3,5,15
415,2,Canon backfill,Gertrud,Carl Theodor Dreyer,1964,Denmark,3,5,15
416,2,Canon backfill,Pale Flower,Masahiro Shinoda,1964,Japan,3,5,15
417,2,Canon backfill,The Gospel According to St. Matthew,Pier Paolo Pasolini,1964,Italy,3,5,15
418,2,Canon backfill,An Actor's Revenge,Kon Ichikawa,1963,Japan,3,5,15
419,2,Canon backfill,The Big City,Satyajit Ray,1963,India,3,5,15
420,2,Canon backfill,The Insect Woman,Shohei Imamura,1963,Japan,3,5,15
421,2,Canon backfill,Il Sorpasso,Dino Risi,1962,Italy,3,5,15
422,2,Canon backfill,La Jetee,Chris Marker,1962,France,3,5,15
423,2,Canon backfill,Le Doulos,Jean-Pierre Melville,1962,France,3,5,15
424,2,Canon backfill,Mamma Roma,Pier Paolo Pasolini,1962,Italy,3,5,15
425,2,Canon backfill,Accattone,Pier Paolo Pasolini,1961,Italy,3,5,15
426,2,Canon backfill,Aimless Bullet,Yu Hyun-mok,1961,South Korea,3,5,15
427,2,Canon backfill,Divorce Italian Style,Pietro Germi,1961,Italy,3,5,15
428,2,Canon backfill,"Leon Morin, Priest",Jean-Pierre Melville,1961,France,3,5,15
429,2,Canon backfill,Pigs and Battleships,Shohei Imamura,1961,Japan,3,5,15
430,2,Canon backfill,Le Trou,Jacques Becker,1960,France,3,5,15
431,2,Canon backfill,Mughal-e-Azam,K. Asif,1960,India,3,5,15
432,2,Canon backfill,Purple Noon,Rene Clement,1960,France,3,5,15
433,2,Canon backfill,The Cloud-Capped Star,Ritwik Ghatak,1960,India,3,5,15
434,2,Canon backfill,The Housemaid,Kim Ki-young,1960,South Korea,3,5,15
435,2,Canon backfill,The Naked Island,Kaneto Shindo,1960,Japan,3,5,15
436,2,Canon backfill,When a Woman Ascends the Stairs,Mikio Naruse,1960,Japan,3,5,15
437,2,Canon backfill,Fires on the Plain,Kon Ichikawa,1959,Japan,3,5,15
438,2,Canon backfill,Kaagaz Ke Phool,Guru Dutt,1959,India,3,5,15
439,2,Canon backfill,Cairo Station,Youssef Chahine,1958,Egypt,3,5,15
440,2,Canon backfill,Mother India,Mehboob Khan,1957,India,3,5,15
441,2,Canon backfill,Pyaasa,Guru Dutt,1957,India,3,5,15
442,2,Canon backfill,The Burmese Harp,Kon Ichikawa,1956,Japan,3,5,15
443,2,Canon backfill,Floating Clouds,Mikio Naruse,1955,Japan,3,5,15
444,2,Canon backfill,French Cancan,Jean Renoir,1955,France,3,5,15
445,2,Canon backfill,Senso,Luchino Visconti,1954,Italy,3,5,15
446,2,Canon backfill,Twenty-Four Eyes,Keisuke Kinoshita,1954,Japan,3,5,15
447,2,Canon backfill,Do Bigha Zamin,Bimal Roy,1953,India,3,5,15
448,2,Canon backfill,Mr. Hulot's Holiday,Jacques Tati,1953,France,3,5,15
449,2,Canon backfill,Casque d'Or,Jacques Becker,1952,France,3,5,15
450,2,Canon backfill,Forbidden Games,Rene Clement,1952,France,3,5,15
451,2,Canon backfill,Le Plaisir,Max Ophuls,1952,France,3,5,15
452,2,Canon backfill,Orpheus,Jean Cocteau,1950,France,3,5,15
453,2,Canon backfill,Spring in a Small Town,Fei Mu,1948,China,3,5,15
454,2,Canon backfill,Day of Wrath,Carl Theodor Dreyer,1943,Denmark,3,5,15
455,2,Canon backfill,Le Corbeau,Henri-Georges Clouzot,1943,France,3,5,15
456,2,Canon backfill,Ossessione,Luchino Visconti,1943,Italy,3,5,15
457,2,Canon backfill,Aniki Bobo,Manoel de Oliveira,1942,Portugal,3,5,15
458,2,Canon backfill,La Bete Humaine,Jean Renoir,1938,France,3,5,15
459,2,Canon backfill,Street Angel,Yuan Muzhi,1937,China,3,5,15
460,2,Canon backfill,The Goddess,Wu Yonggang,1934,China,3,5,15
461,2,Canon backfill,The Testament of Dr. Mabuse,Fritz Lang,1933,Germany,3,5,15
462,2,Canon backfill,Boudu Saved from Drowning,Jean Renoir,1932,France,3,5,15
463,2,Canon backfill,Vampyr,Carl Theodor Dreyer,1932,Germany,3,5,15
464,2,Canon backfill,Pandora's Box,G.W. Pabst,1929,Germany,3,5,15
465,2,Canon backfill,Spies,Fritz Lang,1928,Germany,3,5,15
466,2,Canon backfill,Faust,F.W. Murnau,1926,Germany,3,5,15
467,2,Canon backfill,The General,Buster Keaton,1926,USA,3,5,15
468,2,Canon backfill,Master of the House,Carl Theodor Dreyer,1925,Denmark,3,5,15
469,2,Canon backfill,Die Nibelungen,Fritz Lang,1924,Germany,3,5,15
470,2,Canon backfill,The Last Laugh,F.W. Murnau,1924,Germany,3,5,15
471,2,Canon backfill,Dr. Mabuse the Gambler,Fritz Lang,1922,Germany,3,5,15
472,2,Canon backfill,The Phantom Carriage,Victor Sjostrom,1921,Sweden,3,5,15
473,2,Contemporary curation,Nouvelle Vague,Richard Linklater,2025,USA,3,4,15
474,2,Contemporary curation,Babylon,Damien Chazelle,2022,USA,3,4,15
475,2,Contemporary curation,Crimes of the Future,David Cronenberg,2022,Canada,3,4,15
476,2,Contemporary curation,Kimi,Steven Soderbergh,2022,USA,3,4,15
477,2,Contemporary curation,The Fabelmans,Steven Spielberg,2022,USA,3,4,15
478,2,Contemporary curation,Licorice Pizza,Paul Thomas Anderson,2021,USA,3,4,15
479,2,Contemporary curation,Nightmare Alley,Guillermo del Toro,2021,USA,3,4,15
480,2,Contemporary curation,Red Rocket,Sean Baker,2021,USA,3,4,15
481,2,Contemporary curation,Spencer,Pablo Larrain,2021,Chile,3,4,15
482,2,Contemporary curation,The Tragedy of Macbeth,Joel Coen,2021,USA,3,4,15
483,2,Contemporary curation,Da 5 Bloods,Spike Lee,2020,USA,3,4,15
484,2,Contemporary curation,Summer of 85,Francois Ozon,2020,France,3,4,15
485,2,Contemporary curation,The Man Who Sold His Skin,Kaouther Ben Hania,2020,Tunisia,3,4,15
486,2,Contemporary curation,Young Ahmed,Jean-Pierre Dardenne,2019,Belgium,3,4,15
487,2,Contemporary curation,By the Grace of God,Francois Ozon,2018,France,3,4,15
488,2,Contemporary curation,First Man,Damien Chazelle,2018,USA,3,4,15
489,2,Contemporary curation,High Life,Claire Denis,2018,France,3,4,15
490,2,Popular/genre depth,Shadow,Zhang Yimou,2018,China,3,4,15
491,2,Contemporary curation,The Ballad of Buster Scruggs,Joel Coen,2018,USA,3,4,15
492,2,Contemporary curation,The Phoenician Scheme,Wes Anderson,2025,USA,4,3,15
493,2,Contemporary curation,Tenet,Christopher Nolan,2020,USA,4,3,15
494,2,Popular/genre depth,3 Idiots,Rajkumar Hirani,2009,India,5,3,15
495,2,Popular/genre depth,Harry Potter and the Half-Blood Prince,David Yates,2009,UK,5,3,15
496,2,Popular/genre depth,Harry Potter and the Order of the Phoenix,David Yates,2007,UK,5,3,15
497,2,Popular/genre depth,Harry Potter and the Goblet of Fire,Mike Newell,2005,UK,5,3,15
498,2,Popular/genre depth,Star Wars: Episode III - Revenge of the Sith,George Lucas,2005,USA,5,3,15
499,2,Popular/genre depth,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,2003,USA,5,3,15
500,2,Popular/genre depth,Harry Potter and the Chamber of Secrets,Chris Columbus,2002,UK,5,3,15
501,3,Popular/genre depth,GoldenEye,Martin Campbell,1995,UK,5,3,15
502,3,Popular/genre depth,Rocky III,Sylvester Stallone,1982,USA,5,3,15
503,3,Popular/genre depth,Rocky II,Sylvester Stallone,1979,USA,5,3,15
504,3,Popular/genre depth,From Russia with Love,Terence Young,1963,UK,5,3,15
505,3,Contemporary curation,Die My Love,Lynne Ramsay,2025,USA,3,4,14
506,3,Contemporary curation,If I Had Legs I'd Kick You,Mary Bronstein,2025,USA,3,4,14
507,3,Contemporary curation,Materialists,Celine Song,2025,USA,3,4,14
508,3,Contemporary curation,"Sorry, Baby",Eva Victor,2025,USA,3,4,14
509,3,Popular/genre depth,Black Box Diaries,Shiori Ito,2024,Japan,3,4,14
510,3,Contemporary curation,Love Lies Bleeding,Rose Glass,2024,USA,3,4,14
511,3,Popular/genre depth,MaXXXine,Ti West,2024,USA,3,4,14
512,3,Contemporary curation,Queer,Luca Guadagnino,2024,Italy,3,4,14
513,3,Contemporary curation,Santosh,Sandhya Suri,2024,India,3,4,14
514,3,Popular/genre depth,Sugarcane,Julian Brave NoiseCat,2024,USA,3,4,14
515,3,Popular/genre depth,The First Omen,Arkasha Stevenson,2024,USA,3,4,14
516,3,Canon backfill,Afire,Christian Petzold,2023,Germany,3,4,14
517,3,Contemporary curation,American Fiction,Cord Jefferson,2023,USA,3,4,14
518,3,Popular/genre depth,Beyond Utopia,Madeleine Gavin,2023,USA,3,4,14
519,3,Canon backfill,Close Your Eyes,Victor Erice,2023,Spain,3,4,14
520,3,Contemporary curation,Dream Scenario,Kristoffer Borgli,2023,USA,3,4,14
521,3,Popular/genre depth,Late Night with the Devil,Cameron Cairnes,2023,Australia,3,4,14
522,3,Contemporary curation,The Old Oak,Ken Loach,2023,UK,3,4,14
523,3,Canon backfill,"Argentina, 1985",Santiago Mitre,2022,Argentina,3,4,14
524,3,Contemporary curation,Armageddon Time,James Gray,2022,USA,3,4,14
525,3,Contemporary curation,Bones and All,Luca Guadagnino,2022,USA,3,4,14
526,3,Popular/genre depth,Fire of Love,Sara Dosa,2022,USA,3,4,14
527,3,Contemporary curation,Annette,Leos Carax,2021,France,3,4,14
528,3,Contemporary curation,Happening,Audrey Diwan,2021,France,3,4,14
529,3,Contemporary curation,Judas and the Black Messiah,Shaka King,2021,USA,3,4,14
530,3,Contemporary curation,Passing,Rebecca Hall,2021,USA,3,4,14
531,3,Contemporary curation,Pig,Michael Sarnoski,2021,USA,3,4,14
532,3,Contemporary curation,The Card Counter,Paul Schrader,2021,USA,3,4,14
533,3,Contemporary curation,The Hand of God,Paolo Sorrentino,2021,Italy,3,4,14
534,3,Popular/genre depth,Dick Johnson Is Dead,Kirsten Johnson,2020,USA,3,4,14
535,3,Contemporary curation,Ma Rainey's Black Bottom,George C. Wolfe,2020,USA,3,4,14
536,3,Contemporary curation,Never Rarely Sometimes Always,Eliza Hittman,2020,USA,3,4,14
537,3,Contemporary curation,One Night in Miami,Regina King,2020,USA,3,4,14
538,3,Popular/genre depth,Time,Garrett Bradley,2020,USA,3,4,14
539,3,Contemporary curation,Ad Astra,James Gray,2019,USA,3,4,14
540,3,Popular/genre depth,American Factory,Steven Bognar,2019,USA,3,4,14
541,3,Canon backfill,It Must Be Heaven,Elia Suleiman,2019,Palestine,3,4,14
542,3,Contemporary curation,Les Miserables,Ladj Ly,2019,France,3,4,14
543,3,Canon backfill,Monos,Alejandro Landes,2019,Colombia,3,4,14
544,3,Contemporary curation,Saint Maud,Rose Glass,2019,UK,3,4,14
545,3,Contemporary curation,The Last Black Man in San Francisco,Joe Talbot,2019,USA,3,4,14
546,3,Contemporary curation,Mid90s,Jonah Hill,2018,USA,3,4,14
547,3,Contemporary curation,Non-Fiction,Olivier Assayas,2018,France,3,4,14
548,3,Canon backfill,Rafiki,Wanuri Kahiu,2018,Kenya,3,4,14
549,3,Popular/genre depth,The Spy Gone North,Yoon Jong-bin,2018,South Korea,3,4,14
550,3,Canon backfill,Transit,Christian Petzold,2018,Germany,3,4,14
551,3,Contemporary curation,Tumbbad,Rahi Anil Barve,2018,India,3,4,14
552,3,Contemporary curation,Vox Lux,Brady Corbet,2018,USA,3,4,14
553,3,Contemporary curation,Wildlife,Paul Dano,2018,USA,3,4,14
554,3,Contemporary curation,Let the Sunshine In,Claire Denis,2017,France,3,4,14
555,3,Contemporary curation,The Meyerowitz Stories,Noah Baumbach,2017,USA,3,4,14
556,3,Canon backfill,The Square,Ruben Ostlund,2017,Sweden,3,4,14
557,3,Canon backfill,Thelma,Joachim Trier,2017,Norway,3,4,14
558,3,Contemporary curation,Everybody Wants Some!!,Richard Linklater,2016,USA,3,4,14
559,3,Contemporary curation,Julieta,Pedro Almodovar,2016,Spain,3,4,14
560,3,Canon backfill,Neruda,Pablo Larrain,2016,Chile,3,4,14
561,3,Contemporary curation,Mistress America,Noah Baumbach,2015,USA,3,4,14
562,3,Canon backfill,Mountains May Depart,Jia Zhangke,2015,China,3,4,14
563,3,Contemporary curation,Tangerine,Sean Baker,2015,USA,3,4,14
564,3,Contemporary curation,Girlhood,Celine Sciamma,2014,France,3,4,14
565,3,Contemporary curation,Enemy,Denis Villeneuve,2013,Canada,3,4,14
566,3,Canon backfill,Nymphomaniac,Lars von Trier,2013,Denmark,3,4,14
567,3,Contemporary curation,Only Lovers Left Alive,Jim Jarmusch,2013,USA,3,4,14
568,3,Canon backfill,Stoker,Park Chan-wook,2013,USA,3,4,14
569,3,Canon backfill,The Grandmaster,Wong Kar-wai,2013,Hong Kong,3,4,14
570,3,Canon backfill,The Past,Asghar Farhadi,2013,France,3,4,14
571,3,Contemporary curation,In the House,Francois Ozon,2012,France,3,4,14
572,3,Contemporary curation,Lincoln,Steven Spielberg,2012,USA,3,4,14
573,3,Canon backfill,No,Pablo Larrain,2012,Chile,3,4,14
574,3,Contemporary curation,Bernie,Richard Linklater,2011,USA,3,4,14
575,3,Contemporary curation,Greenberg,Noah Baumbach,2010,USA,3,4,14
576,3,Popular/genre depth,Chainsaw Man - The Movie: Reze Arc,Tatsuya Yoshihara,2025,Japan,4,3,14
577,3,Popular/genre depth,Mission: Impossible - The Final Reckoning,Christopher McQuarrie,2025,USA,4,3,14
578,3,Popular/genre depth,The Monkey,Osgood Perkins,2025,USA,4,3,14
579,3,Contemporary curation,Warfare,Alex Garland,2025,USA,4,3,14
580,3,Popular/genre depth,A Quiet Place: Day One,Michael Sarnoski,2024,USA,4,3,14
581,3,Popular/genre depth,Abigail,Matt Bettinelli-Olpin,2024,USA,4,3,14
582,3,Popular/genre depth,Exhuma,Jang Jae-hyun,2024,South Korea,4,3,14
583,3,Contemporary curation,Heretic,Scott Beck,2024,USA,4,3,14
584,3,Popular/genre depth,Joker: Folie a Deux,Todd Phillips,2024,USA,4,3,14
585,3,Contemporary curation,Rebel Ridge,Jeremy Saulnier,2024,USA,4,3,14
586,3,Popular/genre depth,Terrifier 3,Damien Leone,2024,USA,4,3,14
587,3,Contemporary curation,We Live in Time,John Crowley,2024,UK,4,3,14
588,3,Popular/genre depth,12.12: The Day,Kim Sung-su,2023,South Korea,4,3,14
589,3,Popular/genre depth,Guardians of the Galaxy Vol. 3,James Gunn,2023,USA,4,3,14
590,3,Contemporary curation,Nimona,Nick Bruno,2023,USA,4,3,14
591,3,Popular/genre depth,Navalny,Daniel Roher,2022,USA,4,3,14
592,3,Popular/genre depth,Scream,Matt Bettinelli-Olpin,2022,USA,4,3,14
593,3,Popular/genre depth,Smile,Parker Finn,2022,USA,4,3,14
594,3,Popular/genre depth,Terrifier 2,Damien Leone,2022,USA,4,3,14
595,3,Popular/genre depth,The First Slam Dunk,Takehiko Inoue,2022,Japan,4,3,14
596,3,Contemporary curation,Don't Look Up,Adam McKay,2021,USA,4,3,14
597,3,Popular/genre depth,Jujutsu Kaisen 0,Sunghoo Park,2021,Japan,4,3,14
598,3,Popular/genre depth,The Black Phone,Scott Derrickson,2021,USA,4,3,14
599,3,Popular/genre depth,The Matrix Resurrections,Lana Wachowski,2021,USA,4,3,14
600,3,Contemporary curation,The Mitchells vs. the Machines,Mike Rianda,2021,USA,4,3,14
601,3,Popular/genre depth,A Quiet Place Part II,John Krasinski,2020,USA,4,3,14
602,3,Contemporary curation,Palm Springs,Max Barbakow,2020,USA,4,3,14
603,3,Popular/genre depth,Booksmart,Olivia Wilde,2019,USA,4,3,14
604,3,Popular/genre depth,Children of the Sea,Ayumu Watanabe,2019,Japan,4,3,14
605,3,Popular/genre depth,Doctor Sleep,Mike Flanagan,2019,USA,4,3,14
606,3,Popular/genre depth,Extreme Job,Lee Byeong-heon,2019,South Korea,4,3,14
607,3,Popular/genre depth,Gully Boy,Zoya Akhtar,2019,India,4,3,14
608,3,Contemporary curation,Hustlers,Lorene Scafaria,2019,USA,4,3,14
609,3,Popular/genre depth,It Chapter Two,Andy Muschietti,2019,USA,4,3,14
610,3,Contemporary curation,Klaus,Sergio Pablos,2019,Spain,4,3,14
611,3,Popular/genre depth,Ride Your Wave,Masaaki Yuasa,2019,Japan,4,3,14
612,3,Popular/genre depth,Rocketman,Dexter Fletcher,2019,UK,4,3,14
613,3,Popular/genre depth,Andhadhun,Sriram Raghavan,2018,India,4,3,14
614,3,Popular/genre depth,Game Night,John Francis Daley,2018,USA,4,3,14
615,3,Popular/genre depth,Halloween,David Gordon Green,2018,USA,4,3,14
616,3,Popular/genre depth,Maquia: When the Promised Flower Blooms,Mari Okada,2018,Japan,4,3,14
617,3,Popular/genre depth,Mirai,Mamoru Hosoda,2018,Japan,4,3,14
618,3,Popular/genre depth,Stree,Amar Kaushik,2018,India,4,3,14
619,3,Popular/genre depth,Three Identical Strangers,Tim Wardle,2018,UK,4,3,14
620,3,Popular/genre depth,Won't You Be My Neighbor?,Morgan Neville,2018,USA,4,3,14
621,3,Popular/genre depth,Pacific Rim,Guillermo del Toro,2013,USA,4,3,14
622,3,Popular/genre depth,The Garden of Words,Makoto Shinkai,2013,Japan,4,3,14
623,3,Popular/genre depth,The World's End,Edgar Wright,2013,UK,4,3,14
624,3,Contemporary curation,The Girl with the Dragon Tattoo,David Fincher,2011,USA,4,3,14
625,3,Contemporary curation,True Grit,Joel Coen,2010,USA,4,3,14
626,3,Canon backfill,The Woman Who Ran,Hong Sang-soo,2020,South Korea,2,5,13
627,3,Contemporary curation,120 BPM (Beats per Minute),Robin Campillo,2017,France,3,4,13
628,3,Contemporary curation,A Fantastic Woman,Sebastian Lelio,2017,Chile,3,4,13
629,3,Contemporary curation,Beach Rats,Eliza Hittman,2017,USA,3,4,13
630,3,Contemporary curation,Custody,Xavier Legrand,2017,France,3,4,13
631,3,Canon backfill,Faces Places,Agnes Varda,2017,France,3,4,13
632,3,Canon backfill,Foxtrot,Samuel Maoz,2017,Israel,3,4,13
633,3,Contemporary curation,God's Own Country,Francis Lee,2017,UK,3,4,13
634,3,Contemporary curation,Ingrid Goes West,Matt Spicer,2017,USA,3,4,13
635,3,Contemporary curation,Lean on Pete,Andrew Haigh,2017,UK,3,4,13
636,3,Contemporary curation,Mudbound,Dee Rees,2017,USA,3,4,13
637,3,Contemporary curation,The Insult,Ziad Doueiri,2017,Lebanon,3,4,13
638,3,Popular/genre depth,"The Night Is Short, Walk On Girl",Masaaki Yuasa,2017,Japan,3,4,13
639,3,Contemporary curation,Thoroughbreds,Cory Finley,2017,USA,3,4,13
640,3,Canon backfill,Elle,Paul Verhoeven,2016,France,3,4,13
641,3,Contemporary curation,Personal Shopper,Olivier Assayas,2016,France,3,4,13
642,3,Contemporary curation,The Lost City of Z,James Gray,2016,USA,3,4,13
643,3,Popular/genre depth,Weiner,Josh Kriegman,2016,USA,3,4,13
644,3,Contemporary curation,45 Years,Andrew Haigh,2015,UK,3,4,13
645,3,Contemporary curation,Beasts of No Nation,Cary Joji Fukunaga,2015,USA,3,4,13
646,3,Popular/genre depth,Cartel Land,Matthew Heineman,2015,USA,3,4,13
647,3,Canon backfill,Embrace of the Serpent,Ciro Guerra,2015,Colombia,3,4,13
648,3,Contemporary curation,Green Room,Jeremy Saulnier,2015,USA,3,4,13
649,3,Contemporary curation,Masaan,Neeraj Ghaywan,2015,India,3,4,13
650,3,Contemporary curation,Mustang,Deniz Gamze Erguven,2015,France,3,4,13
651,3,Canon backfill,Taxi,Jafar Panahi,2015,Iran,3,4,13
652,3,Contemporary curation,"Black Coal, Thin Ice",Diao Yinan,2014,China,3,4,13
653,3,Contemporary curation,Clouds of Sils Maria,Olivier Assayas,2014,France,3,4,13
654,3,Canon backfill,Phoenix,Christian Petzold,2014,Germany,3,4,13
655,3,Contemporary curation,Still the Water,Naomi Kawase,2014,Japan,3,4,13
656,3,Contemporary curation,Blue Ruin,Jeremy Saulnier,2013,USA,3,4,13
657,3,Canon backfill,The Great Beauty,Paolo Sorrentino,2013,Italy,3,4,13
658,3,Contemporary curation,The Lunchbox,Ritesh Batra,2013,India,3,4,13
659,3,Contemporary curation,Beasts of the Southern Wild,Benh Zeitlin,2012,USA,3,4,13
660,3,Contemporary curation,Gangs of Wasseypur,Anurag Kashyap,2012,India,3,4,13
661,3,Popular/genre depth,The Imposter,Bart Layton,2012,UK,3,4,13
662,3,Contemporary curation,Weekend,Andrew Haigh,2011,UK,3,4,13
663,3,Contemporary curation,Blue Valentine,Derek Cianfrance,2010,USA,3,4,13
664,3,Contemporary curation,Carlos,Olivier Assayas,2010,France,3,4,13
