Part,Major Category,Sub Category,Theory Title,Theorist
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Platform Society,"José van Dijck, Thomas Poell, Martijn de Waal"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Algorithmic Governance,"Antoinette Rouvroy, Frank Pasquale"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Epistemic Injustice,Miranda Fricker
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Anthropocene (Sociology),"John Bellamy Foster, Donna Haraway"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Post-Truth (Sociology),N/A (General contemporary term)
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Precariat (Sociology),Guy Standing
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Conspicuous Consumption,Thorstein Veblen
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Dramaturgical Theory (Sociology),Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Impression Management,Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Backstage and Frontstage (Sociology),Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Total Institutions,Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Stigma (Sociology),Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Presentation of Self in Everyday Life,Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Frame Analysis (Sociology),Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Asylums (Sociology),Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Interaction Ritual Chains,Randall Collins
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Hyper-reality (Sociology),Jean Baudrillard
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Consumer Society,"Jean Baudrillard, Zygmunt Bauman"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Global Village,Marshall McLuhan
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Media Ecology Theory,"Marshall McLuhan, Neil Postman"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Technological Determinism (Sociology),
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Social Construction of Technology (SCOT),"Wiebe Bijker, Trevor Pinch"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Risk Perception Theory,"Paul Slovic, Mary Douglas"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Collective Memory,Maurice Halbwachs
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Moral Panic Theory,Stanley Cohen
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Panopticon (Disciplinary Society),Michel Foucault
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Disciplinary Society,Michel Foucault
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Biopolitics (Population Management),Michel Foucault
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Microphysics of Power,Michel Foucault
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Discourse Theory (Sociology),"Michel Foucault, Ernesto Laclau & Chantal Mouffe"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Post-Structuralism (Sociology),"Michel Foucault, Jacques Derrida"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Postmodernity (Sociology),"Jean-François Lyotard, Fredric Jameson"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Reflexive Modernization,"Ulrich Beck, Anthony Giddens"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Individualization (Sociology),"Ulrich Beck, Zygmunt Bauman"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,World Risk Society,Ulrich Beck
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Cosmopolitanism (Sociology),"Ulrich Beck, Martha Nussbaum"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Time-Space Compression,David Harvey
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Disembedding (Sociology),Anthony Giddens
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Expert Systems,Anthony Giddens
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Double Hermeneutic,Anthony Giddens
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Institutional Anomie Theory,Richard Rosenfeld & Steven Messner
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Subculture Theory (Sociology),"Albert K. Cohen, Richard Cloward & Lloyd Ohlin"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Stigmatization (Sociology),Erving Goffman
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Symbolic Interactionism (Broader Application),Herbert Blumer
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Ethnomethodology,Harold Garfinkel
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Breaching Experiments,Harold Garfinkel
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Conversation Analysis (CA),"Harvey Sacks, Emanuel Schegloff, Gail Jefferson"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Managed Heart,Arlie Russell Hochschild
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Second Shift Theory,Arlie Russell Hochschild
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Time Poverty,"Judy Wajcman, Arlie Russell Hochschild"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Caring Labor,"Joan Tronto, Arlie Russell Hochschild"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Moral Economy,"E.P. Thompson, James C. Scott"
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Weapons of the Weak,James C. Scott
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Hidden Transcripts,James C. Scott
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Rationalization (Sociology),Max Weber
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Iron Cage (Sociology),Max Weber
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Charisma (Sociology),Max Weber
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Protestant Ethic and the Spirit of Capitalism (Sociology),Max Weber
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Verstehen,Max Weber
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Gemeinschaft and Gesellschaft,Ferdinand Tönnies
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Organic and Mechanical Solidarity,Émile Durkheim
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Collective Effervescence,Émile Durkheim
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Anomie (Sociology),Émile Durkheim
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Sacred and Profane,Émile Durkheim
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Social Facts,Émile Durkheim
Society,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Division of Labor in Society,Émile Durkheim
Politics,A. Ancient Greek Philosophy,A. Ancient Greek Philosophy,Theory of Forms (Politics),Plato
Politics,A. Ancient Greek Philosophy,A. Ancient Greek Philosophy,Politics as the Art of the Possible,Aristotle
Politics,A. Ancient Greek Philosophy,A. Ancient Greek Philosophy,Politeia (Mixed Constitution),Aristotle
Politics,B. Roman and Medieval Thought,B. Roman and Medieval Thought,Natural Law Theory (Politics),"Thomas Aquinas, Cicero"
Politics,B. Roman and Medieval Thought,B. Roman and Medieval Thought,Two Swords Theory (Political Theology),Pope Gelasius I
Politics,A. Social Contract Theory,A. Social Contract Theory,State of Nature (Politics),"Thomas Hobbes, John Locke, Jean-Jacques Rousseau"
Politics,A. Social Contract Theory,A. Social Contract Theory,Leviathan (Political Theory),Thomas Hobbes
Politics,A. Social Contract Theory,A. Social Contract Theory,Consent of the Governed,John Locke
Politics,A. Social Contract Theory,A. Social Contract Theory,General Will (Political Theory),Jean-Jacques Rousseau
Politics,B. Enlightenment & Liberalism,B. Enlightenment & Liberalism,Separation of Powers,Montesquieu
Politics,B. Enlightenment & Liberalism,B. Enlightenment & Liberalism,Liberalism (Political Theory),"John Locke, Adam Smith, John Stuart Mill"
Politics,B. Enlightenment & Liberalism,B. Enlightenment & Liberalism,Utilitarianism (Political Theory),"Jeremy Bentham, John Stuart Mill"
Politics,C. Republicanism & Civic Humanism,C. Republicanism & Civic Humanism,Civic Virtue (Political Theory),"Niccolò Machiavelli, James Madison"
Politics,C. Republicanism & Civic Humanism,C. Republicanism & Civic Humanism,Mixed Government (Republicanism),"Polybius, James Madison"
Politics,D. Conservatism & Counter-Enlightenment,D. Conservatism & Counter-Enlightenment,Reflections on the Revolution in France,Edmund Burke
Politics,D. Conservatism & Counter-Enlightenment,D. Conservatism & Counter-Enlightenment,Organic Society (Political Theory),"Joseph de Maistre, Louis de Bonald"
Politics,A. Marxism & Socialism,A. Marxism & Socialism,Historical Materialism (Politics),"Karl Marx, Friedrich Engels"
Politics,A. Marxism & Socialism,A. Marxism & Socialism,Dictatorship of the Proletariat,"Karl Marx, Vladimir Lenin"
Politics,A. Marxism & Socialism,A. Marxism & Socialism,Imperialism as the Highest Stage of Capitalism,Vladimir Lenin
Politics,B. Anarchism & Syndicalism,B. Anarchism & Syndicalism,Mutual Aid (Anarchism),Peter Kropotkin
Politics,B. Anarchism & Syndicalism,B. Anarchism & Syndicalism,Propaganda of the Deed,"Carlo Cafiero, Errico Malatesta"
Politics,C. Elitism & Realism,C. Elitism & Realism,Iron Law of Oligarchy,Robert Michels
Politics,C. Elitism & Realism,C. Elitism & Realism,The Ruling Class (Political Theory),Gaetano Mosca
Politics,C. Elitism & Realism,C. Elitism & Realism,Circulation of Elites,Vilfredo Pareto
Politics,D. Early Democratic Theory,D. Early Democratic Theory,Deliberative Democracy,John Dewey
Politics,D. Early Democratic Theory,D. Early Democratic Theory,Pluralism (Political Theory),Robert Dahl
Politics,A. Critical Theory & Neo-Marxism,A. Critical Theory & Neo-Marxism,Hegemony (Political Theory),Antonio Gramsci
Politics,A. Critical Theory & Neo-Marxism,A. Critical Theory & Neo-Marxism,Frankfurt School (Political Theory),"Max Horkheimer, Theodor Adorno, Herbert Marcuse"
Politics,A. Critical Theory & Neo-Marxism,A. Critical Theory & Neo-Marxism,One-Dimensional Man (Politics),Herbert Marcuse
Politics,B. Totalitarianism & Authoritarianism,B. Totalitarianism & Authoritarianism,The Origins of Totalitarianism,Hannah Arendt
Politics,B. Totalitarianism & Authoritarianism,B. Totalitarianism & Authoritarianism,State of Exception (Political Theory),"Carl Schmitt, Giorgio Agamben"
Politics,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Governmentality (Political Theory),Michel Foucault
Politics,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Biopolitics (Political Theory),Michel Foucault
Politics,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Power/Knowledge (Political Theory),Michel Foucault
Politics,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,The Spectacle (Political Theory),Guy Debord
Politics,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Incredulity toward Metanarratives (Politics),Jean-François Lyotard
Politics,D. Liberalism & Justice,D. Liberalism & Justice,Theory of Justice (Political Theory),John Rawls
Politics,D. Liberalism & Justice,D. Liberalism & Justice,Original Position & Veil of Ignorance,John Rawls
Politics,D. Liberalism & Justice,D. Liberalism & Justice,Capability Approach (Political Theory),"Amartya Sen, Martha Nussbaum"
Politics,E. Communitarianism & Civic Republicanism,E. Communitarianism & Civic Republicanism,Spheres of Justice,Michael Walzer
Politics,E. Communitarianism & Civic Republicanism,E. Communitarianism & Civic Republicanism,Politics of Recognition,"Charles Taylor, Axel Honneth"
Politics,F. Postcolonial & Decolonial Politics,F. Postcolonial & Decolonial Politics,Orientalism (Political Theory),Edward Said
Politics,F. Postcolonial & Decolonial Politics,F. Postcolonial & Decolonial Politics,The Wretched of the Earth (Politics),Frantz Fanon
Politics,F. Postcolonial & Decolonial Politics,F. Postcolonial & Decolonial Politics,Subaltern Studies (Political),"Ranajit Guha, Gayatri Chakravorty Spivak"
Politics,G. Feminism & Gender in Politics,G. Feminism & Gender in Politics,The Second Sex (Political Theory),Simone de Beauvoir
Politics,G. Feminism & Gender in Politics,G. Feminism & Gender in Politics,Gender as Performance (Politics),Judith Butler
Politics,G. Feminism & Gender in Politics,G. Feminism & Gender in Politics,Intersectionality (Politics),Kimberlé Crenshaw
Politics,A. Deliberative & Participatory Democracy,A. Deliberative & Participatory Democracy,Deliberative Polling,James S. Fishkin
Politics,A. Deliberative & Participatory Democracy,A. Deliberative & Participatory Democracy,Participatory Budgeting,N/A (Practice-based theory)
Politics,B. Populism & Post-Politics,B. Populism & Post-Politics,Populism (Political Theory),"Ernesto Laclau, Chantal Mouffe"
Politics,B. Populism & Post-Politics,B. Populism & Post-Politics,Post-Politics,"Slavoj Žižek, Jacques Rancière"
Politics,C. Political Economy & Neoliberalism,C. Political Economy & Neoliberalism,Neoliberalism (Political Theory),"Milton Friedman, Friedrich Hayek"
Politics,C. Political Economy & Neoliberalism,C. Political Economy & Neoliberalism,Financialization,N/A (Economic sociology term)
Politics,C. Political Economy & Neoliberalism,C. Political Economy & Neoliberalism,Austerity (Political Theory),"N/A (Policy term, analyzed theoretically)"
Politics,D. Environmental Politics & Justice,D. Environmental Politics & Justice,Ecocentrism (Political Theory),Aldo Leopold
Politics,D. Environmental Politics & Justice,D. Environmental Politics & Justice,Environmental Justice (Political),Robert Bullard
Politics,D. Environmental Politics & Justice,D. Environmental Politics & Justice,Climate Justice,N/A (Movement-based theory)
Politics,E. Critical Security Studies,E. Critical Security Studies,Securitization Theory,"Barry Buzan, Ole Wæver, Lene Hansen"
Politics,E. Critical Security Studies,E. Critical Security Studies,Human Security,Mahbub ul Haq
Politics,F. Democratic Theory (Advanced),F. Democratic Theory (Advanced),Agonistic Pluralism,Chantal Mouffe
Politics,F. Democratic Theory (Advanced),F. Democratic Theory (Advanced),Associative Democracy,Paul Q. Hirst
Politics,F. Democratic Theory (Advanced),F. Democratic Theory (Advanced),Post-Democracy,Colin Crouch
Politics,G. Digital Politics & Governance,G. Digital Politics & Governance,Digital Citizenship Theory,N/A (Emerging field)
Politics,G. Digital Politics & Governance,G. Digital Politics & Governance,Algorithmic Governance (Political),"Antoinette Rouvroy, Frank Pasquale"
Politics,H. Political Psychology,H. Political Psychology,Political Socialization Theory,"David Easton, Jack Dennis"
Politics,H. Political Psychology,H. Political Psychology,Groupthink (Political),Irving L. Janis
Politics,I. Identity Politics,I. Identity Politics,Identity Politics (Theory),"N/A (Common political term, theorized by many)"
Politics,I. Identity Politics,I. Identity Politics,Recognition Politics,"Axel Honneth, Charles Taylor"
Politics,J. International Relations,J. International Relations,Constructivism (IR),Alexander Wendt
Politics,J. International Relations,J. International Relations,Liberal Internationalism,"Immanuel Kant, Woodrow Wilson"
Politics,J. International Relations,J. International Relations,Realism (IR),"Hans Morgenthau, Kenneth Waltz"
Politics,J. International Relations,J. International Relations,Dependency Theory (IR),"André Gunder Frank, Immanuel Wallerstein"
Politics,J. International Relations,J. International Relations,Critical Geopolitics,"Gearóid Ó Tuathail, Simon Dalby"
Politics,K. Philosophy of Law & Justice,K. Philosophy of Law & Justice,Restorative Justice,Howard Zehr
Politics,K. Philosophy of Law & Justice,K. Philosophy of Law & Justice,Transitional Justice,N/A (Field of practice and theory)
Politics,L. Political Economy (Advanced),L. Political Economy (Advanced),Regulation Theory (Political Economy),"Michel Aglietta, Robert Boyer"
Politics,L. Political Economy (Advanced),L. Political Economy (Advanced),Varieties of Capitalism (VOC),Peter A. Hall & David Soskice
Politics,L. Political Economy (Advanced),L. Political Economy (Advanced),Disembedding (Political Economy),Karl Polanyi
Politics,L. Political Economy (Advanced),L. Political Economy (Advanced),Fictitious Commodities,Karl Polanyi
Politics,M. Political Sociology (Advanced),M. Political Sociology (Advanced),Resource Mobilization Theory (Political Sociology),John D. McCarthy & Mayer N. Zald
Politics,M. Political Sociology (Advanced),M. Political Sociology (Advanced),Political Process Theory (Political Sociology),"Doug McAdam, Sidney Tarrow, Charles Tilly"
Politics,M. Political Sociology (Advanced),M. Political Sociology (Advanced),New Social Movement Theory (Political Sociology),"Alberto Melucci, Alain Touraine"
Politics,M. Political Sociology (Advanced),M. Political Sociology (Advanced),State Autonomy Theory,Theda Skocpol
Politics,M. Political Sociology (Advanced),M. Political Sociology (Advanced),Regime Theory (Political Sociology),Clarence N. Stone
Politics,N. Public Policy & Administration,N. Public Policy & Administration,Agenda Setting (Public Policy),John W. Kingdon
Politics,N. Public Policy & Administration,N. Public Policy & Administration,Policy Streams (Policy Process),John W. Kingdon
Politics,N. Public Policy & Administration,N. Public Policy & Administration,Punctuated Equilibrium Theory (Policy),Frank R. Baumgartner & Bryan D. Jones
Politics,N. Public Policy & Administration,N. Public Policy & Administration,Garbage Can Model (Policy),"Michael D. Cohen, James G. March, Johan P. Olsen"
Politics,O. Comparative Politics,O. Comparative Politics,Comparative Historical Analysis,"Theda Skocpol, Charles Tilly"
Politics,O. Comparative Politics,O. Comparative Politics,Electoral Systems Theory,"Maurice Duverger, Arend Lijphart"
Politics,O. Comparative Politics,O. Comparative Politics,Modernization Theory (Political),Seymour Martin Lipset
Politics,O. Comparative Politics,O. Comparative Politics,Authoritarian Regimes Theory,"Juan J. Linz, Barbara Geddes"
Politics,P. Post-Soviet & Transition Studies,P. Post-Soviet & Transition Studies,Transitology,"Juan J. Linz, Alfred Stepan"
Politics,P. Post-Soviet & Transition Studies,P. Post-Soviet & Transition Studies,End of History (Political),Francis Fukuyama
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Cosmopolitanism (Political),"David Held, Martha Nussbaum"
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Republican Liberty (Neo-Republicanism),"Philip Pettit, Quentin Skinner"
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Deliberative Democracy (Advanced),"Jürgen Habermas, Joshua Cohen"
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Critical Theory of Race (Political),"Charles W. Mills, Cornel West"
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Post-Foundationalism (Political),"Ernesto Laclau, Chantal Mouffe"
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Agonistic Pluralism (Political),Chantal Mouffe
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Politics of Difference,Iris Marion Young
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Global Justice Theory,"Thomas Pogge, Martha Nussbaum"
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Non-Domination (Political),Philip Pettit
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Political Realism (Advanced),John Mearsheimer
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Just War Theory,Michael Walzer
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Social Capital (Political),Robert Putnam
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Civic Nationalism,Ernest Renan
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Ethnic Nationalism,Anthony D. Smith
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Democratic Peace Theory,"Immanuel Kant, Michael Doyle"
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Public Reason (Political),John Rawls
Politics,Q. Political Philosophy (Contemporary),Q. Political Philosophy (Contemporary),Political Theology (Contemporary),"Carl Schmitt, Giorgio Agamben"
History,C. History of Emotions (Cross-Cultural),A. Universal vs. Cultural,Cross-Cultural History of Emotions,Peter N. Stearns
History,I. Classical & Early Modern Approaches,A. Cyclical & Providential History,Cyclical Theory of History,"Polybius, Ibn Khaldun, Oswald Spengler"
History,I. Classical & Early Modern Approaches,A. Cyclical & Providential History,Providential History,Augustine of Hippo
History,I. Classical & Early Modern Approaches,D. Empiricist & Rankean History,Rankean History (Historicism),Leopold von Ranke
History,I. Classical & Early Modern Approaches,D. Empiricist & Rankean History,Historicism (Historical Theory),"Leopold von Ranke, Wilhelm Dilthey"
History,II. Marxist & Materialist Approaches,A. Historical Materialism,Historical Materialism (Historical),"Karl Marx, Friedrich Engels"
History,II. Marxist & Materialist Approaches,A. Historical Materialism,Base and Superstructure (Historical),Karl Marx
History,II. Marxist & Materialist Approaches,A. Historical Materialism,Modes of Production,Karl Marx
History,III. Annales School & A. Longue Durée & Conjuncture,III. Annales School & A. Longue Durée & Conjuncture,Conjuncture,Fernand Braudel
History,III. Annales School & A. Longue Durée & Conjuncture,III. Annales School & A. Longue Durée & Conjuncture,Event (Annales),Fernand Braudel
History,III. Annales School & B. Mentalités & Total History,III. Annales School & B. Mentalités & Total History,History from Below,"E.P. Thompson, Christopher Hill"
History,III. Annales School & B. Mentalités & Total History,III. Annales School & B. Mentalités & Total History,Mentalités,"Marc Bloch, Lucien Febvre"
History,III. Annales School & B. Mentalités & Total History,III. Annales School & B. Mentalités & Total History,Total History,Fernand Braudel
History,III. Annales School & Social History,A. Longue Durée & Conjuncture,Longue Durée,Fernand Braudel
History,IV. Post-Structuralist & A. Discursive History,IV. Post-Structuralist & A. Discursive History,Archaeology of Knowledge (Historical),Michel Foucault
History,IV. Post-Structuralist & A. Discursive History,IV. Post-Structuralist & A. Discursive History,Discourse (Historical),Michel Foucault
History,IV. Post-Structuralist & B. Narrative & Representation,IV. Post-Structuralist & B. Narrative & Representation,Death of the Author (Historical),"Roland Barthes (literary, applied to history)"
History,IV. Post-Structuralist & B. Narrative & Representation,IV. Post-Structuralist & B. Narrative & Representation,Historiographic Metafiction (Historical),Linda Hutcheon
History,IV. Post-Structuralist & B. Narrative & Representation,IV. Post-Structuralist & B. Narrative & Representation,The Burden of Representation,"Edward Said, Gayatri Spivak"
History,IV. Post-Structuralist & C. Postcolonial History,IV. Post-Structuralist & C. Postcolonial History,Mimicry (Historical),Homi K. Bhabha
History,IV. Post-Structuralist & C. Postcolonial History,IV. Post-Structuralist & C. Postcolonial History,Postcolonial History,"Edward Said, Dipesh Chakrabarty"
History,IV. Post-Structuralist & C. Postcolonial History,IV. Post-Structuralist & C. Postcolonial History,Provincializing Europe,Dipesh Chakrabarty
History,IV. Post-Structuralist & Postmodern Approaches,A. Discursive History,Genealogy (Historical),Michel Foucault
History,IX. Memory Studies & A. Collective Memory & Trauma,IX. Memory Studies & A. Collective Memory & Trauma,Postmemory (Historical),Marianne Hirsch
History,IX. Memory Studies & A. Collective Memory & Trauma,IX. Memory Studies & A. Collective Memory & Trauma,Social Frameworks of Memory,Maurice Halbwachs
History,IX. Memory Studies & A. Collective Memory & Trauma,IX. Memory Studies & A. Collective Memory & Trauma,Trauma Theory (Historical),"Cathy Caruth, Dominick LaCapra"
History,IX. Memory Studies & B. Commemoration & Heritage,IX. Memory Studies & B. Commemoration & Heritage,Heritage Studies,David Lowenthal
History,IX. Memory Studies & B. Commemoration & Heritage,IX. Memory Studies & B. Commemoration & Heritage,History Wars,N/A (Common term in Public History)
History,IX. Memory Studies & B. Commemoration & Heritage,IX. Memory Studies & B. Commemoration & Heritage,Public History,Robert Kelley
History,IX. Memory Studies & Public History,A. Collective Memory & Trauma,Collective Memory (Historical),Maurice Halbwachs
History,L. History of Childhood (Specific Focus),A. Children & Society,History of Children's Rights,Mary Ann Glendon
History,L. History of Childhood & A. Children & Society,L. History of Childhood & A. Children & Society,History of Child Labor,Hugh Cunningham
History,LI. History of Science (Specific Focus),A. Scientific Practice,History of Scientific Instruments,Simon Schaffer
