Part,RomanHead,TrueMajor,TrueSub,Theory Title,Theorist,Major Category
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Great Transformation (Sociology),Karl Polanyi,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,"The ""New Spirit of Capitalism""",Luc Boltanski & Ève Chiapello,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Social Acceleration,Hartmut Rosa,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Recognition Theory,Axel Honneth,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Affordance Theory (Sociology),"James J. Gibson (originally ecological psychology), extended to sociology",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Digital Sociology,"Deborah Lupton, Nick Couldry",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Platform Society,"José van Dijck, Thomas Poell, Martijn de Waal",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Algorithmic Governance,"Antoinette Rouvroy, Frank Pasquale",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Epistemic Injustice,Miranda Fricker,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Anthropocene (Sociology),"John Bellamy Foster, Donna Haraway",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Post-Truth (Sociology),N/A (General contemporary term),V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Precariat (Sociology),Guy Standing,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Conspicuous Consumption,Thorstein Veblen,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Dramaturgical Theory (Sociology),Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Impression Management,Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Backstage and Frontstage (Sociology),Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Total Institutions,Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Stigma (Sociology),Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Presentation of Self in Everyday Life,Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Frame Analysis (Sociology),Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Asylums (Sociology),Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Interaction Ritual Chains,Randall Collins,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Hyper-reality (Sociology),Jean Baudrillard,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Consumer Society,"Jean Baudrillard, Zygmunt Bauman",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Global Village,Marshall McLuhan,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Media Ecology Theory,"Marshall McLuhan, Neil Postman",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Technological Determinism (Sociology),,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Social Construction of Technology (SCOT),"Wiebe Bijker, Trevor Pinch",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Risk Perception Theory,"Paul Slovic, Mary Douglas",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Collective Memory,Maurice Halbwachs,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Moral Panic Theory,Stanley Cohen,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Panopticon (Disciplinary Society),Michel Foucault,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Disciplinary Society,Michel Foucault,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Biopolitics (Population Management),Michel Foucault,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Microphysics of Power,Michel Foucault,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Discourse Theory (Sociology),"Michel Foucault, Ernesto Laclau & Chantal Mouffe",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Post-Structuralism (Sociology),"Michel Foucault, Jacques Derrida",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Postmodernity (Sociology),"Jean-François Lyotard, Fredric Jameson",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Reflexive Modernization,"Ulrich Beck, Anthony Giddens",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Individualization (Sociology),"Ulrich Beck, Zygmunt Bauman",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,World Risk Society,Ulrich Beck,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Cosmopolitanism (Sociology),"Ulrich Beck, Martha Nussbaum",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Time-Space Compression,David Harvey,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Disembedding (Sociology),Anthony Giddens,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Expert Systems,Anthony Giddens,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Double Hermeneutic,Anthony Giddens,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Institutional Anomie Theory,Richard Rosenfeld & Steven Messner,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Subculture Theory (Sociology),"Albert K. Cohen, Richard Cloward & Lloyd Ohlin",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Stigmatization (Sociology),Erving Goffman,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Symbolic Interactionism (Broader Application),Herbert Blumer,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Ethnomethodology,Harold Garfinkel,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Breaching Experiments,Harold Garfinkel,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Conversation Analysis (CA),"Harvey Sacks, Emanuel Schegloff, Gail Jefferson",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Managed Heart,Arlie Russell Hochschild,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Second Shift Theory,Arlie Russell Hochschild,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Time Poverty,"Judy Wajcman, Arlie Russell Hochschild",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Caring Labor,"Joan Tronto, Arlie Russell Hochschild",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Moral Economy,"E.P. Thompson, James C. Scott",V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Weapons of the Weak,James C. Scott,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Hidden Transcripts,James C. Scott,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Rationalization (Sociology),Max Weber,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,The Iron Cage (Sociology),Max Weber,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Charisma (Sociology),Max Weber,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Protestant Ethic and the Spirit of Capitalism (Sociology),Max Weber,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Verstehen,Max Weber,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Gemeinschaft and Gesellschaft,Ferdinand Tönnies,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Organic and Mechanical Solidarity,Émile Durkheim,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Collective Effervescence,Émile Durkheim,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Anomie (Sociology),Émile Durkheim,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Sacred and Profane,Émile Durkheim,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Social Facts,Émile Durkheim,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Society,V,V. Advanced & Applied Social Theories (Added) M. General Social Theories,V. Advanced & Applied Social Theories (Added) M. General Social Theories,Division of Labor in Society,Émile Durkheim,V. Advanced & Applied Social Theories (Added) M. General Social Theories
Politics,,A. Ancient Greek Philosophy,A. Ancient Greek Philosophy,Theory of Forms (Politics),Plato,A. Ancient Greek Philosophy
Politics,,A. Ancient Greek Philosophy,A. Ancient Greek Philosophy,Politics as the Art of the Possible,Aristotle,A. Ancient Greek Philosophy
Politics,,A. Ancient Greek Philosophy,A. Ancient Greek Philosophy,Politeia (Mixed Constitution),Aristotle,A. Ancient Greek Philosophy
Politics,,B. Roman and Medieval Thought,B. Roman and Medieval Thought,Natural Law Theory (Politics),"Thomas Aquinas, Cicero",B. Roman and Medieval Thought
Politics,,B. Roman and Medieval Thought,B. Roman and Medieval Thought,Two Swords Theory (Political Theology),Pope Gelasius I,B. Roman and Medieval Thought
Politics,,A. Social Contract Theory,A. Social Contract Theory,State of Nature (Politics),"Thomas Hobbes, John Locke, Jean-Jacques Rousseau",A. Social Contract Theory
Politics,,A. Social Contract Theory,A. Social Contract Theory,Leviathan (Political Theory),Thomas Hobbes,A. Social Contract Theory
Politics,,A. Social Contract Theory,A. Social Contract Theory,Consent of the Governed,John Locke,A. Social Contract Theory
Politics,,A. Social Contract Theory,A. Social Contract Theory,General Will (Political Theory),Jean-Jacques Rousseau,A. Social Contract Theory
Politics,,B. Enlightenment & Liberalism,B. Enlightenment & Liberalism,Separation of Powers,Montesquieu,B. Enlightenment & Liberalism
Politics,,B. Enlightenment & Liberalism,B. Enlightenment & Liberalism,Liberalism (Political Theory),"John Locke, Adam Smith, John Stuart Mill",B. Enlightenment & Liberalism
Politics,,B. Enlightenment & Liberalism,B. Enlightenment & Liberalism,Utilitarianism (Political Theory),"Jeremy Bentham, John Stuart Mill",B. Enlightenment & Liberalism
Politics,C,C. Republicanism & Civic Humanism,C. Republicanism & Civic Humanism,Civic Virtue (Political Theory),"Niccolò Machiavelli, James Madison",C. Republicanism & Civic Humanism
Politics,C,C. Republicanism & Civic Humanism,C. Republicanism & Civic Humanism,Mixed Government (Republicanism),"Polybius, James Madison",C. Republicanism & Civic Humanism
Politics,,D. Conservatism & Counter-Enlightenment,D. Conservatism & Counter-Enlightenment,Reflections on the Revolution in France,Edmund Burke,D. Conservatism & Counter-Enlightenment
Politics,,D. Conservatism & Counter-Enlightenment,D. Conservatism & Counter-Enlightenment,Organic Society (Political Theory),"Joseph de Maistre, Louis de Bonald",D. Conservatism & Counter-Enlightenment
Politics,,A. Marxism & Socialism,A. Marxism & Socialism,Historical Materialism (Politics),"Karl Marx, Friedrich Engels",A. Marxism & Socialism
Politics,,A. Marxism & Socialism,A. Marxism & Socialism,Dictatorship of the Proletariat,"Karl Marx, Vladimir Lenin",A. Marxism & Socialism
Politics,,A. Marxism & Socialism,A. Marxism & Socialism,Imperialism as the Highest Stage of Capitalism,Vladimir Lenin,A. Marxism & Socialism
Politics,,B. Anarchism & Syndicalism,B. Anarchism & Syndicalism,Mutual Aid (Anarchism),Peter Kropotkin,B. Anarchism & Syndicalism
Politics,,B. Anarchism & Syndicalism,B. Anarchism & Syndicalism,Propaganda of the Deed,"Carlo Cafiero, Errico Malatesta",B. Anarchism & Syndicalism
Politics,C,C. Elitism & Realism,C. Elitism & Realism,Iron Law of Oligarchy,Robert Michels,C. Elitism & Realism
Politics,C,C. Elitism & Realism,C. Elitism & Realism,The Ruling Class (Political Theory),Gaetano Mosca,C. Elitism & Realism
Politics,C,C. Elitism & Realism,C. Elitism & Realism,Circulation of Elites,Vilfredo Pareto,C. Elitism & Realism
Politics,,D. Early Democratic Theory,D. Early Democratic Theory,Deliberative Democracy,John Dewey,D. Early Democratic Theory
Politics,,D. Early Democratic Theory,D. Early Democratic Theory,Pluralism (Political Theory),Robert Dahl,D. Early Democratic Theory
Politics,,A. Critical Theory & Neo-Marxism,A. Critical Theory & Neo-Marxism,Hegemony (Political Theory),Antonio Gramsci,A. Critical Theory & Neo-Marxism
Politics,,A. Critical Theory & Neo-Marxism,A. Critical Theory & Neo-Marxism,Frankfurt School (Political Theory),"Max Horkheimer, Theodor Adorno, Herbert Marcuse",A. Critical Theory & Neo-Marxism
Politics,,A. Critical Theory & Neo-Marxism,A. Critical Theory & Neo-Marxism,One-Dimensional Man (Politics),Herbert Marcuse,A. Critical Theory & Neo-Marxism
Politics,,B. Totalitarianism & Authoritarianism,B. Totalitarianism & Authoritarianism,The Origins of Totalitarianism,Hannah Arendt,B. Totalitarianism & Authoritarianism
Politics,,B. Totalitarianism & Authoritarianism,B. Totalitarianism & Authoritarianism,State of Exception (Political Theory),"Carl Schmitt, Giorgio Agamben",B. Totalitarianism & Authoritarianism
Politics,C,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Governmentality (Political Theory),Michel Foucault,C. Post-Structuralism & Postmodern Politics
Politics,C,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Biopolitics (Political Theory),Michel Foucault,C. Post-Structuralism & Postmodern Politics
Politics,C,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Power/Knowledge (Political Theory),Michel Foucault,C. Post-Structuralism & Postmodern Politics
Politics,C,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,The Spectacle (Political Theory),Guy Debord,C. Post-Structuralism & Postmodern Politics
Politics,C,C. Post-Structuralism & Postmodern Politics,C. Post-Structuralism & Postmodern Politics,Incredulity toward Metanarratives (Politics),Jean-François Lyotard,C. Post-Structuralism & Postmodern Politics
Politics,,D. Liberalism & Justice,D. Liberalism & Justice,Theory of Justice (Political Theory),John Rawls,D. Liberalism & Justice
Politics,,D. Liberalism & Justice,D. Liberalism & Justice,Original Position & Veil of Ignorance,John Rawls,D. Liberalism & Justice
Politics,,D. Liberalism & Justice,D. Liberalism & Justice,Capability Approach (Political Theory),"Amartya Sen, Martha Nussbaum",D. Liberalism & Justice
Politics,,E. Communitarianism & Civic Republicanism,E. Communitarianism & Civic Republicanism,Spheres of Justice,Michael Walzer,E. Communitarianism & Civic Republicanism
Politics,,E. Communitarianism & Civic Republicanism,E. Communitarianism & Civic Republicanism,Politics of Recognition,"Charles Taylor, Axel Honneth",E. Communitarianism & Civic Republicanism
Politics,,F. Postcolonial & Decolonial Politics,F. Postcolonial & Decolonial Politics,Orientalism (Political Theory),Edward Said,F. Postcolonial & Decolonial Politics
Politics,,F. Postcolonial & Decolonial Politics,F. Postcolonial & Decolonial Politics,The Wretched of the Earth (Politics),Frantz Fanon,F. Postcolonial & Decolonial Politics
Politics,,F. Postcolonial & Decolonial Politics,F. Postcolonial & Decolonial Politics,Subaltern Studies (Political),"Ranajit Guha, Gayatri Chakravorty Spivak",F. Postcolonial & Decolonial Politics
Politics,,G. Feminism & Gender in Politics,G. Feminism & Gender in Politics,The Second Sex (Political Theory),Simone de Beauvoir,G. Feminism & Gender in Politics
Politics,,G. Feminism & Gender in Politics,G. Feminism & Gender in Politics,Gender as Performance (Politics),Judith Butler,G. Feminism & Gender in Politics
Politics,,G. Feminism & Gender in Politics,G. Feminism & Gender in Politics,Intersectionality (Politics),Kimberlé Crenshaw,G. Feminism & Gender in Politics
Politics,,A. Deliberative & Participatory Democracy,A. Deliberative & Participatory Democracy,Deliberative Polling,James S. Fishkin,A. Deliberative & Participatory Democracy
Politics,,A. Deliberative & Participatory Democracy,A. Deliberative & Participatory Democracy,Participatory Budgeting,N/A (Practice-based theory),A. Deliberative & Participatory Democracy
Politics,,B. Populism & Post-Politics,B. Populism & Post-Politics,Populism (Political Theory),"Ernesto Laclau, Chantal Mouffe",B. Populism & Post-Politics
Politics,,B. Populism & Post-Politics,B. Populism & Post-Politics,Post-Politics,"Slavoj Žižek, Jacques Rancière",B. Populism & Post-Politics
Politics,C,C. Political Economy & Neoliberalism,C. Political Economy & Neoliberalism,Neoliberalism (Political Theory),"Milton Friedman, Friedrich Hayek",C. Political Economy & Neoliberalism
Politics,C,C. Political Economy & Neoliberalism,C. Political Economy & Neoliberalism,Financialization,N/A (Economic sociology term),C. Political Economy & Neoliberalism
Politics,C,C. Political Economy & Neoliberalism,C. Political Economy & Neoliberalism,Austerity (Political Theory),"N/A (Policy term, analyzed theoretically)",C. Political Economy & Neoliberalism
Politics,,D. Environmental Politics & Justice,D. Environmental Politics & Justice,Ecocentrism (Political Theory),Aldo Leopold,D. Environmental Politics & Justice
Politics,,D. Environmental Politics & Justice,D. Environmental Politics & Justice,Environmental Justice (Political),Robert Bullard,D. Environmental Politics & Justice
Politics,,D. Environmental Politics & Justice,D. Environmental Politics & Justice,Climate Justice,N/A (Movement-based theory),D. Environmental Politics & Justice
Politics,,E. Critical Security Studies,E. Critical Security Studies,Securitization Theory,"Barry Buzan, Ole Wæver, Lene Hansen",E. Critical Security Studies
Politics,,E. Critical Security Studies,E. Critical Security Studies,Human Security,Mahbub ul Haq,E. Critical Security Studies
Politics,,F. Democratic Theory (Advanced),F. Democratic Theory (Advanced),Agonistic Pluralism,Chantal Mouffe,F. Democratic Theory (Advanced)
Politics,,F. Democratic Theory (Advanced),F. Democratic Theory (Advanced),Associative Democracy,Paul Q. Hirst,F. Democratic Theory (Advanced)
Politics,,F. Democratic Theory (Advanced),F. Democratic Theory (Advanced),Post-Democracy,Colin Crouch,F. Democratic Theory (Advanced)
Politics,,G. Digital Politics & Governance,G. Digital Politics & Governance,Digital Citizenship Theory,N/A (Emerging field),G. Digital Politics & Governance
Politics,,G. Digital Politics & Governance,G. Digital Politics & Governance,Algorithmic Governance (Political),"Antoinette Rouvroy, Frank Pasquale",G. Digital Politics & Governance
Politics,,H. Political Psychology,H. Political Psychology,Political Socialization Theory,"David Easton, Jack Dennis",H. Political Psychology
Politics,,H. Political Psychology,H. Political Psychology,Groupthink (Political),Irving L. Janis,H. Political Psychology
Politics,I,I. Identity Politics,I. Identity Politics,Identity Politics (Theory),"N/A (Common political term, theorized by many)",I. Identity Politics
Politics,I,I. Identity Politics,I. Identity Politics,Recognition Politics,"Axel Honneth, Charles Taylor",I. Identity Politics
Politics,,J. International Relations,J. International Relations,Constructivism (IR),Alexander Wendt,J. International Relations
Politics,,J. International Relations,J. International Relations,Liberal Internationalism,"Immanuel Kant, Woodrow Wilson",J. International Relations
Politics,,J. International Relations,J. International Relations,Realism (IR),"Hans Morgenthau, Kenneth Waltz",J. International Relations
Politics,,J. International Relations,J. International Relations,Dependency Theory (IR),"André Gunder Frank, Immanuel Wallerstein",J. International Relations
Politics,,J. International Relations,J. International Relations,Critical Geopolitics,"Gearóid Ó Tuathail, Simon Dalby",J. International Relations
Politics,,K. Philosophy of Law & Justice,K. Philosophy of Law & Justice,Restorative Justice,Howard Zehr,K. Philosophy of Law & Justice
Politics,,K. Philosophy of Law & Justice,K. Philosophy of Law & Justice,Transitional Justice,N/A (Field of practice and theory),K. Philosophy of Law & Justice
Politics,L,L. Political Economy (Advanced),L. Political Economy (Advanced),Regulation Theory (Political Economy),"Michel Aglietta, Robert Boyer",L. Political Economy (Advanced)
Politics,L,L. Political Economy (Advanced),L. Political Economy (Advanced),Varieties of Capitalism (VOC),Peter A. Hall & David Soskice,L. Political Economy (Advanced)
Politics,L,L. Political Economy (Advanced),L. Political Economy (Advanced),Disembedding (Political Economy),Karl Polanyi,L. Political Economy (Advanced)
Politics,L,L. Political Economy (Advanced),L. Political Economy (Advanced),Fictitious Commodities,Karl Polanyi,L. Political Economy (Advanced)
Politics,,M. Political Sociology (Advanced),M. Political Sociology (Advanced),Resource Mobilization Theory (Political Sociology),John D. McCarthy & Mayer N. Zald,M. Political Sociology (Advanced)
