theorist,source,harvested_concepts
Elinor Ulman,DB,1
Erika Doss,DB,1
Fred Ritchin,DB,1
Marian Chace,DB,1
Juhani Pallasmaa,DB,1
Oliver Grau,DB,1
Daniel Wann,DB,1
Arnold Berleant,DB,1
Hans Belting,DB,1
James Keating,DB,1
Lisa Hinz,DB,1
Oliver Sacks,DB,1
Semir Zeki,DB,1
Richard Giulianotti,DB,1
Ellen MacArthur Foundation,DB,1
Judith A. Rubin,DB,1
Brynjulf Stige,DB,1
Caroline Jones,DB,1
Frederick Herzberg,DB,1
Ralph Stogdill,DB,1
Ohio State Studies,DB,1
University of Michigan Studies,DB,1
Paul Hersey,DB,1
Ken Blanchard,DB,1
James MacGregor Burns,DB,1
Joan Woodward,DB,1
Paul Lawrence,DB,1
Jay Lorsch,DB,1
Frederick Winslow Taylor,DB,1
Elton Mayo,DB,1
Bruce Tuckman,DB,1
Robert Quinn,DB,1
Kim Cameron,DB,1
Jay Barney,DB,1
David Teece,DB,1
Gary Pisano,DB,1
Amy Shuen,DB,1
David Aaker,DB,1
J. Bradford DeLong,DB,1
Behavioral extensions by others,DB,1
Frank,DB,1
Lillian Gilbreth,DB,1
Robert Baron,DB,1
Christopher Earley,DB,1
Soon Ang,DB,1
Archie Carroll,DB,1
James Rest,DB,1
Brian Rowan,DB,1
Hirotaka Takeuchi,DB,1
Wesley Cohen,DB,1
Daniel Levinthal,DB,1
W. Timothy Coombs,DB,1
William Benoit,DB,1
Saras Sarasvathy,DB,1
Shane,DB,1
Venkataraman,DB,1
George Graen,DB,1
David Ulrich,DB,1
Russell Belk,DB,1
Albert Muniz Jr.,DB,1
Thomas O'Guinn,DB,1
Cadbury Committee,DB,1
Agency Theory,DB,1
Jay Forrester,DB,1
Laurens van den Berg,DB,1
Alasdair MacIntyre,DB,1
Etienne Wenger,DB,1
Michael Polanyi,DB,1
Robert House et al.,DB,1
William Kahn,DB,1
Gallup,DB,1
Jeffrey F. Rayport,DB,1
Laurens Walker,DB,1
Craig L. Pearce,DB,1
Jay A. Conger,DB,1
Robert K. Greenleaf,DB,1
Robert Shiller,DB,1
Barry M. Staw,DB,1
J. Michael Webb,DB,1
David J. Ketchen Jr.,DB,1
Charles O'Reilly III,DB,1
Michael L. Tushman,DB,1
Henry Chesbrough,DB,1
Jan-Erik Vahlne,DB,1
John Dunning,DB,1
Stevan Hobfoll,DB,1
Sanjai Bhagat,DB,1
Brian Bolton,DB,1
R. Roosevelt Thomas Jr.,DB,1
Stephen Vargo,DB,1
Robert Lusch,DB,1
Valarie Zeithaml,DB,1
A. Parasuraman,DB,1
Muhammad Yunus,DB,1
Bill Drayton,DB,1
Richard Cyert,DB,1
Hambrick,DB,1
Finkelstein,DB,1
David B. Zoogah,DB,1
Gary Johns,DB,1
Jeffrey H. Greenhaus,DB,1
Nicholas J. Beutell,DB,1
W. Edwards Deming,DB,1
Joseph M. Juran,DB,1
Finn Wiedersheim-Paul,DB,1
Edward Freeman,DB,1
Robert House,DB,1
Philip Yetton,DB,1
Jeffrey Pfeffer,DB,1
Gerald Salancik,DB,1
Robert Kozinets,DB,1
John Meyer,DB,1
William Mobley,DB,1
Terence Mitchell,DB,1
Eric von Hippel,DB,1
David J. Teece,DB,1
James Fitzsimmons,DB,1
Darla Deardorff,DB,1
Gerald R. Ferris,DB,1
Larry C. Spears,DB,1
Richard L. Priem,DB,1
Jeffrey G. Covin,DB,1
M. Joseph Sirgy,DB,1
Peter Warr,DB,1
Paul Beamish,DB,1
Allen Morrison,DB,1
Bradley R. Agle,DB,1
Gerry Johnson,DB,1
Richard Hackman,DB,1
Greg Oldham,DB,1
David Maister,DB,1
Richard Nelson,DB,1
Bengt-Åke Lundvall,DB,1
Zaheer,DB,1
Maureen O'Hara,DB,1
Johannes Siegrist,DB,1
James F. Moore,DB,1
Joseph E. Garcia,DB,1
Amy Wrzesniewski,DB,1
Jane Dutton,DB,1
James Reason,DB,1
Ron Adner,DB,1
Ellen Langer,DB,1
K. Cameron,DB,1
Robert Pindyck,DB,1
Taiichi Ohno,DB,1
Oviatt,DB,1
McDougall,DB,1
Robert E. Kelley,DB,1
John Finnis,DB,1
St. Augustine,DB,1
John Austin,DB,1
Oliver Wendell Holmes Jr.,DB,1
Karl Llewellyn,DB,1
Jerome Frank,DB,1
Duncan Kennedy,DB,1
Roberto Unger,DB,1
Janet Halley,DB,1
William N. Eskridge Jr.,DB,1
Christine Jolls,DB,1
Roscoe Pound,DB,1
Sally Falk Moore,DB,1
Eugen Ehrlich,DB,1
Charles Howard McIlwain,DB,1
John Marshall,DB,1
Robert Nozick,DB,1
Frank I. Michelman,DB,1
Hans Kelsen,DB,1
Jean Bodin,DB,1
B.S. Chimni,DB,1
Friedrich Carl von Savigny,DB,1
Sir Henry Maine,DB,1
Morton J. Horwitz,DB,1
Gordon Tullock,DB,1
Kai Erikson,DB,1
John Griffiths,DB,1
Lawrence M. Friedman,DB,1
Gary L. Wells,DB,1
Robert Bork,DB,1
Kenneth Culp Davis,DB,1
Cesare Beccaria,DB,1
Ernest Weinrib,DB,1
Garrett Hardin,DB,1
Willard Hurst,DB,1
Christopher D. Stone,DB,1
Gro Harlem Brundtland,DB,1
Jack Donnelly,DB,1
Ruti G. Teitel,DB,1
Peter Brooks,DB,1
Robert Cover,DB,1
Juan F. Perea,DB,1
Robert S. Chang,DB,1
Robert A. Williams Jr.,DB,1
Kenneth L. Karst,DB,1
Amy Kapczynski,DB,1
David Singh Grewal,DB,1
Bronislaw Malinowski,DB,1
Susan Bandes,DB,1
Edward W. Soja,DB,1
Martha Minow,DB,1
Patricia Ewick,DB,1
Susan S. Silbey,DB,1
Owen D. Jones,DB,1
Drucilla Cornell,DB,1
Mia Mingus,DB,1
Terry L. Turnipseed,DB,1
Robert F. Schopp,DB,1
Thomas Berry,DB,1
Benedict Kingsbury,DB,1
Boaventura de Sousa Santos,DB,1
Lucie E. White,DB,1
David B. Wexler,DB,1
Bruce J. Winick,DB,1
Paisley Currah,DB,1
Roberto Esposito,DB,1
Jan Klabbers,DB,1
David M. Trubek,DB,1
Ryan Calo,DB,1
J.B. Ruhl,DB,1
Ariela Gross,DB,1
Marie-Andrée Bertrand,DB,1
T. Alexander Aleinikoff,DB,1
Sheila Foster,DB,1
Lee Epstein,DB,1
Peter Blanck,DB,1
Lawrence B. Solum,DB,1
Sally Engle Merry,DB,1
Stephen Morse,DB,1
Margaret Hagan,DB,1
Ann Cavoukian,DB,1
Steven Wise,DB,1
Dan Simon,DB,1
Eric Goldman,DB,1
Mary Robinson Foundation,DB,1
Stephen Hopgood,DB,1
Tom R. Tyler,DB,1
W. I. Thomas,DB,1
George Herbert Mead,DB,1
Harrison White,DB,1
Gustave Le Bon,DB,1
Neil Smelser,DB,1
Edwin Sutherland,DB,1
Louis Wirth,DB,1
Ruth Glass,DB,1
Neil Smith,DB,1
Harvey Molotch,DB,1
Dorothy Smith,DB,1
Sandra Harding,DB,1
Michel Callon,DB,1
Manuel DeLanda,DB,1
Félix Guattari,DB,1
Robert D. Benford,DB,1
David A. Snow,DB,1
Arthur P. J. Mol,DB,1
Gert Spaargaren,DB,1
Jean-Claude Passeron,DB,1
Theodore W. Schultz,DB,1
Maxwell McCombs,DB,1
Larry Gross,DB,1
Elihu Katz,DB,1
Jay G. Blumler,DB,1
Michael Gurevitch,DB,1
Candace West,DB,1
Don H. Zimmerman,DB,1
Michael Warner,DB,1
Robert Blauner,DB,1
Alejandro Portes,DB,1
Min Zhou,DB,1
Peter Berger,DB,1
Rodney Stark,DB,1
Roger Finke,DB,1
Kwame Nkrumah,DB,1
Walt Whitman Rostow,DB,1
Daniel Lerner,DB,1
Homi Bhabha,DB,1
Teun A. van Dijk,DB,1
W. Richard Scott,DB,1
Ève Chiapello,DB,1
Hartmut Rosa,DB,1
James J. Gibson,DB,1
extended to sociology,DB,1
José van Dijck,DB,1
Thomas Poell,DB,1
Martijn de Waal,DB,1
Miranda Fricker,DB,1
John Bellamy Foster,DB,1
Richard Rosenfeld,DB,1
Steven Messner,DB,1
Albert K. Cohen,DB,1
Richard Cloward,DB,1
Lloyd Ohlin,DB,1
Herbert Blumer,DB,1
Harvey Sacks,DB,1
Emanuel Schegloff,DB,1
Gail Jefferson,DB,1
Judy Wajcman,DB,1
Cicero,DB,1
Pope Gelasius I,DB,1
Montesquieu,DB,1
Joseph de Maistre,DB,1
Peter Kropotkin,DB,1
Carlo Cafiero,DB,1
Errico Malatesta,DB,1
Robert Michels,DB,1
Gaetano Mosca,DB,1
Robert Dahl,DB,1
James S. Fishkin,DB,1
Aldo Leopold,DB,1
Barry Buzan,DB,1
Ole Wæver,DB,1
Lene Hansen,DB,1
Mahbub ul Haq,DB,1
Paul Q. Hirst,DB,1
Colin Crouch,Both,1
David Easton,DB,1
Jack Dennis,DB,1
Woodrow Wilson,DB,1
Kenneth Waltz,DB,1
Gearóid Ó Tuathail,DB,1
Simon Dalby,DB,1
Michel Aglietta,DB,1
Robert Boyer,DB,1
Peter A. Hall,DB,1
David Soskice,DB,1
Clarence N. Stone,DB,1
Frank R. Baumgartner,DB,1
Bryan D. Jones,DB,1
Michael D. Cohen,DB,1
Johan P. Olsen,DB,1
Arend Lijphart,DB,1
Seymour Martin Lipset,DB,1
Barbara Geddes,DB,1
Alfred Stepan,DB,1
Francis Fukuyama,DB,1
Joshua Cohen,DB,1
Charles W. Mills,DB,1
Cornel West,DB,1
Iris Marion Young,DB,1
John Mearsheimer,DB,1
Anthony D. Smith,DB,1
Michael Doyle,DB,1
Ibn Khaldun,DB,1
Oswald Spengler,DB,1
Augustine of Hippo,DB,1
Wilhelm Dilthey,DB,1
Christopher Hill,DB,1
Lucien Febvre,DB,1
Marianne Hirsch,DB,1
David Lowenthal,DB,1
Robert Kelley,DB,1
Mary Ann Glendon,DB,1
Frank Trentmann,DB,1
Jack Goldstone,DB,1
Jeffrey Alexander,DB,1
Alexander Cockburn,DB,1
Jean Delumeau,DB,1
Ernst Mayr,DB,1
Gabriel Dupuy,DB,1
Katherine Grier,DB,1
John Hedley Brooke,DB,1
Gertrude Himmelfarb,DB,1
John R. Gillis,DB,1
Tom Lutz,DB,1
Werner Sombart,DB,1
Peter Hall,DB,1
Samuel Moyn,DB,1
Dirk Hoerder,DB,1
Allan Young,DB,1
Jane Burbank,DB,1
Randy Shilts,DB,1
Stephen Jay Gould,DB,1
Alf Lüdtke,DB,1
Jan Plamper,DB,1
Roger Chartier,DB,1
Lee Benson,DB,1
Robert Fogel,DB,1
Paul Crutzen,DB,1
Eugene F. Stoermer,DB,1
Christian Pfister,DB,1
Ellsworth Huntington,DB,1
C.A. Bayly,DB,1
Akira Iriye,DB,1
David Christian,DB,1
William H. McNeill,DB,1
Sanjay Subrahmanyam,DB,1
Paul John Eakin,DB,1
Alessandro Portelli,DB,1
Peter Stearns,DB,1
Joel Tarr,DB,1
David Knight,DB,1
Gary T. Marx,DB,1
Giovanni Arrighi,DB,1
Edward Ayers,DB,1
Gerda Lerner,DB,1
George Chauncey,DB,1
Steve Woolgar,DB,1
Arthur O. Lovejoy,DB,1
Hastings Rashdall,DB,1
Harvey J. Graff,DB,1
Lawrence Stone,DB,1
Dori Laub,DB,1
Samuel P. Hays,DB,1
David Rothman,DB,1
Marshall Berman,DB,1
William Reddy,DB,1
Barbara Rosenwein,DB,1
Harold Innis,DB,1
Jürgen Osterhammel,DB,1
Jan Lucassen,DB,1
Anne Kelly Knowles,DB,1
J.A. Hobson,DB,1
Emily Thompson,DB,1
J.B. Harley,DB,1
Matthew Edney,DB,1
Richard White,DB,1
William Cronon,DB,1
Arnold Toynbee,DB,1
Daniel Roche,DB,1
Lizabeth Cohen,DB,1
Eric Hobsbawm,DB,1
Charles McIlwain,DB,1
Frank Chalk,DB,1
Paul W. Schroeder,DB,1
John Keegan,DB,1
Peter Laslett,DB,1
Lewis Mumford,DB,1
Heinrich Wölfflin,DB,1
Karen Armstrong,DB,1
Marshall G.S. Hodgson,DB,1
William G. McLoughlin,DB,1
Bertrand Russell,DB,1
Leo Strauss,DB,1
Sir John Baker,DB,1
Michel-Rolph Trouillot,DB,1
Louis Gottschalk,DB,1
Niall Ferguson,DB,1
E.H. Carr,DB,1
R.W. Connell,DB,1
Douglas C. Baynton,DB,1
Paul Thompson,DB,1
Kirk Savage,DB,1
Spencer Weart,DB,1
Martin Campbell-Kelly,DB,1
William Aspray,DB,1
Michael Werner,DB,1
Bénédicte Zimmermann,DB,1
Lincoln Paine,DB,1
Langdon Winner,DB,1
Harriet Ritvo,DB,1
Erica Fudge,DB,1
Geoffrey Bowker,DB,1
G.W.F. Hegel,DB,1
Arnold J. Toynbee,DB,1
Arthur Danto,DB,1
W.H. Walsh,DB,1
Peter Novick,DB,1
Jean Starobinski,DB,1
Frank M. Snowden,DB,1
Giovanni Levi,DB,1
Christopher Breward,DB,1
Edward Peters,DB,1
Paul Watzlawick,DB,1
Gregory Bateson,DB,1
Carl Whitaker,DB,1
Sarah Fenstermaker Berk,DB,1
Annette Lareau,DB,1
Warren S. Thompson,DB,1
Frank W. Notestein,DB,1
Rosabeth Moss Kanter,DB,1
Peggy Levitt,DB,1
Parvati Raghuram,DB,1
Rosemary Radford Ruether,DB,1
Bruce Western,DB,1
Eszter Hargittai,DB,1
Gerald R. Leslie,DB,1
Robert Sampson,DB,1
Kate Millett,DB,1
Robert Pollak,DB,1
Lewis Henry Morgan,DB,1
Vern L. Bengtson,DB,1
William A. Corsaro,DB,1
Ron Lesthaeghe,DB,1
Dirk van de Kaa,DB,1
Lenore J. Weitzman,DB,1
Robyn Fivush,DB,1
Confucius,DB,1
Terrie E. Moffitt,DB,1
Lisa F. Berkman,DB,1
Charlotte J. Patterson,DB,1
Sophie Lewis,DB,1
Loretta Ross,DB,1
Joyce L. Epstein,DB,1
R.S. Schofield,DB,1
Deborah Gold,DB,1
Suzanne C. Ouellette,DB,1
Jay Haley,DB,1
Cloe Madanes,DB,1
Maggie Schauer,DB,1
Richard C. Schwartz,DB,1
Janet R. Finch,DB,1
Alfred D. Chandler Jr.,DB,1
Kath Weston,DB,1
Janet Carsten,DB,1
Evan Imber-Black,DB,1
Mary Anne Fitzpatrick,DB,1
E. Mavis Hetherington,DB,1
Gerald Patterson,DB,1
Richard Gardner,DB,1
Karen Fingerman,DB,1
Monica McGoldrick,DB,1
Fredrick M. Loomis,DB,1
Nick Stinnett,DB,1
Alfred Adler,DB,1
Ivan Pavlov,DB,1
Julian Rotter,DB,1
Lee Ross,DB,1
Peter Wason,DB,1
Mary Klinnert,DB,1
Solomon Asch,DB,1
Stanley Milgram,DB,1
Dalmas Taylor,DB,1
Muzafer Sherif,DB,1
John Darley,DB,1
C. Daniel Batson,DB,1
Costa,DB,1
McCrae,DB,1
Raymond Cattell,DB,1
Heinz Hartmann,DB,1
Paul Meehl,DB,1
George L. Engel,DB,1
Otto Kernberg,DB,1
Christopher Peterson,DB,1
Jaak Panksepp,DB,1
Sidney Jourard,DB,1
Elaine Hatfield,DB,1
Thomas Teo,DB,1
Peter Beresford,DB,1
Roger Barker,DB,1
Richard M. Lerner,DB,1
Richard Shweder,DB,1
John Suler,DB,1
Barbara L. Fredrickson,DB,1
Otto F. Kernberg,DB,1
Stephen A. Mitchell,DB,1
Jeffrey Young,DB,1
Fritz Perls,DB,1
James Bugental,DB,1
Michael White,DB,1
David Epston,DB,1
Jack Brehm,DB,1
William Swann Jr.,DB,1
Hazel Markus,DB,1
Paula Nurius,DB,1
Alison Gopnik,DB,1
James Marcia,DB,1
Laura L. Carstensen,DB,1
Alan Baddeley,DB,1
Graham Hitch,DB,1
Fergus Craik,DB,1
Robert Lockhart,DB,1
Roger S. Ulrich,DB,1
Harry Stack Sullivan,DB,1
Kibeom Lee,DB,1
Michael C. Ashton,DB,1
Edward Khantzian,DB,1
Peter A. Levine,DB,1
Cialdini,DB,1
Kallgren,DB,1
Reno,DB,1
Philip Zimbardo,DB,1
Carol Ryff,DB,1
William Sears,DB,1
Stephen Chen,DB,1
Harry C. Triandis,DB,1
Laura S. Brown,DB,1
SAMHSA,DB,1
Robert Zajonc,DB,1
Howard Markman,DB,1
Caryl Rusbult,DB,1
Leslie Baxter,DB,1
Barbara Montgomery,DB,1
Howard Giles,DB,1
Martin L. Hoffman,DB,1
Wimmer,DB,1
Perner,DB,1
Heinz Kohut,DB,1
Michael Scheier,DB,1
Charles Carver,DB,1
Wiers,DB,1
Stacy,DB,1
Marlat,DB,1
Richard Tedeschi,DB,1
Lawrence Calhoun,DB,1
Arthur Aron,DB,1
Elaine Aron,DB,1
Daniel Levinson,DB,1
Robert Emmons,DB,1
Saul Rosenzweig,DB,1
Bruce Wampold,DB,1
C. R. Snyder,DB,1
Dan P. McAdams,DB,1
Edward Bordin,DB,1
Allen Newell,DB,1
Serge Moscovici,DB,1
Clifton StrengthsFinder,DB,1
Robert L. Selman,DB,1
Klaus R. Scherer,DB,1
Stanley Schachter,DB,1
Kurt Back,DB,1
Cindy Hazan,DB,1
Phillip Shaver,DB,1
Howard Leventhal,DB,1
E. Tory Higgins,DB,1
Edward E. Jones,DB,1
Richard E. Nisbett,DB,1
Kristin Neff,DB,1
Scott Fraser,DB,1
James Stoner,DB,1
Robert Ader,DB,1
Les Greenberg,DB,1
Claude Steele,DB,1
Joshua Aronson,DB,1
John C. DiClemente,DB,1
Shelly Gable,DB,1
Alvin Gouldner,DB,1
Abram Kardiner,DB,1
Cora Du Bois,DB,1
Adele Diamond,DB,1
Mary Main,DB,1
Baruch Fischhoff,DB,1
Marilynn Brewer,DB,1
Roy F. Baumeister,DB,1
Dante Cicchetti,DB,1
Wolfgang Köhler,DB,1
Jerome Bruner,DB,1
Steven W. Porges,DB,1
Kate Lorig,DB,1
Judith Rich Harris,DB,1
J.P. Guilford,DB,1
William B. Swann Jr.,DB,1
Ralf Schwarzer,DB,1
Daryl Bem,DB,1
Yuichi Shoda,DB,1
Carolyn Saarni,DB,1
Viktor Shklovsky,DB,1
Boris Eichenbaum,DB,1
T.S. Eliot,DB,1
Cleanth Brooks,DB,1
John Crowe Ransom,DB,1
Seymour Chatman,DB,1
Paul de Man,DB,1
J. Hillis Miller,DB,1
Susan Gubar,DB,1
Luce Irigaray,DB,1
Toni Morrison,DB,1
Louis Montrose,DB,1
Richard Hoggart,DB,1
Georges Poulet,DB,1
Maurice Merleau-Ponty,DB,1
Cheryll Glotfelty,DB,1
George Landow,DB,1
Michael Joyce,DB,1
Robert Stam,DB,1
David Herman,DB,1
Brian Boyd,DB,1
Stacy Alaimo,DB,1
Siegfried Zielinski,DB,1
Erkki Huhtamo,DB,1
Bill Brown,DB,1
Karen Barad,DB,1
Peter Stockwell,DB,1
Murray Schafer,DB,1
David Hume,DB,1
Jean Mandler,DB,1
David E. Rumelhart,DB,1
Matthew Jockers,DB,1
Claus Clüver,DB,1
Yuri Lotman,DB,1
Norman Holland,DB,1
Christine Delphy,DB,1
Monique Wittig,DB,1
Elizabeth Freeman,DB,1
Gayle Rubin,DB,1
Mark Solms,DB,1
Lisa Gitelman,DB,1
Robert McRuer,DB,1
Karen J. Warren,DB,1
Roger Schank,DB,1
Robert Abelson,DB,1
Ernest Jones,DB,1
Geoffrey Wagner,DB,1
John Searle,DB,1
Jan Mukařovský,DB,1
Marie-Laure Ryan,DB,1
Ursula K. Heise,DB,1
Robyn Warhol,DB,1
Jean Stefancic,DB,1
Sally Shuttleworth,DB,1
Ann Heilmann,DB,1
Jerome McGann,DB,1
Petra Kuppers,DB,1
Jussi Parikka,DB,1
Alicia Ostriker,DB,1
Richard Gerrig,DB,1
Marvin Carlson,DB,1
John Burrows,DB,1
Michael Rothberg,DB,1
Robert McDowell,DB,1
Christopher Stringer,DB,1
Richard Leakey,DB,1
Eric Alden Smith,DB,1
Bruce Winterhalder,DB,1
Marcus Feldman,DB,1
Jim Sidanius,DB,1
Felicia Pratto,DB,1
Robert Plutchik,DB,1
James Olds,DB,1
Peter Milner,DB,1
Giacomo Rizzolatti,DB,1
Tania Singer,DB,1
Rosalind Picard,DB,1
Sandra Scarr,DB,1
Erik Turkheimer,DB,1
Moshe Szyf,DB,1
Michael Meaney,DB,1
Irenäus Eibl-Eibesfeldt,DB,1
Niko Tinbergen,DB,1
Amos Hawley,DB,1
E.O. Wilson,DB,1
Jane Goodall,DB,1
Daniel Povinelli,DB,1
Franz Halberg,DB,1
Jeffrey C. Hall,DB,1
Michael Rosbash,DB,1
Michael W. Young,DB,1
Alexander Borbély,DB,1
A. Jean Ayres,DB,1
Patrick Wall,DB,1
Robin Dunbar,DB,1
John F. Cryan,DB,1
Philippe Grandjean,DB,1
Philip J. Landrigan,DB,1
William Dement,DB,1
Martha K. McClintock,DB,1
Alan Beck,DB,1
Aaron Katcher,DB,1
Walter Cannon,DB,1
Steven Stearns,DB,1
James M. Dabbs Jr.,DB,1
Karl Grammer,DB,1
David Berliner,DB,1
Kenneth Blum,DB,1
Joseph Schildkraut,DB,1
Simon LeVay,DB,1
Dick Swaab,DB,1
Simon Fisher,DB,1
S. Boyd Eaton,DB,1
J.J.C. Smart,DB,1
U.T. Place,DB,1
Esther M. Sternberg,DB,1
Marc Hauser,DB,1
Richard Axel,DB,1
Linda Buck,DB,1
Jesper Hoffmeyer,DB,1
Thomas A. Sebeok,DB,1
Matthew Lieberman,DB,1
Jerome Kagan,DB,1
Mary K. Rothbart,DB,1
Stephen Maxson,DB,1
Timothy Bliss,DB,1
Terje Lømo,DB,1
Paul Broca,DB,1
Carl Wernicke,DB,1
Richard L. Doty,DB,1
John Cryan,DB,1
Daniel L. Everett,DB,1
Craig Joseph,DB,1
Borbély,DB,1
Daan,DB,1
Barry Bogin,DB,1
Rebecca Saxe,DB,1
Joel Paris,DB,1
Sheldon Cohen,DB,1
John C. Caldwell,DB,1
Paul Glimcher,DB,1
Jesse Graham,DB,1
Larry Young,DB,1
Elizabeth Phelps,DB,1
Marvin Zuckerman,DB,1
Paul Andrews,DB,1
Sarah Hrdy,DB,1
J. Allan Hobson,DB,1
Robert McCarley,DB,1
Paul W. Ewald,DB,1
Allan Mazur,DB,1
Terry E. Robinson,DB,1
Kent Berridge,DB,1
Sally E. Dickerson,DB,1
Loren Cordain,DB,1
Rob Knight,DB,1
George C. Williams,DB,1
Peter B. Medawar,DB,1
Steven W. Quello,DB,1
David Geary,DB,1
Laura W. K. Smalley,DB,1
Robert Stickgold,DB,1
Jeffrey Gordon,DB,1
Klaus Scherer,DB,1
C. Sue Carter,DB,1
Robert Dantzer,DB,1
Hillard Kaplan,DB,1
Michael Tomasello,DB,1
Todd F. Heatherton,DB,1
Lisa M. Diamond,DB,1
David F. Bjorklund,DB,1
George F. Koob,DB,1
Dennis S. Charney,DB,1
James R. Rilling,DB,1
Avshalom Caspi,DB,1
Stephen S. Morse,DB,1
Kevin Ochsner,DB,1
Mary Jane West-Eberhard,DB,1
Kjersti Aagaard,DB,1
Matthew D. Lieberman,DB,1
Gordon Burghardt,DB,1
Henry Harpending,DB,1
Gene Robinson,DB,1
Eric R. Kandel,DB,1
Paul Ewald,DB,1
Matthew Arnold,DB,1
John W. Berry,DB,1
Ted Striphas,DB,1
Néstor García Canclini,DB,1
Herbert Schiller,DB,1
Christine Hine,DB,1
Barry Wellman,DB,1
John Howkins,DB,1
Arjo Klamer,DB,1
Ernst Cassirer,DB,1
Kevin Lynch,DB,1
Carl Sauer,DB,1
Susan Blackmore,DB,1
Yi-Fu Tuan,DB,1
Jeffrey C. Alexander,DB,1
B. Joseph Pine II,DB,1
James H. Gilmore,DB,1
Megan Boler,DB,1
Joan Y. Chiao,DB,1
Alex Mesoudi,DB,1
Milton C. Cummings Jr.,DB,1
UNESCO,DB,1
Alvin Toffler,DB,1
Aaron Wildavsky,DB,1
Greg Bankoff,DB,1
Shannon Mattern,DB,1
Roger E. Kasperson,DB,1
Jeanne X. Kasperson,DB,1
Colin Campbell,DB,1
Richard A. Peterson,DB,1
Gay Hawkins,DB,1
Jack Knetsch,DB,1
R.H. Strotz,DB,1
Eric J. Johnson,DB,1
Daniel Goldstein,DB,1
William Samuelson,DB,1
Richard Zeckhauser,DB,1
Joe Herbert,DB,1
Joseph Stiglitz,DB,1
Kenneth Arrow,DB,1
Sally Guttman,DB,1
Werner Güth,DB,1
Drew Fudenberg,DB,1
David K. Levine,DB,1
Herbert Simon,DB,1
Morris Holbrook,DB,1
Thomas Gilovich,DB,1
Amit Kumar,DB,1
George J. Stigler,DB,1
Terrance Odean,DB,1
Lorenz Goette,DB,1
John B. Taylor,DB,1
Joel Slemrod,DB,1
Eldar Shafir,DB,1
Kevin Volpp,DB,1
James Heckman,DB,1
Leigh Tesfatsion,DB,1
Thomas C. Schelling,DB,1
Richard Easterlin,DB,1
Karla Hoff,DB,1
Joseph E. Stiglitz,DB,1
Bruno S. Frey,DB,1
Peter N. Goettl,DB,1
Elke U. Weber,DB,1
Olivier Blanchard,DB,1
Kevin Murphy,DB,1
Jon Elster,DB,1
World Bank,DB,1
J-PAL,DB,1
Urs Fischbacher,DB,1
Marianne Bertrand,DB,1
Read Montague,DB,1
Simon Johnson,DB,1
Chris Udry,DB,1
John B. Loomis,DB,1
Anthony Downs,DB,1
Lawrence Summers,DB,1
Runciman,DB,1
Terry Lohrenz,DB,1
Lisa Zaval,DB,1
Baba Shiv,DB,1
Paul David,DB,1
Philip Brickman,DB,1
Camerer,DB,1
Loewenstein,DB,1
Prelec,DB,1
Innovations for Poverty Action,DB,1
Alan Gerber,DB,1
Brian Arthur,DB,1
Andrew Oswald,DB,1
Samuel M. McClure,DB,1
Bruce Link,DB,1
Jo Phelan,DB,1
John W. Travis,DB,1
Julian Tudor Hart,DB,1
William C. Cockerham,DB,1
Eliot Freidson,DB,1
Daniel Moerman,DB,1
Charles Leslie,DB,1
Ichiro Kawachi,DB,1
Milton Roemer,DB,1
M.K. Czerwiec,DB,1
Ian Williams,DB,1
David Armstrong,DB,1
David Mechanic,DB,1
Kenneth Wallston,DB,1
Anne-Emanuelle Birn,DB,1
August B. Hollingshead,DB,1
Frederick C. Redlich,DB,1
Christine Vaughan,DB,1
DSM-5 Cultural Formulation Interview,DB,1
Ioan M. Lewis,DB,1
James Birren,DB,1
Ruth E. Ray,DB,1
Robert Butler,DB,1
Mike Oliver,DB,1
Beauchamp,DB,1
Childress,DB,1
various critics,DB,1
W. Douglas Storey,DB,1
Rima Rudd,DB,1
Don Nutbeam,DB,1
Meredith Minkler,DB,1
Carlos Novas,DB,1
Derek Summerfield,DB,1
Anne Whitehead,DB,1
James Wilson,DB,1
Dorothy Nelkin,DB,1
Paul Starr,DB,1
Paula Braveman,DB,1
Sheila Jasanoff,DB,1
Nickolas Rose,DB,1
David Healy,DB,1
Peter M. Sandman,DB,1
Carl Elliott,DB,1
Adriane Fugh-Berman,DB,1
Andrew Scull,DB,1
Derek Parfit,DB,1
Abby Lippman,DB,1
Tod Chambers,DB,1
Caroll L. Estes,DB,1
Ray Moynihan,DB,1
Alan Cassels,DB,1
Robert A. Crawford,DB,1
Sheldon Krimsky,DB,1
Margaret Lock,DB,1
John Astin,DB,1
Paul Rabinow,DB,1
Phil Brown,DB,1
Stephen R. Epstein,DB,1
R.D. Laing,DB,1
Barbara Ehrenreich,DB,1
Deirdre English,DB,1
Renée Fox,DB,1
Robert Gordon,DB,1
Marshall W. Kreuter,DB,1
Jodi Halpern,DB,1
David Vlahov,DB,1
William Anthony,DB,1
Alan R. Andreasen,DB,1
H. Wesley Perkins,DB,1
Derek Edwards,DB,1
Lisa Cartwright,DB,1
Mark Schlesinger,DB,1
Robert J. Landy,DB,1
Alexander J. Rothman,DB,1
Merrill Singer,DB,1
Patrick W. Corrigan,DB,1
Margaret Gullette,DB,1
Adele E. Clarke,DB,1
