theorist,concept,part,major,sub,source_title
John Cacioppo,Social Neuroscience (General),Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,CSV
Leon Festinger,Cognitive Dissonance (Marketing),MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,CSV
Leon Festinger,Group Cohesion Theory,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),CSV
Leon Festinger,Cognitive Dissonance Theory,Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Leon Festinger,Social Comparison Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Leon Festinger,Deindividuation Theory,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Leon Festinger,Proximity Effect (Attraction),Psychology,Relationship & Interpersonal,A. Love & Attachment,CSV
Leon Festinger,Cognitive Dissonance,Psychology,Social Psychology,C. Social Cognition & Influence,OurList
Leon Festinger,When Prophecy Fails,Psychology,Social Psychology,C. Social Cognition & Influence,OurList
Leon Festinger,Social Comparison,Psychology,Social Psychology,C. Social Cognition & Influence,OurList
Eugene Fama,Efficient Market Hypothesis (Behavioral Critique),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Eugene Fama,Efficient Market Hypothesis,Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,OurList
Eugene Fama,Three-Factor Model,Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,OurList
Eugene Fama,Random Walk,Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,OurList
Richard Thaler,Efficient Market Hypothesis (Behavioral Critique),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Richard Thaler,Mental Accounting (Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Richard Thaler,Narrow Framing (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Richard Thaler,Capital Budgeting (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,B. Behavioral Corporate Finance,CSV
Richard Thaler,Household Finance (Behavioral),MANAGEMENT,Behavioral Finance & Decision Making,C. Household & Applied Behavioral Finance,CSV
Richard Thaler,Behavioral Pricing Theory,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,CSV
Richard Thaler,Representativeness Heuristic (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Richard Thaler,Myopic Loss Aversion (Finance),MANAGEMENT,Behavioral Finance & Decision Making,B. Behavioral Corporate Finance,CSV
Richard Thaler,Behavioral Law and Economics,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,CSV
Richard Thaler,Nudge Theory (Legal),LAW,Law and Economics,B. Behavioral Law & Economics (Nudge/Bias),CSV
Richard Thaler,Endowment Effect,Economics,Behavioral & Cognitive Economics,Foundations & Bounded Rationality,CSV
Richard Thaler,Sunk Cost Fallacy,Economics,Behavioral & Cognitive Economics,Foundations & Bounded Rationality,CSV
Richard Thaler,Self-Control Problems,Economics,Behavioral & Cognitive Economics,Intertemporal Choice & Self-Control,CSV
Richard Thaler,Dual-Self Model,Economics,Behavioral & Cognitive Economics,Intertemporal Choice & Self-Control,CSV
Richard Thaler,Nudge Theory,Economics,Behavioral & Cognitive Economics,Nudges & Choice Architecture,CSV
Richard Thaler,Choice Architecture,Economics,Behavioral & Cognitive Economics,Nudges & Choice Architecture,CSV
Richard Thaler,Libertarian Paternalism,Economics,Behavioral & Cognitive Economics,Nudges & Choice Architecture,CSV
Richard Thaler,Mental Accounting Theory,Economics,Behavioral & Cognitive Economics,Other Biases & Heuristics,CSV
Richard Thaler,Nudges in Public Policy,Economics,Political Economy & Public Choice,Behavioral Public Economics,CSV
Richard Thaler,Behavioral Pricing,Economics,"Marketing, Consumption & Industrial Organization",Behavioral Marketing & Pricing,CSV
Richard Thaler,Household Behavioral Finance,Economics,Behavioral Finance & Asset Markets,Microstructure & Household Finance,CSV
Richard Thaler,Retirement Savings (Behavioral Economics),Economics,Political Economy & Public Choice,Behavioral Public Economics,CSV
Richard Thaler,Extrapolation Bias (Behavioral Finance),Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,CSV
Richard Thaler,Nudge Theory in Public Health,Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,CSV
Hersh Shefrin,Disposition Effect (Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Hersh Shefrin,Investor Biases (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Hersh Shefrin,Capital Budgeting (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,B. Behavioral Corporate Finance,CSV
Hersh Shefrin,Self-Control Problems,Economics,Behavioral & Cognitive Economics,Intertemporal Choice & Self-Control,CSV
Hersh Shefrin,Dual-Self Model,Economics,Behavioral & Cognitive Economics,Intertemporal Choice & Self-Control,CSV
Hersh Shefrin,Disposition Effect,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,CSV
Hersh Shefrin,Behavioral Portfolio Theory,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,CSV
Hersh Shefrin,Confirmation Bias (Behavioral Finance),Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,CSV
Meir Statman,Disposition Effect (Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Meir Statman,Investor Biases (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Meir Statman,Disposition Effect,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,CSV
Meir Statman,Behavioral Portfolio Theory,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,CSV
Meir Statman,Confirmation Bias (Behavioral Finance),Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,CSV
J. Bradford DeLong,Managerial Overconfidence (Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Andrei Shleifer,Managerial Overconfidence (Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Andrei Shleifer,Behavioral Corporate Finance,MANAGEMENT,Behavioral Finance & Decision Making,B. Behavioral Corporate Finance,CSV
Andrei Shleifer,Limited Attention Theory (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Andrei Shleifer,Order Flow Imbalance (Behavioral Finance),Economics,Behavioral Finance & Asset Markets,Microstructure & Household Finance,CSV
Andrei Shleifer,Behavioral Market Efficiency Theory,Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,CSV
Andrei Shleifer,Noise Trader Theory (Behavioral Finance),Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,CSV
Michael Jensen,Agency Theory (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Michael Jensen,Agency Theory (Organizational),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
William Meckling,Agency Theory (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
William Meckling,Agency Theory (Organizational),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Behavioral extensions by others,Agency Theory (Behavioral Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
James S. Coleman,Social Capital Theory (HRM),MANAGEMENT,Human Resource Management,A. Core HRM & Performance,CSV
James S. Coleman,Methodological Individualism,Society,Contemporary Sociological Perspectives,,CSV
James S. Coleman,Social Capital Theory,Society,Specific Social Phenomena Theories,,CSV
Michael Spence,Signaling Theory (HRM),MANAGEMENT,Human Resource Management,A. Core HRM & Performance,CSV
Michael Spence,Signaling Theory (Behavioral Economics),Economics,Information & Contract Economics,Asymmetric Information,CSV
B.F. Skinner,Reinforcement Theory (HRM),MANAGEMENT,Human Resource Management,A. Core HRM & Performance,CSV
B.F. Skinner,Reinforcement Schedule Theory (OB),MANAGEMENT,Organizational Behavior & Work Psychology,D. Decision Making & Behavioral Ethics,CSV
B.F. Skinner,Reinforcement and Punishment,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),CSV
B.F. Skinner,Operant Conditioning,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Albert Bandura,Social Learning Theory (HRM),MANAGEMENT,Human Resource Management,A. Core HRM & Performance,CSV
Albert Bandura,Social Learning Theory,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),CSV
Albert Bandura,Vicarious Learning,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),CSV
Albert Bandura,Self-Efficacy Theory,Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Albert Bandura,Social Learning Theory of Prejudice,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Albert Bandura,Self-Regulation Theory (Health),Psychology,Health Psychology,A. Stress & Coping,CSV
Albert Bandura,Interactionism (Personality),Psychology,Personality,B. Dynamic & Process Models,CSV
Albert Bandura,Social Learning Theory of Gender Development,Psychology,Developmental,B. Lifespan Development,CSV
Albert Bandura,Self-Regulation Theory (Health Behavior),Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,CSV
Albert Bandura,Social Cognitive Theory (Health),Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,CSV
Denise Rousseau,Psychological Contract Theory,MANAGEMENT,Human Resource Management,A. Core HRM & Performance,CSV
Denise Rousseau,Psychological Contract Breach,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",CSV
Denise Rousseau,Psychological Contracts,Economics,"Labor, Personnel & Inequality Economics",Personnel & Organizational,CSV
Jerald Greenberg,Organizational Justice Theory,MANAGEMENT,Human Resource Management,A. Core HRM & Performance,CSV
Jerald Greenberg,Organizational Justice Theory (Greenberg),MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Frank,Human Factor Theory (Operations),MANAGEMENT,"Operations, Quality & Supply Chain",A. Behavioral & Human Factors Operations,CSV
Lillian Gilbreth,Human Factor Theory (Operations),MANAGEMENT,"Operations, Quality & Supply Chain",A. Behavioral & Human Factors Operations,CSV
Everett Rogers,Diffusion of Innovations (Business),MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,CSV
Everett Rogers,Diffusion of Innovations,Society,Specific Social Phenomena Theories,,CSV
Clayton Christensen,Disruptive Innovation Theory,MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,CSV
Clayton Christensen,Disruptive Innovation,MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,OurList
Clayton Christensen,The Innovator's Dilemma,MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,OurList
Clayton Christensen,Jobs to be Done,MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,OurList
Robert Baron,Entrepreneurial Cognition Theory,MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,CSV
Geert Hofstede,Cultural Dimensions Theory (Business),MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,CSV
Geert Hofstede,Cross-Cultural Management Theory,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,CSV
Geert Hofstede,National Culture and OB Theory,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",CSV
Geert Hofstede,Cultural Dimensions Theory (Hofstede),Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,CSV
Geert Hofstede,Cultural Identity Theory,Culture,Cultural Sociology,D. Cultural Psychology & Self,CSV
Christopher Earley,Cultural Intelligence Theory,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,CSV
Soon Ang,Cultural Intelligence Theory,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,CSV
R. Edward Freeman,Stakeholder Theory,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,CSV
R. Edward Freeman,Stakeholder Theory (Corporate Governance),MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,CSV
R. Edward Freeman,Business Ethics Theory,MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,CSV
R. Edward Freeman,Stakeholder Engagement Theory (CSR),MANAGEMENT,"Business Ethics, CSR & Governance",B. Stakeholder Theory & Engagement,CSV
Archie Carroll,Carroll's Pyramid of CSR,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,CSV
James Rest,Ethical Decision-Making Models (Business),MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,CSV
Lawrence Kohlberg,Ethical Decision-Making Models (Business),MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,CSV
Lawrence Kohlberg,Moral Development Theory (Kohlberg),Psychology,Developmental,A. Cognitive & Moral Development,CSV
Paul DiMaggio,Institutional Theory (Management),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Paul DiMaggio,Institutional Isomorphism (Management),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Paul DiMaggio,Institutional Isomorphism,Society,Specific Social Phenomena Theories,,CSV
Walter Powell,Institutional Theory (Management),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Walter Powell,Institutional Isomorphism (Management),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Walter Powell,Network Theory of Innovation,MANAGEMENT,Innovation & Entrepreneurship,C. Ecosystems & Innovation Systems,CSV
Walter Powell,Institutional Isomorphism,Society,Specific Social Phenomena Theories,,CSV
John W. Meyer,Decoupling (Management),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
John W. Meyer,World Society Theory,Society,Advanced & Applied Social Theories,General Social Theories,CSV
John W. Meyer,World Culture Theory,Culture,Global & Transnational Culture,A. Hybridization & World Culture,CSV
Brian Rowan,Decoupling (Management),MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Oliver Williamson,Transaction Cost Economics,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Oliver Williamson,Managerial Empire Building,MANAGEMENT,Behavioral Finance & Decision Making,B. Behavioral Corporate Finance,CSV
Chris Argyris,Organizational Learning Theory,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Chris Argyris,Single-Loop vs. Double-Loop Learning,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,CSV
Hirotaka Takeuchi,SECI Model of Knowledge Creation,MANAGEMENT,Knowledge Management & Organizational Learning,A. Knowledge Creation & Absorptive Capacity,CSV
Wesley Cohen,Absorptive Capacity Theory,MANAGEMENT,Knowledge Management & Organizational Learning,A. Knowledge Creation & Absorptive Capacity,CSV
Daniel Levinthal,Absorptive Capacity Theory,MANAGEMENT,Knowledge Management & Organizational Learning,A. Knowledge Creation & Absorptive Capacity,CSV
W. Timothy Coombs,Situational Crisis Communication Theory (SCCT),MANAGEMENT,"Change, Crisis & Organizational Development",B. Crisis Management & Communication,CSV
William Benoit,Image Repair Theory,MANAGEMENT,"Change, Crisis & Organizational Development",B. Crisis Management & Communication,CSV
Kurt Lewin,Lewin's Change Management Model,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,CSV
Kurt Lewin,Resistance to Change Theory,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,CSV
Kurt Lewin,Action Research (OD),MANAGEMENT,"Change, Crisis & Organizational Development",C. Organizational Development,CSV
John Kotter,Resistance to Change Theory,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,CSV
John Kotter,Kotter's 8-Step Change Model,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,CSV
Saras Sarasvathy,Effectuation Theory,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,CSV
Shane,Entrepreneurial Opportunity Recognition,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,CSV
Venkataraman,Entrepreneurial Opportunity Recognition,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,CSV
George Graen,Leader-Member Exchange (LMX) Theory,MANAGEMENT,Leadership,A. Relational & Authentic Leadership,CSV
Bill George,Authentic Leadership Theory,MANAGEMENT,Leadership,A. Relational & Authentic Leadership,CSV
Bill George,Authentic Followership Theory,MANAGEMENT,Leadership,A. Relational & Authentic Leadership,CSV
David Ulrich,Strategic Human Resource Management (SHRM),MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,CSV
George Homans,Social Exchange Theory (OB),MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
George Homans,Social Exchange Theory,Society,Advanced & Applied Social Theories,Family,CSV
Russell Belk,Consumer Culture Theory (CCT),MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,CSV
Albert Muniz Jr.,Brand Community Theory,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,CSV
Thomas O'Guinn,Brand Community Theory,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,CSV
Cadbury Committee,Corporate Governance Theory,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,CSV
Agency Theory,Corporate Governance Theory,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,CSV
Jay Forrester,Bullwhip Effect (Supply Chain),MANAGEMENT,"Operations, Quality & Supply Chain",D. Supply Chain Management,CSV
Laurens van den Berg,Behavioral Strategy Theory,MANAGEMENT,Strategic Management & Competitive Advantage,C. Behavioral & Cognitive Strategy,CSV
Alasdair MacIntyre,Virtue Ethics (Business),MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,CSV
David Cooperrider,Appreciative Inquiry,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,CSV
David Cooperrider,Appreciative Inquiry (OD),MANAGEMENT,"Change, Crisis & Organizational Development",C. Organizational Development,CSV
Etienne Wenger,Communities of Practice Theory,MANAGEMENT,Knowledge Management & Organizational Learning,B. Communities of Practice & Tacit Knowledge,CSV
Michael Polanyi,Explicit vs. Tacit Knowledge Theory,MANAGEMENT,Knowledge Management & Organizational Learning,B. Communities of Practice & Tacit Knowledge,CSV
Robert House et al.,GLOBE Project,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,CSV
William Kahn,Employee Engagement Theory,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",CSV
Gallup,Employee Engagement Theory,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",CSV
Jeffrey F. Rayport,Viral Marketing Theory,MANAGEMENT,Marketing & Consumer Behavior,"C. Digital, CRM & Engagement",CSV
John Thibaut,Procedural Justice Theory,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
John Thibaut,Social Exchange Theory (Relationships),Psychology,Social Psychology,A. Identity & Intergroup,CSV
John Thibaut,Interdependence Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
John Thibaut,Outcome Interdependence,Psychology,Relationship & Interpersonal,B. Interdependence & Commitment,CSV
John Thibaut,Comparison Level (Relationships),Psychology,Relationship & Interpersonal,B. Interdependence & Commitment,CSV
Laurens Walker,Procedural Justice Theory,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Robert Bies,Interactional Justice,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Robert Bies,Fairness Heuristics Theory,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Craig L. Pearce,Shared Leadership Theory,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",CSV
Jay A. Conger,Shared Leadership Theory,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",CSV
Robert K. Greenleaf,Servant Leadership Theory,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",CSV
Patrick Wright,Vertical Fit (SHRM),MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,CSV
Patrick Wright,Horizontal Fit (SHRM),MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,CSV
Gary McMahan,Vertical Fit (SHRM),MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,CSV
Gary McMahan,Horizontal Fit (SHRM),MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,CSV
Philip Kotler,Social Marketing Theory,MANAGEMENT,Marketing & Consumer Behavior,"B. Branding, Relationship & Social Marketing",CSV
Philip Kotler,Social Marketing for Environment (Behavioral),Economics,Development & Environmental Economics,Environmental & Resource Economics,CSV
Robert Shiller,Herding Behavior (Finance),MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,CSV
Barry M. Staw,Escalation of Commitment Theory,MANAGEMENT,Organizational Behavior & Work Psychology,D. Decision Making & Behavioral Ethics,CSV
J. Michael Webb,Behavioral Supply Chain Theory,MANAGEMENT,"Operations, Quality & Supply Chain",D. Supply Chain Management,CSV
David J. Ketchen Jr.,Behavioral Supply Chain Theory,MANAGEMENT,"Operations, Quality & Supply Chain",D. Supply Chain Management,CSV
James March,Organizational Ambidexterity Theory,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,CSV
James March,Organizational Slack Theory (IB),MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,CSV
James March,Exploitation vs. Exploration (Innovation),MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,CSV
Charles O'Reilly III,Organizational Ambidexterity Theory,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,CSV
Michael L. Tushman,Organizational Ambidexterity Theory,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,CSV
Henry Chesbrough,Open Innovation Theory,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,CSV
Jan Johanson,Uppsala Model of Internationalization,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,CSV
Jan Johanson,Psychic Distance Theory,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,CSV
Jan-Erik Vahlne,Uppsala Model of Internationalization,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,CSV
John Dunning,Eclectic Paradigm (OLI Framework),MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,CSV
Mark Kramer,Creating Shared Value (CSV) Theory,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,CSV
Mark Kramer,Shared Value (CSV) Governance Theory,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,CSV
Arnold Bakker,Job Demands-Resources (JD-R) Model,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",CSV
Arnold Bakker,Job Demands-Resources (JD-R) Model (Engagement),MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",CSV
Evangelia Demerouti,Job Demands-Resources (JD-R) Model,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",CSV
Evangelia Demerouti,Job Demands-Resources (JD-R) Model (Engagement),MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",CSV
Stevan Hobfoll,Conservation of Resources (COR) Theory,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",CSV
Sanjai Bhagat,Behavioral Corporate Governance Theory,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,CSV
Brian Bolton,Behavioral Corporate Governance Theory,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,CSV
R. Roosevelt Thomas Jr.,Diversity Management Theory,MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,CSV
Stephen Vargo,Service Dominant Logic (Marketing/Ops),MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,CSV
Robert Lusch,Service Dominant Logic (Marketing/Ops),MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,CSV
Valarie Zeithaml,Service Quality Theory (SERVQUAL),MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,CSV
A. Parasuraman,Service Quality Theory (SERVQUAL),MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,CSV
Muhammad Yunus,Social Entrepreneurship Theory,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,CSV
Bill Drayton,Social Entrepreneurship Theory,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,CSV
Richard Cyert,Organizational Slack Theory (IB),MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,CSV
applied to IB,Organizational Slack Theory (IB),MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,CSV
applied to IB,Managerial Discretion (IB),MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,CSV
Hambrick,Managerial Discretion (IB),MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,CSV
Finkelstein,Managerial Discretion (IB),MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,CSV
David B. Zoogah,Behavioral CSR Theory,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,CSV
John French,French and Raven's Bases of Power,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
John French,Social Power Theory (Leadership),MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Bertram Raven,French and Raven's Bases of Power,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Bertram Raven,Social Power Theory (Leadership),MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Richard Emerson,Power-Dependence Theory,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",CSV
Richard Emerson,Social Exchange Theory,Society,Advanced & Applied Social Theories,Family,CSV
John Freeman,Organizational Ecology Theory,MANAGEMENT,Organizational Theory & Design,"C. Ecology, Resource Dependence & Evolution",CSV
John Freeman,Population Ecology of Organizations,MANAGEMENT,Organizational Theory & Design,"C. Ecology, Resource Dependence & Evolution",CSV
Christian Grönroos,Relationship Marketing Theory,MANAGEMENT,Marketing & Consumer Behavior,"B. Branding, Relationship & Social Marketing",CSV
Christian Grönroos,Service Innovation Theory (Ops),MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,CSV
Gary Johns,Work-Life Balance Theory,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",CSV
Jeffrey H. Greenhaus,Work-Family Conflict Theory (HRM),MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",CSV
